Freq[Hz]	[dBV]	Phase[Deg]
10.00	-62.81	76.33
10.04	-62.99	78.68
10.08	-63.17	81.04
10.11	-63.35	83.40
10.15	-63.53	85.77
10.19	-63.71	88.14
10.23	-63.89	90.52
10.27	-64.08	92.89
10.31	-64.26	95.27
10.34	-64.44	97.64
10.38	-64.62	100.01
10.42	-64.80	102.38
10.46	-64.98	104.74
10.50	-65.16	107.09
10.54	-65.34	109.43
10.58	-65.52	111.76
10.62	-65.70	114.09
10.66	-65.88	116.39
10.70	-66.05	118.68
10.74	-66.22	120.96
10.78	-66.39	123.21
10.82	-66.56	125.44
10.86	-66.73	127.65
10.90	-66.89	129.84
10.95	-67.05	132.00
10.99	-67.21	134.13
11.03	-67.36	136.24
11.07	-67.52	138.31
11.11	-67.66	140.34
11.15	-67.81	142.34
11.20	-67.94	144.30
11.24	-68.08	146.22
11.28	-68.21	148.10
11.32	-68.33	149.93
11.37	-68.45	151.72
11.41	-68.57	153.45
11.45	-68.67	155.14
11.50	-68.77	156.76
11.54	-68.87	158.34
11.58	-68.96	159.85
11.63	-69.04	161.30
11.67	-69.11	162.68
11.71	-69.18	164.00
11.76	-69.24	165.25
11.80	-69.29	166.43
11.85	-69.33	167.54
11.89	-69.37	168.58
11.94	-69.40	169.56
11.98	-69.42	170.46
12.03	-69.43	171.31
12.07	-69.43	172.08
12.12	-69.43	172.79
12.16	-69.42	173.44
12.21	-69.41	174.03
12.26	-69.38	174.55
12.30	-69.35	175.02
12.35	-69.31	175.43
12.39	-69.27	175.77
12.44	-69.22	176.06
12.49	-69.16	176.30
12.54	-69.10	176.48
12.58	-69.03	176.60
12.63	-68.95	176.68
12.68	-68.87	176.70
12.73	-68.78	176.67
12.77	-68.69	176.60
12.82	-68.59	176.47
12.87	-68.48	176.31
12.92	-68.37	176.09
12.97	-68.26	175.84
13.02	-68.14	175.54
13.07	-68.02	175.21
13.12	-67.89	174.84
13.16	-67.75	174.43
13.21	-67.62	173.98
13.26	-67.47	173.51
13.31	-67.33	173.00
13.36	-67.18	172.47
13.41	-67.03	171.91
13.47	-66.87	171.32
13.52	-66.71	170.71
13.57	-66.55	170.08
13.62	-66.39	169.43
13.67	-66.22	168.76
13.72	-66.05	168.08
13.77	-65.88	167.39
13.83	-65.71	166.69
13.88	-65.53	165.98
13.93	-65.36	165.27
13.98	-65.18	164.55
14.04	-65.01	163.83
14.09	-64.83	163.12
14.14	-64.65	162.41
14.19	-64.48	161.71
14.25	-64.30	161.02
14.30	-64.13	160.34
14.36	-63.95	159.68
14.41	-63.78	159.04
14.46	-63.61	158.43
14.52	-63.44	157.84
14.57	-63.28	157.27
14.63	-63.11	156.74
