Freq[Hz]	[dBV]	Phase[Deg]
10.00	-65.22	-50.80
10.04	-65.24	-50.32
10.08	-65.27	-49.82
10.11	-65.29	-49.29
10.15	-65.32	-48.73
10.19	-65.34	-48.15
10.23	-65.37	-47.53
10.27	-65.39	-46.89
10.31	-65.42	-46.22
10.34	-65.45	-45.53
10.38	-65.47	-44.81
10.42	-65.50	-44.06
10.46	-65.52	-43.29
10.50	-65.55	-42.50
10.54	-65.58	-41.68
10.58	-65.61	-40.83
10.62	-65.63	-39.96
10.66	-65.66	-39.07
10.70	-65.69	-38.15
10.74	-65.72	-37.21
10.78	-65.75	-36.25
10.82	-65.79	-35.27
10.86	-65.82	-34.27
10.90	-65.85	-33.24
10.95	-65.89	-32.20
10.99	-65.92	-31.13
11.03	-65.96	-30.05
11.07	-66.00	-28.95
11.11	-66.04	-27.83
11.15	-66.08	-26.69
11.20	-66.12	-25.54
11.24	-66.16	-24.37
11.28	-66.21	-23.19
11.32	-66.26	-21.99
11.37	-66.31	-20.77
11.41	-66.36	-19.55
11.45	-66.41	-18.31
11.50	-66.46	-17.05
11.54	-66.52	-15.79
11.58	-66.58	-14.52
11.63	-66.64	-13.23
11.67	-66.70	-11.94
11.71	-66.77	-10.64
11.76	-66.84	-9.34
11.80	-66.91	-8.02
11.85	-66.98	-6.70
11.89	-67.06	-5.37
11.94	-67.14	-4.03
11.98	-67.22	-2.68
12.03	-67.30	-1.33
12.07	-67.39	0.04
12.12	-67.48	1.42
12.16	-67.58	2.81
12.21	-67.68	4.21
12.26	-67.78	5.62
12.30	-67.88	7.04
12.35	-67.99	8.47
12.39	-68.10	9.92
12.44	-68.22	11.38
12.49	-68.34	12.86
12.54	-68.46	14.35
12.58	-68.59	15.85
12.63	-68.73	17.37
12.68	-68.86	18.91
12.73	-69.00	20.46
12.77	-69.15	22.03
12.82	-69.30	23.62
12.87	-69.46	25.22
12.92	-69.62	26.85
12.97	-69.78	28.49
13.02	-69.96	30.16
13.07	-70.13	31.84
13.12	-70.31	33.55
13.16	-70.50	35.27
13.21	-70.69	37.03
13.26	-70.89	38.80
13.31	-71.10	40.60
13.36	-71.31	42.42
13.41	-71.52	44.27
13.47	-71.75	46.14
13.52	-71.98	48.05
13.57	-72.21	49.97
13.62	-72.46	51.93
13.67	-72.71	53.92
13.72	-72.96	55.93
13.77	-73.23	57.98
13.83	-73.50	60.06
13.88	-73.78	62.17
13.93	-74.07	64.32
13.98	-74.36	66.50
14.04	-74.66	68.71
14.09	-74.98	70.96
14.14	-75.30	73.25
14.19	-75.62	75.57
14.25	-75.96	77.93
14.30	-76.31	80.33
14.36	-76.66	82.78
14.41	-77.02	85.26
14.46	-77.40	87.79
14.52	-77.78	90.36
14.57	-78.17	92.98
14.63	-78.58	95.64
14.68	-78.99	98.34
14.74	-79.41	101.10
14.80	-79.85	103.89
14.85	-80.29	106.73
14.91	-80.74	109.61
14.96	-81.20	112.53
15.02	-81.66	115.48
15.08	-82.13	118.46
15.13	-82.61	121.48
15.19	-83.09	124.52
15.25	-83.58	127.59
15.31	-84.07	130.68
15.36	-84.57	133.80
15.42	-85.06	136.93
15.48	-85.56	140.07
15.54	-86.07	143.23
15.60	-86.57	146.40
15.66	-87.07	149.57
15.71	-87.57	152.75
15.77	-88.06	155.93
15.83	-88.56	159.10
15.89	-89.05	162.27
15.95	-89.54	165.44
16.01	-90.02	168.59
16.07	-90.50	171.72
16.13	-90.97	174.84
16.19	-91.43	177.93
16.26	-91.88	-179.01
16.32	-92.32	-175.97
16.38	-92.75	-172.97
16.44	-93.17	-170.00
16.50	-93.58	-167.08
16.56	-93.97	-164.20
16.63	-94.35	-161.37
16.69	-94.72	-158.60
16.75	-95.06	-155.88
16.82	-95.39	-153.22
16.88	-95.69	-150.64
16.94	-95.98	-148.12
17.01	-96.25	-145.68
17.07	-96.49	-143.32
17.14	-96.70	-141.04
17.20	-96.90	-138.86
17.27	-97.06	-136.77
17.33	-97.20	-134.78
17.40	-97.30	-132.90
17.46	-97.38	-131.13
17.53	-97.42	-129.48
17.59	-97.43	-127.94
17.66	-97.41	-126.54
17.73	-97.35	-125.25
17.79	-97.26	-124.09
17.86	-97.14	-123.06
17.93	-96.99	-122.14
18.00	-96.81	-121.33
18.06	-96.60	-120.65
18.13	-96.36	-120.07
18.20	-96.10	-119.61
18.27	-95.81	-119.26
18.34	-95.51	-119.01
18.41	-95.18	-118.87
18.48	-94.83	-118.83
18.55	-94.46	-118.90
18.62	-94.07	-119.06
18.69	-93.67	-119.31
18.76	-93.26	-119.66
18.83	-92.83	-120.10
18.90	-92.40	-120.63
18.97	-91.95	-121.24
19.04	-91.50	-121.94
19.11	-91.04	-122.71
19.19	-90.58	-123.56
19.26	-90.11	-124.48
19.33	-89.65	-125.47
19.40	-89.18	-126.53
19.48	-88.73	-127.65
19.55	-88.27	-128.83
19.62	-87.83	-130.07
19.70	-87.39	-131.36
19.77	-86.97	-132.70
19.85	-86.56	-134.09
19.92	-86.17	-135.51
20.00	-85.80	-136.97
20.07	-85.44	-138.47
20.15	-85.12	-139.99
20.22	-84.81	-141.54
20.30	-84.54	-143.11
20.38	-84.30	-144.70
20.45	-84.09	-146.30
20.53	-83.91	-147.90
20.61	-83.78	-149.51
20.69	-83.68	-151.11
20.77	-83.61	-152.71
20.84	-83.58	-154.31
20.92	-83.59	-155.89
21.00	-83.62	-157.47
21.08	-83.68	-159.02
21.16	-83.78	-160.55
21.24	-83.89	-162.06
21.32	-84.04	-163.54
21.40	-84.21	-164.99
21.48	-84.40	-166.41
21.56	-84.61	-167.78
21.64	-84.84	-169.12
21.73	-85.09	-170.40
21.81	-85.35	-171.64
21.89	-85.63	-172.82
21.97	-85.92	-173.93
22.06	-86.22	-174.99
22.14	-86.52	-175.98
22.22	-86.84	-176.89
22.31	-87.16	-177.72
22.39	-87.48	-178.47
22.47	-87.80	-179.14
22.56	-88.11	-179.71
22.64	-88.43	179.82
22.73	-88.73	179.44
22.82	-89.03	179.18
22.90	-89.32	179.03
22.99	-89.59	179.00
23.07	-89.85	179.09
23.16	-90.09	179.32
23.25	-90.31	179.68
23.34	-90.50	-179.82
23.43	-90.67	-179.17
23.51	-90.81	-178.37
23.60	-90.92	-177.41
23.69	-91.00	-176.31
23.78	-91.05	-175.06
23.87	-91.09	-173.66
23.96	-91.09	-172.12
24.05	-91.08	-170.44
24.14	-91.04	-168.62
24.23	-90.98	-166.67
24.32	-90.91	-164.59
24.42	-90.82	-162.39
24.51	-90.71	-160.06
24.60	-90.59	-157.60
24.69	-90.46	-155.04
24.79	-90.31	-152.35
24.88	-90.16	-149.56
24.97	-90.00	-146.67
25.07	-89.83	-143.67
25.16	-89.66	-140.57
25.26	-89.48	-137.38
25.35	-89.31	-134.10
25.45	-89.13	-130.73
25.54	-88.96	-127.28
25.64	-88.79	-123.76
25.74	-88.63	-120.16
25.84	-88.48	-116.50
25.93	-88.34	-112.77
26.03	-88.22	-108.99
26.13	-88.10	-105.15
26.23	-88.01	-101.27
26.33	-87.93	-97.35
26.43	-87.88	-93.39
26.53	-87.85	-89.40
26.63	-87.84	-85.41
26.73	-87.85	-81.42
26.83	-87.89	-77.45
26.93	-87.94	-73.52
27.03	-88.01	-69.64
27.13	-88.10	-65.84
27.23	-88.21	-62.12
27.34	-88.33	-58.51
27.44	-88.47	-55.03
27.54	-88.62	-51.68
27.65	-88.79	-48.50
27.75	-88.97	-45.50
27.86	-89.17	-42.70
27.96	-89.38	-40.12
28.07	-89.59	-37.79
28.17	-89.82	-35.71
28.28	-90.05	-33.92
28.39	-90.30	-32.43
28.49	-90.55	-31.27
28.60	-90.80	-30.46
28.71	-91.06	-30.03
28.82	-91.32	-29.99
28.93	-91.59	-30.37
29.03	-91.85	-31.20
29.14	-92.12	-32.50
29.25	-92.38	-34.30
29.36	-92.65	-36.62
29.48	-92.91	-39.46
29.59	-93.16	-42.78
29.70	-93.40	-46.56
29.81	-93.64	-50.77
29.92	-93.87	-55.38
30.04	-94.08	-60.35
30.15	-94.28	-65.66
30.26	-94.47	-71.28
30.38	-94.64	-77.15
30.49	-94.79	-83.27
30.61	-94.92	-89.58
30.72	-95.02	-96.05
30.84	-95.10	-102.65
30.95	-95.16	-109.33
31.07	-95.19	-116.06
31.19	-95.18	-122.80
31.31	-95.15	-129.51
31.42	-95.07	-136.15
31.54	-94.97	-142.66
31.66	-94.82	-149.02
31.78	-94.63	-155.18
31.90	-94.40	-161.08
32.02	-94.12	-166.69
32.14	-93.79	-171.96
32.26	-93.41	-176.83
32.39	-92.98	178.71
32.51	-92.50	174.67
32.63	-91.98	171.02
32.75	-91.42	167.75
32.88	-90.83	164.86
33.00	-90.20	162.32
33.13	-89.54	160.13
33.25	-88.87	158.26
33.38	-88.17	156.72
33.50	-87.46	155.47
33.63	-86.74	154.50
33.76	-86.02	153.81
33.88	-85.30	153.37
34.01	-84.58	153.16
34.14	-83.88	153.17
34.27	-83.19	153.38
34.40	-82.53	153.78
34.53	-81.89	154.34
34.66	-81.29	155.05
34.79	-80.72	155.89
34.92	-80.20	156.83
35.05	-79.73	157.86
35.18	-79.32	158.96
35.32	-78.97	160.11
35.45	-78.67	161.29
35.58	-78.44	162.51
35.72	-78.26	163.76
35.85	-78.12	165.01
35.99	-78.04	166.28
36.12	-78.00	167.54
36.26	-78.01	168.78
36.40	-78.05	170.01
36.53	-78.13	171.20
36.67	-78.24	172.35
36.81	-78.38	173.45
36.95	-78.55	174.49
37.09	-78.74	175.45
37.23	-78.95	176.33
37.37	-79.18	177.11
37.51	-79.42	177.79
37.65	-79.66	178.35
37.79	-79.91	178.78
37.94	-80.16	179.07
38.08	-80.41	179.20
38.22	-80.65	179.17
38.37	-80.88	178.98
38.51	-81.10	178.62
38.66	-81.32	178.12
38.80	-81.52	177.47
38.95	-81.71	176.67
39.10	-81.89	175.74
39.24	-82.06	174.68
39.39	-82.21	173.49
39.54	-82.35	172.18
39.69	-82.48	170.76
39.84	-82.59	169.23
39.99	-82.68	167.60
40.14	-82.76	165.88
40.29	-82.82	164.07
40.45	-82.87	162.18
40.60	-82.89	160.22
40.75	-82.90	158.19
40.90	-82.88	156.10
41.06	-82.84	153.97
41.21	-82.78	151.79
41.37	-82.70	149.58
41.53	-82.60	147.36
41.68	-82.48	145.14
41.84	-82.34	142.93
