Freq[Hz]	[dBV]	Phase[Deg]
10.00	-65.16	-20.08
10.04	-65.30	-21.19
10.08	-65.44	-22.33
10.11	-65.58	-23.47
10.15	-65.72	-24.64
10.19	-65.86	-25.82
10.23	-66.00	-27.01
10.27	-66.14	-28.21
10.31	-66.28	-29.43
10.34	-66.41	-30.66
10.38	-66.55	-31.91
10.42	-66.69	-33.16
10.46	-66.83	-34.43
10.50	-66.96	-35.70
10.54	-67.10	-36.99
10.58	-67.23	-38.28
10.62	-67.36	-39.59
10.66	-67.49	-40.90
10.70	-67.62	-42.21
10.74	-67.75	-43.54
10.78	-67.88	-44.87
10.82	-68.00	-46.20
10.86	-68.12	-47.54
10.90	-68.24	-48.88
10.95	-68.36	-50.23
10.99	-68.48	-51.57
11.03	-68.59	-52.92
11.07	-68.70	-54.27
11.11	-68.81	-55.62
11.15	-68.91	-56.96
11.20	-69.02	-58.31
11.24	-69.11	-59.65
11.28	-69.21	-60.98
11.32	-69.30	-62.31
11.37	-69.39	-63.64
11.41	-69.47	-64.96
11.45	-69.55	-66.27
11.50	-69.62	-67.57
11.54	-69.69	-68.86
11.58	-69.76	-70.14
11.63	-69.82	-71.41
11.67	-69.87	-72.66
11.71	-69.92	-73.90
11.76	-69.97	-75.13
11.80	-70.01	-76.34
11.85	-70.04	-77.53
11.89	-70.07	-78.71
11.94	-70.09	-79.87
11.98	-70.11	-81.02
12.03	-70.12	-82.16
12.07	-70.13	-83.28
12.12	-70.13	-84.39
12.16	-70.13	-85.48
12.21	-70.13	-86.56
12.26	-70.11	-87.63
12.30	-70.10	-88.69
12.35	-70.08	-89.74
12.39	-70.05	-90.77
12.44	-70.03	-91.79
12.49	-69.99	-92.81
12.54	-69.96	-93.81
12.58	-69.92	-94.80
12.63	-69.87	-95.78
12.68	-69.82	-96.76
12.73	-69.77	-97.72
12.77	-69.72	-98.68
12.82	-69.66	-99.63
12.87	-69.60	-100.57
12.92	-69.54	-101.50
12.97	-69.47	-102.43
13.02	-69.40	-103.36
13.07	-69.33	-104.27
13.12	-69.26	-105.19
13.16	-69.18	-106.10
13.21	-69.11	-107.00
13.26	-69.03	-107.91
13.31	-68.95	-108.81
13.36	-68.87	-109.71
13.41	-68.78	-110.61
13.47	-68.70	-111.51
13.52	-68.61	-112.40
13.57	-68.53	-113.30
13.62	-68.44	-114.21
13.67	-68.36	-115.11
13.72	-68.27	-116.02
13.77	-68.19	-116.93
13.83	-68.10	-117.84
13.88	-68.02	-118.76
13.93	-67.93	-119.69
13.98	-67.85	-120.62
14.04	-67.77	-121.56
14.09	-67.69	-122.51
14.14	-67.62	-123.47
14.19	-67.54	-124.44
14.25	-67.47	-125.43
14.30	-67.40	-126.42
14.36	-67.33	-127.43
14.41	-67.27	-128.45
14.46	-67.21	-129.48
14.52	-67.16	-130.54
14.57	-67.10	-131.61
14.63	-67.06	-132.69
14.68	-67.02	-133.80
