Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.64	153.54
10.04	-61.84	154.46
10.08	-62.04	155.41
10.11	-62.25	156.40
10.15	-62.46	157.42
10.19	-62.67	158.47
10.23	-62.88	159.56
10.27	-63.09	160.67
10.31	-63.30	161.82
10.34	-63.51	163.00
10.38	-63.72	164.21
10.42	-63.94	165.45
10.46	-64.15	166.72
10.50	-64.37	168.01
10.54	-64.58	169.33
10.58	-64.80	170.68
10.62	-65.01	172.05
10.66	-65.23	173.45
10.70	-65.44	174.87
10.74	-65.66	176.31
10.78	-65.87	177.77
10.82	-66.08	179.26
10.86	-66.29	-179.23
10.90	-66.50	-177.71
10.95	-66.71	-176.17
10.99	-66.92	-174.61
11.03	-67.12	-173.03
11.07	-67.33	-171.44
11.11	-67.53	-169.84
11.15	-67.73	-168.22
11.20	-67.92	-166.59
11.24	-68.12	-164.95
11.28	-68.31	-163.31
11.32	-68.50	-161.65
11.37	-68.68	-159.99
11.41	-68.86	-158.32
11.45	-69.04	-156.65
11.50	-69.21	-154.97
11.54	-69.38	-153.30
11.58	-69.54	-151.62
11.63	-69.70	-149.95
11.67	-69.86	-148.28
11.71	-70.01	-146.62
11.76	-70.15	-144.96
11.80	-70.29	-143.30
11.85	-70.42	-141.66
11.89	-70.55	-140.03
11.94	-70.67	-138.40
11.98	-70.79	-136.79
12.03	-70.90	-135.19
12.07	-71.01	-133.61
12.12	-71.11	-132.04
12.16	-71.21	-130.49
12.21	-71.30	-128.96
12.26	-71.39	-127.45
12.30	-71.48	-125.96
12.35	-71.56	-124.49
12.39	-71.64	-123.05
12.44	-71.71	-121.63
12.49	-71.78	-120.24
12.54	-71.85	-118.87
12.58	-71.91	-117.54
12.63	-71.97	-116.24
12.68	-72.03	-114.97
12.73	-72.08	-113.74
12.77	-72.13	-112.54
12.82	-72.18	-111.39
12.87	-72.23	-110.27
12.92	-72.28	-109.20
12.97	-72.32	-108.16
13.02	-72.36	-107.18
13.07	-72.40	-106.24
13.12	-72.44	-105.35
13.16	-72.48	-104.52
13.21	-72.51	-103.73
13.26	-72.55	-103.01
13.31	-72.58	-102.34
13.36	-72.62	-101.73
13.41	-72.65	-101.18
13.47	-72.69	-100.70
13.52	-72.73	-100.28
13.57	-72.76	-99.93
13.62	-72.80	-99.65
13.67	-72.84	-99.45
13.72	-72.88	-99.32
13.77	-72.92	-99.27
13.83	-72.97	-99.30
13.88	-73.01	-99.41
13.93	-73.06	-99.61
13.98	-73.11	-99.89
14.04	-73.17	-100.27
14.09	-73.23	-100.74
14.14	-73.29	-101.31
14.19	-73.36	-101.98
14.25	-73.43	-102.75
14.30	-73.51	-103.62
14.36	-73.59	-104.61
14.41	-73.68	-105.70
14.46	-73.77	-106.91
14.52	-73.87	-108.23
14.57	-73.98	-109.68
14.63	-74.09	-111.25
14.68	-74.21	-112.94
14.74	-74.34	-114.77
14.80	-74.48	-116.71
14.85	-74.62	-118.78
14.91	-74.77	-120.97
14.96	-74.92	-123.27
15.02	-75.09	-125.70
15.08	-75.26	-128.23
15.13	-75.43	-130.87
15.19	-75.61	-133.62
15.25	-75.80	-136.48
15.31	-75.99	-139.43
15.36	-76.19	-142.48
15.42	-76.39	-145.63
15.48	-76.60	-148.87
15.54	-76.81	-152.21
15.60	-77.03	-155.62
15.66	-77.25	-159.12
15.71	-77.47	-162.70
15.77	-77.70	-166.35
15.83	-77.93	-170.07
15.89	-78.16	-173.87
15.95	-78.39	-177.72
16.01	-78.63	178.36
16.07	-78.87	174.39
16.13	-79.11	170.36
16.19	-79.35	166.29
16.26	-79.60	162.17
16.32	-79.84	158.02
16.38	-80.09	153.83
16.44	-80.33	149.61
16.50	-80.57	145.36
16.56	-80.81	141.10
16.63	-81.06	136.82
16.69	-81.30	132.52
16.75	-81.53	128.23
16.82	-81.77	123.93
16.88	-82.00	119.64
16.94	-82.23	115.37
17.01	-82.45	111.11
17.07	-82.67	106.87
17.14	-82.89	102.66
17.20	-83.10	98.48
17.27	-83.30	94.35
17.33	-83.50	90.27
17.40	-83.69	86.24
17.46	-83.88	82.27
17.53	-84.06	78.36
17.59	-84.23	74.53
17.66	-84.39	70.78
17.73	-84.54	67.11
17.79	-84.68	63.52
17.86	-84.82	60.01
17.93	-84.95	56.57
18.00	-85.07	53.22
18.06	-85.18	49.94
18.13	-85.28	46.73
18.20	-85.38	43.61
18.27	-85.47	40.55
18.34	-85.55	37.58
18.41	-85.62	34.67
18.48	-85.69	31.84
18.55	-85.75	29.09
18.62	-85.80	26.40
18.69	-85.85	23.79
18.76	-85.89	21.25
18.83	-85.93	18.78
18.90	-85.95	16.37
18.97	-85.98	14.04
19.04	-85.99	11.77
19.11	-86.00	9.57
19.19	-86.01	7.44
19.26	-86.01	5.37
19.33	-86.01	3.36
19.40	-86.00	1.42
19.48	-85.98	-0.46
19.55	-85.97	-2.28
19.62	-85.94	-4.04
19.70	-85.92	-5.75
19.77	-85.89	-7.39
19.85	-85.86	-8.99
19.92	-85.82	-10.52
20.00	-85.79	-12.00
20.07	-85.75	-13.44
20.15	-85.70	-14.82
20.22	-85.66	-16.15
20.30	-85.61	-17.43
20.38	-85.56	-18.67
20.45	-85.52	-19.87
20.53	-85.47	-21.02
20.61	-85.42	-22.13
20.69	-85.37	-23.19
20.77	-85.32	-24.22
20.84	-85.27	-25.19
20.92	-85.22	-26.12
21.00	-85.18	-27.00
21.08	-85.13	-27.83
21.16	-85.09	-28.61
21.24	-85.05	-29.34
21.32	-85.02	-30.01
21.40	-84.99	-30.62
21.48	-84.96	-31.18
21.56	-84.94	-31.68
21.64	-84.92	-32.12
21.73	-84.91	-32.50
21.81	-84.91	-32.82
21.89	-84.91	-33.07
21.97	-84.92	-33.25
22.06	-84.94	-33.37
22.14	-84.97	-33.41
22.22	-85.00	-33.39
22.31	-85.05	-33.29
22.39	-85.10	-33.11
22.47	-85.17	-32.86
22.56	-85.25	-32.53
22.64	-85.34	-32.12
22.73	-85.44	-31.63
22.82	-85.56	-31.05
22.90	-85.69	-30.38
22.99	-85.83	-29.63
23.07	-86.00	-28.79
23.16	-86.17	-27.85
23.25	-86.37	-26.82
23.34	-86.58	-25.69
23.43	-86.81	-24.46
23.51	-87.06	-23.13
23.60	-87.33	-21.71
23.69	-87.62	-20.18
23.78	-87.92	-18.56
23.87	-88.24	-16.85
23.96	-88.57	-15.05
24.05	-88.92	-13.16
24.14	-89.27	-11.19
24.23	-89.64	-9.13
24.32	-90.02	-7.00
24.42	-90.40	-4.78
24.51	-90.79	-2.50
24.60	-91.19	-0.14
24.69	-91.59	2.28
24.79	-91.99	4.77
24.88	-92.39	7.32
24.97	-92.79	9.92
25.07	-93.19	12.58
25.16	-93.59	15.29
25.26	-93.98	18.05
25.35	-94.36	20.85
25.45	-94.74	23.70
25.54	-95.11	26.57
25.64	-95.46	29.48
25.74	-95.80	32.42
25.84	-96.12	35.38
25.93	-96.43	38.36
26.03	-96.72	41.35
26.13	-96.98	44.36
26.23	-97.23	47.37
26.33	-97.45	50.38
26.43	-97.64	53.39
26.53	-97.80	56.40
26.63	-97.93	59.39
26.73	-98.04	62.37
26.83	-98.13	65.34
26.93	-98.18	68.29
27.03	-98.21	71.23
27.13	-98.22	74.14
27.23	-98.20	77.02
27.34	-98.16	79.88
27.44	-98.10	82.71
27.54	-98.01	85.50
27.65	-97.90	88.26
27.75	-97.78	90.98
27.86	-97.63	93.65
27.96	-97.46	96.29
28.07	-97.27	98.87
28.17	-97.07	101.40
28.28	-96.85	103.87
28.39	-96.61	106.28
28.49	-96.36	108.64
28.60	-96.09	110.92
28.71	-95.81	113.14
28.82	-95.52	115.28
28.93	-95.21	117.35
29.03	-94.90	119.33
29.14	-94.57	121.23
29.25	-94.24	123.04
29.36	-93.89	124.76
29.48	-93.54	126.38
29.59	-93.19	127.91
29.70	-92.83	129.36
29.81	-92.46	130.72
29.92	-92.10	132.00
30.04	-91.73	133.20
30.15	-91.36	134.33
30.26	-91.00	135.38
30.38	-90.64	136.36
30.49	-90.28	137.28
30.61	-89.93	138.13
30.72	-89.58	138.93
30.84	-89.25	139.67
30.95	-88.92	140.36
31.07	-88.61	141.00
31.19	-88.31	141.59
31.31	-88.02	142.15
31.42	-87.75	142.67
31.54	-87.50	143.16
31.66	-87.27	143.62
31.78	-87.06	144.06
31.90	-86.87	144.48
32.02	-86.71	144.88
32.14	-86.58	145.28
32.26	-86.47	145.67
32.39	-86.40	146.06
32.51	-86.35	146.45
32.63	-86.32	146.83
32.75	-86.33	147.21
32.88	-86.35	147.59
33.00	-86.40	147.97
33.13	-86.46	148.34
33.25	-86.54	148.70
33.38	-86.64	149.06
33.50	-86.75	149.41
33.63	-86.87	149.76
33.76	-87.00	150.09
33.88	-87.14	150.42
34.01	-87.28	150.74
34.14	-87.43	151.05
34.27	-87.57	151.35
34.40	-87.71	151.64
34.53	-87.85	151.91
34.66	-87.98	152.18
34.79	-88.10	152.42
34.92	-88.21	152.66
35.05	-88.31	152.88
35.18	-88.38	153.08
35.32	-88.44	153.26
35.45	-88.48	153.43
35.58	-88.50	153.57
35.72	-88.50	153.68
35.85	-88.48	153.75
35.99	-88.45	153.80
36.12	-88.40	153.80
36.26	-88.33	153.75
36.40	-88.24	153.66
36.53	-88.14	153.52
36.67	-88.03	153.32
36.81	-87.90	153.05
36.95	-87.76	152.73
37.09	-87.60	152.33
37.23	-87.43	151.85
37.37	-87.25	151.29
37.51	-87.06	150.65
37.65	-86.86	149.92
37.79	-86.65	149.10
37.94	-86.42	148.17
38.08	-86.19	147.14
38.22	-85.95	146.00
38.37	-85.71	144.75
38.51	-85.45	143.42
38.66	-85.19	142.02
38.80	-84.93	140.55
38.95	-84.66	139.03
39.10	-84.38	137.48
39.24	-84.11	135.90
39.39	-83.83	134.31
39.54	-83.55	132.73
39.69	-83.27	131.17
39.84	-82.99	129.64
39.99	-82.71	128.16
40.14	-82.43	126.74
40.29	-82.16	125.41
40.45	-81.89	124.17
40.60	-81.63	123.05
40.75	-81.37	122.06
40.90	-81.12	121.22
41.06	-80.87	120.54
41.21	-80.64	120.03
41.37	-80.42	119.69
41.53	-80.20	119.50
41.68	-80.00	119.44
41.84	-79.80	119.51
42.00	-79.61	119.68
42.16	-79.43	119.95
42.32	-79.27	120.30
42.47	-79.11	120.71
42.63	-78.96	121.17
42.80	-78.82	121.67
42.96	-78.69	122.18
43.12	-78.57	122.69
43.28	-78.46	123.19
43.45	-78.36	123.65
43.61	-78.27	124.06
43.77	-78.20	124.41
43.94	-78.13	124.66
44.10	-78.07	124.82
44.27	-78.02	124.87
44.44	-77.99	124.83
44.61	-77.95	124.72
44.77	-77.93	124.52
44.94	-77.90	124.27
45.11	-77.88	123.95
45.28	-77.87	123.59
45.45	-77.85	123.19
45.63	-77.83	122.77
45.80	-77.81	122.33
45.97	-77.78	121.88
46.14	-77.75	121.43
46.32	-77.71	120.99
46.49	-77.66	120.58
46.67	-77.61	120.21
46.84	-77.53	119.88
47.02	-77.45	119.61
47.20	-77.35	119.39
47.38	-77.24	119.22
47.56	-77.12	119.08
47.74	-76.98	118.98
47.92	-76.84	118.89
48.10	-76.68	118.81
48.28	-76.52	118.74
48.46	-76.34	118.66
48.64	-76.17	118.56
48.83	-75.98	118.44
49.01	-75.79	118.27
49.20	-75.59	118.07
49.38	-75.39	117.80
49.57	-75.19	117.47
49.75	-74.99	117.05
49.94	-74.79	116.55
50.13	-74.59	115.97
50.32	-74.38	115.31
50.51	-74.18	114.58
50.70	-73.98	113.81
50.89	-73.78	112.99
51.08	-73.58	112.15
51.28	-73.39	111.29
51.47	-73.19	110.43
51.66	-73.00	109.58
51.86	-72.81	108.75
52.05	-72.62	107.96
52.25	-72.44	107.22
52.45	-72.26	106.54
52.65	-72.09	105.94
52.85	-71.91	105.44
53.04	-71.75	105.02
53.24	-71.58	104.69
53.45	-71.42	104.43
53.65	-71.27	104.22
53.85	-71.11	104.05
54.05	-70.96	103.91
54.26	-70.81	103.79
54.46	-70.66	103.67
54.67	-70.51	103.53
54.87	-70.36	103.37
55.08	-70.21	103.16
55.29	-70.06	102.90
55.50	-69.90	102.55
55.71	-69.75	102.12
55.92	-69.59	101.59
56.13	-69.43	100.96
56.34	-69.27	100.25
56.55	-69.10	99.44
56.77	-68.94	98.57
56.98	-68.77	97.62
57.19	-68.59	96.62
57.41	-68.41	95.56
57.63	-68.23	94.45
57.84	-68.05	93.30
58.06	-67.86	92.13
58.28	-67.67	90.93
58.50	-67.48	89.71
58.72	-67.28	88.49
58.94	-67.08	87.27
59.17	-66.87	86.05
59.39	-66.67	84.81
59.61	-66.46	83.57
59.84	-66.26	82.32
60.06	-66.05	81.05
60.29	-65.85	79.77
60.52	-65.65	78.47
60.75	-65.45	77.16
60.98	-65.26	75.82
61.21	-65.08	74.46
61.44	-64.90	73.08
61.67	-64.73	71.67
61.90	-64.57	70.23
62.14	-64.42	68.76
62.37	-64.27	67.27
62.61	-64.14	65.75
62.84	-64.01	64.21
63.08	-63.89	62.64
63.32	-63.77	61.06
63.56	-63.67	59.45
63.80	-63.56	57.82
64.04	-63.47	56.17
64.28	-63.38	54.51
64.52	-63.29	52.82
64.76	-63.21	51.13
65.01	-63.14	49.41
65.25	-63.07	47.69
65.50	-63.01	45.95
65.75	-62.94	44.20
66.00	-62.89	42.44
66.24	-62.84	40.66
66.49	-62.79	38.88
66.75	-62.74	37.09
67.00	-62.70	35.29
67.25	-62.67	33.48
67.50	-62.63	31.67
67.76	-62.60	29.86
68.01	-62.58	28.04
68.27	-62.55	26.23
68.53	-62.54	24.43
68.79	-62.52	22.63
69.05	-62.51	20.86
69.31	-62.50	19.10
69.57	-62.50	17.36
69.83	-62.50	15.65
70.09	-62.51	13.97
70.36	-62.52	12.33
70.62	-62.54	10.73
70.89	-62.56	9.16
71.16	-62.59	7.61
71.43	-62.62	6.10
71.70	-62.66	4.60
71.97	-62.70	3.12
72.24	-62.75	1.65
72.51	-62.80	0.19
72.79	-62.85	-1.27
73.06	-62.90	-2.74
73.34	-62.96	-4.22
73.61	-63.03	-5.71
73.89	-63.09	-7.21
74.17	-63.16	-8.71
74.45	-63.22	-10.21
74.73	-63.29	-11.71
75.01	-63.36	-13.19
75.29	-63.42	-14.66
75.58	-63.49	-16.11
75.86	-63.55	-17.53
76.15	-63.60	-18.91
76.44	-63.65	-20.26
76.73	-63.70	-21.57
77.02	-63.75	-22.84
77.31	-63.80	-24.05
77.60	-63.84	-25.21
77.89	-63.89	-26.31
78.18	-63.94	-27.34
78.48	-64.00	-28.31
78.78	-64.06	-29.20
79.07	-64.14	-30.02
79.37	-64.22	-30.75
79.67	-64.31	-31.42
79.97	-64.40	-32.04
80.27	-64.51	-32.65
