Freq[Hz]	[dBV]	Phase[Deg]
10.00	-58.67	-105.10
10.04	-58.86	-104.93
10.08	-59.05	-104.75
10.11	-59.23	-104.56
10.15	-59.42	-104.34
10.19	-59.62	-104.11
10.23	-59.81	-103.86
10.27	-60.00	-103.59
10.31	-60.20	-103.29
10.34	-60.39	-102.98
10.38	-60.59	-102.64
10.42	-60.79	-102.28
10.46	-60.99	-101.89
10.50	-61.19	-101.48
10.54	-61.38	-101.04
10.58	-61.58	-100.57
10.62	-61.78	-100.07
10.66	-61.98	-99.54
10.70	-62.18	-98.99
10.74	-62.38	-98.40
10.78	-62.58	-97.77
10.82	-62.78	-97.11
10.86	-62.98	-96.42
10.90	-63.18	-95.69
10.95	-63.38	-94.92
10.99	-63.58	-94.12
11.03	-63.78	-93.27
11.07	-63.98	-92.38
11.11	-64.17	-91.45
11.15	-64.37	-90.47
11.20	-64.56	-89.45
11.24	-64.75	-88.38
11.28	-64.94	-87.27
11.32	-65.13	-86.10
11.37	-65.32	-84.88
11.41	-65.50	-83.62
11.45	-65.69	-82.29
11.50	-65.87	-80.91
11.54	-66.05	-79.48
11.58	-66.22	-77.98
11.63	-66.40	-76.43
11.67	-66.57	-74.81
11.71	-66.74	-73.13
11.76	-66.90	-71.39
11.80	-67.06	-69.58
11.85	-67.22	-67.71
11.89	-67.38	-65.78
11.94	-67.53	-63.78
11.98	-67.68	-61.73
12.03	-67.82	-59.61
12.07	-67.96	-57.44
12.12	-68.10	-55.21
12.16	-68.24	-52.92
12.21	-68.37	-50.58
12.26	-68.50	-48.19
12.30	-68.62	-45.74
12.35	-68.74	-43.25
12.39	-68.86	-40.70
12.44	-68.97	-38.11
12.49	-69.08	-35.47
12.54	-69.18	-32.78
12.58	-69.29	-30.05
12.63	-69.38	-27.28
12.68	-69.48	-24.47
12.73	-69.56	-21.62
12.77	-69.65	-18.73
12.82	-69.73	-15.81
12.87	-69.81	-12.85
12.92	-69.88	-9.86
12.97	-69.94	-6.85
13.02	-70.01	-3.80
13.07	-70.07	-0.73
13.12	-70.12	2.37
13.16	-70.17	5.49
13.21	-70.21	8.63
13.26	-70.25	11.78
13.31	-70.29	14.95
13.36	-70.32	18.14
13.41	-70.34	21.33
13.47	-70.36	24.54
13.52	-70.37	27.75
13.57	-70.38	30.96
13.62	-70.39	34.18
13.67	-70.39	37.40
13.72	-70.38	40.61
13.77	-70.37	43.81
13.83	-70.35	47.00
13.88	-70.33	50.19
13.93	-70.30	53.35
13.98	-70.27	56.50
14.04	-70.23	59.63
14.09	-70.18	62.74
14.14	-70.13	65.81
14.19	-70.07	68.86
14.25	-70.01	71.87
14.30	-69.94	74.85
14.36	-69.86	77.78
14.41	-69.78	80.67
14.46	-69.69	83.52
14.52	-69.59	86.31
14.57	-69.49	89.05
14.63	-69.38	91.73
14.68	-69.27	94.35
14.74	-69.15	96.90
14.80	-69.02	99.39
14.85	-68.89	101.82
14.91	-68.75	104.18
14.96	-68.60	106.49
15.02	-68.45	108.73
15.08	-68.29	110.90
15.13	-68.13	113.02
15.19	-67.96	115.08
15.25	-67.78	117.07
15.31	-67.61	119.01
15.36	-67.42	120.88
15.42	-67.24	122.70
15.48	-67.04	124.46
15.54	-66.85	126.15
15.60	-66.65	127.79
15.66	-66.45	129.38
15.71	-66.24	130.90
15.77	-66.03	132.38
15.83	-65.82	133.79
15.89	-65.61	135.15
15.95	-65.39	136.46
16.01	-65.17	137.71
16.07	-64.95	138.91
16.13	-64.73	140.05
16.19	-64.51	141.15
16.26	-64.29	142.20
16.32	-64.06	143.19
16.38	-63.84	144.14
16.44	-63.61	145.04
16.50	-63.39	145.89
16.56	-63.17	146.69
16.63	-62.95	147.45
16.69	-62.73	148.16
16.75	-62.51	148.84
16.82	-62.29	149.46
16.88	-62.08	150.05
16.94	-61.87	150.60
17.01	-61.66	151.11
17.07	-61.46	151.58
17.14	-61.26	152.01
17.20	-61.07	152.41
17.27	-60.88	152.77
17.33	-60.69	153.10
17.40	-60.52	153.40
17.46	-60.34	153.67
17.53	-60.18	153.91
17.59	-60.02	154.12
17.66	-59.87	154.31
17.73	-59.73	154.47
17.79	-59.59	154.60
17.86	-59.46	154.71
17.93	-59.34	154.80
18.00	-59.23	154.87
18.06	-59.12	154.91
18.13	-59.02	154.93
18.20	-58.92	154.93
18.27	-58.83	154.92
18.34	-58.75	154.88
18.41	-58.67	154.82
18.48	-58.60	154.75
18.55	-58.53	154.67
18.62	-58.47	154.56
18.69	-58.41	154.45
18.76	-58.35	154.32
18.83	-58.31	154.17
18.90	-58.26	154.02
18.97	-58.22	153.86
19.04	-58.18	153.69
19.11	-58.15	153.51
19.19	-58.12	153.32
19.26	-58.09	153.13
19.33	-58.06	152.93
19.40	-58.04	152.73
19.48	-58.01	152.53
19.55	-57.99	152.33
19.62	-57.97	152.13
19.70	-57.95	151.93
19.77	-57.94	151.74
19.85	-57.92	151.55
19.92	-57.90	151.36
20.00	-57.88	151.19
20.07	-57.86	151.02
20.15	-57.84	150.87
20.22	-57.82	150.72
20.30	-57.80	150.59
20.38	-57.77	150.48
20.45	-57.75	150.38
20.53	-57.71	150.31
20.61	-57.68	150.25
20.69	-57.64	150.21
20.77	-57.60	150.19
20.84	-57.56	150.19
20.92	-57.51	150.20
21.00	-57.46	150.23
21.08	-57.40	150.27
21.16	-57.35	150.32
21.24	-57.29	150.39
21.32	-57.23	150.46
21.40	-57.16	150.55
21.48	-57.10	150.64
21.56	-57.03	150.74
21.64	-56.96	150.85
21.73	-56.88	150.96
21.81	-56.81	151.07
21.89	-56.73	151.19
21.97	-56.65	151.30
22.06	-56.57	151.42
22.14	-56.48	151.53
22.22	-56.40	151.63
22.31	-56.31	151.74
22.39	-56.22	151.83
22.47	-56.13	151.91
22.56	-56.04	151.99
22.64	-55.95	152.05
22.73	-55.86	152.10
22.82	-55.76	152.13
22.90	-55.67	152.15
22.99	-55.57	152.15
23.07	-55.48	152.12
23.16	-55.38	152.07
23.25	-55.29	152.00
23.34	-55.19	151.90
23.43	-55.10	151.78
23.51	-55.00	151.62
23.60	-54.91	151.43
23.69	-54.81	151.21
23.78	-54.72	150.96
23.87	-54.62	150.68
23.96	-54.53	150.37
24.05	-54.44	150.03
24.14	-54.34	149.66
24.23	-54.25	149.26
24.32	-54.16	148.83
24.42	-54.06	148.37
24.51	-53.97	147.89
24.60	-53.87	147.38
24.69	-53.78	146.84
24.79	-53.69	146.27
24.88	-53.59	145.68
24.97	-53.50	145.05
25.07	-53.40	144.41
25.16	-53.31	143.73
25.26	-53.21	143.04
25.35	-53.12	142.31
25.45	-53.02	141.57
25.54	-52.93	140.79
25.64	-52.83	140.00
25.74	-52.73	139.18
25.84	-52.63	138.34
25.93	-52.53	137.48
26.03	-52.43	136.59
26.13	-52.33	135.69
26.23	-52.23	134.76
26.33	-52.13	133.82
26.43	-52.03	132.85
26.53	-51.92	131.87
26.63	-51.82	130.86
26.73	-51.71	129.84
26.83	-51.61	128.80
26.93	-51.50	127.75
27.03	-51.40	126.67
27.13	-51.29	125.58
27.23	-51.19	124.46
27.34	-51.09	123.33
27.44	-50.99	122.19
27.54	-50.89	121.03
27.65	-50.79	119.85
27.75	-50.70	118.65
27.86	-50.61	117.44
27.96	-50.52	116.21
28.07	-50.44	114.96
28.17	-50.36	113.70
28.28	-50.29	112.43
28.39	-50.21	111.14
28.49	-50.15	109.84
28.60	-50.09	108.52
28.71	-50.03	107.19
28.82	-49.98	105.84
28.93	-49.94	104.48
29.03	-49.91	103.11
29.14	-49.88	101.73
29.25	-49.86	100.33
29.36	-49.85	98.92
29.48	-49.85	97.50
29.59	-49.85	96.07
29.70	-49.87	94.63
29.81	-49.89	93.19
29.92	-49.92	91.73
30.04	-49.96	90.27
30.15	-50.01	88.80
30.26	-50.07	87.33
30.38	-50.14	85.85
30.49	-50.22	84.37
30.61	-50.31	82.89
30.72	-50.41	81.41
30.84	-50.52	79.93
30.95	-50.64	78.44
31.07	-50.77	76.97
31.19	-50.91	75.49
31.31	-51.06	74.02
31.42	-51.22	72.56
31.54	-51.40	71.10
31.66	-51.58	69.65
31.78	-51.78	68.21
31.90	-51.98	66.78
32.02	-52.20	65.36
32.14	-52.43	63.96
32.26	-52.68	62.57
32.39	-52.93	61.20
32.51	-53.20	59.87
32.63	-53.48	58.57
32.75	-53.77	57.32
32.88	-54.07	56.14
33.00	-54.37	55.04
33.13	-54.69	54.02
33.25	-55.02	53.10
33.38	-55.36	52.30
33.50	-55.71	51.62
33.63	-56.06	51.08
33.76	-56.42	50.69
33.88	-56.79	50.47
34.01	-57.17	50.43
34.14	-57.55	50.59
34.27	-57.94	50.95
34.40	-58.33	51.54
34.53	-58.73	52.36
34.66	-59.13	53.45
34.79	-59.54	54.80
34.92	-59.94	56.44
35.05	-60.35	58.38
35.18	-60.77	60.64
35.32	-61.18	63.23
35.45	-61.59	66.12
35.58	-62.00	69.29
35.72	-62.40	72.73
35.85	-62.80	76.39
35.99	-63.18	80.27
36.12	-63.55	84.32
36.26	-63.91	88.53
36.40	-64.25	92.87
36.53	-64.57	97.31
36.67	-64.87	101.81
36.81	-65.14	106.36
36.95	-65.39	110.93
37.09	-65.61	115.47
37.23	-65.79	119.96
37.37	-65.94	124.37
37.51	-66.05	128.67
37.65	-66.11	132.82
37.79	-66.14	136.78
37.94	-66.11	140.53
38.08	-66.04	144.02
38.22	-65.91	147.24
38.37	-65.73	150.17
38.51	-65.50	152.83
38.66	-65.23	155.23
38.80	-64.92	157.38
38.95	-64.57	159.30
39.10	-64.19	160.99
39.24	-63.78	162.47
39.39	-63.35	163.75
39.54	-62.89	164.85
39.69	-62.42	165.77
39.84	-61.93	166.53
39.99	-61.44	167.14
40.14	-60.94	167.62
40.29	-60.45	167.99
40.45	-59.96	168.25
40.60	-59.48	168.42
40.75	-59.01	168.52
40.90	-58.57	168.57
41.06	-58.15	168.58
41.21	-57.76	168.56
41.37	-57.40	168.51
41.53	-57.06	168.44
41.68	-56.74	168.35
41.84	-56.45	168.24
42.00	-56.18	168.12
42.16	-55.92	167.98
42.32	-55.69	167.83
42.47	-55.46	167.66
42.63	-55.25	167.49
42.80	-55.06	167.31
42.96	-54.87	167.13
43.12	-54.68	166.95
43.28	-54.51	166.77
43.45	-54.33	166.59
43.61	-54.15	166.43
43.77	-53.98	166.27
43.94	-53.80	166.12
44.10	-53.61	165.99
44.27	-53.42	165.87
44.44	-53.22	165.76
44.61	-53.01	165.67
44.77	-52.80	165.59
44.94	-52.59	165.52
45.11	-52.38	165.47
45.28	-52.16	165.42
45.45	-51.95	165.38
45.63	-51.73	165.36
45.80	-51.51	165.34
45.97	-51.29	165.32
46.14	-51.08	165.31
46.32	-50.87	165.31
46.49	-50.66	165.31
46.67	-50.45	165.31
46.84	-50.25	165.32
47.02	-50.06	165.33
47.20	-49.87	165.33
47.38	-49.69	165.34
47.56	-49.51	165.34
47.74	-49.34	165.34
47.92	-49.17	165.33
48.10	-49.00	165.31
48.28	-48.84	165.29
48.46	-48.69	165.26
48.64	-48.53	165.21
48.83	-48.38	165.15
49.01	-48.23	165.07
49.20	-48.08	164.98
49.38	-47.93	164.87
49.57	-47.79	164.74
49.75	-47.64	164.58
49.94	-47.49	164.41
50.13	-47.35	164.20
50.32	-47.20	163.98
50.51	-47.05	163.74
50.70	-46.90	163.48
50.89	-46.75	163.20
51.08	-46.60	162.91
51.28	-46.45	162.61
51.47	-46.30	162.29
51.66	-46.14	161.97
51.86	-45.99	161.64
52.05	-45.83	161.31
52.25	-45.67	160.97
52.45	-45.51	160.64
52.65	-45.35	160.31
52.85	-45.18	159.98
53.04	-45.02	159.66
53.24	-44.85	159.34
53.45	-44.68	159.03
53.65	-44.51	158.72
53.85	-44.34	158.41
54.05	-44.17	158.10
54.26	-44.00	157.79
54.46	-43.82	157.48
54.67	-43.65	157.16
54.87	-43.47	156.84
55.08	-43.30	156.51
55.29	-43.12	156.18
55.50	-42.95	155.83
55.71	-42.77	155.48
55.92	-42.60	155.11
56.13	-42.42	154.74
56.34	-42.25	154.35
56.55	-42.08	153.95
56.77	-41.90	153.54
56.98	-41.73	153.13
57.19	-41.56	152.70
57.41	-41.38	152.27
57.63	-41.21	151.82
57.84	-41.04	151.37
58.06	-40.87	150.91
58.28	-40.69	150.45
58.50	-40.52	149.98
58.72	-40.35	149.50
58.94	-40.18	149.01
59.17	-40.01	148.52
59.39	-39.83	148.02
59.61	-39.66	147.51
59.84	-39.49	146.99
60.06	-39.32	146.45
60.29	-39.15	145.90
60.52	-38.97	145.34
60.75	-38.80	144.76
60.98	-38.63	144.16
61.21	-38.46	143.55
61.44	-38.29	142.91
61.67	-38.12	142.26
61.90	-37.95	141.58
62.14	-37.77	140.87
62.37	-37.60	140.15
62.61	-37.43	139.40
62.84	-37.26	138.63
63.08	-37.08	137.84
63.32	-36.91	137.02
63.56	-36.74	136.18
63.80	-36.56	135.31
64.04	-36.38	134.42
64.28	-36.21	133.50
64.52	-36.03	132.55
64.76	-35.85	131.58
65.01	-35.66	130.59
65.25	-35.48	129.56
65.50	-35.30	128.50
65.75	-35.12	127.42
66.00	-34.94	126.30
66.24	-34.76	125.15
66.49	-34.58	123.97
66.75	-34.41	122.75
67.00	-34.24	121.50
67.25	-34.07	120.21
67.50	-33.90	118.88
67.76	-33.75	117.51
68.01	-33.59	116.11
68.27	-33.44	114.67
68.53	-33.30	113.19
68.79	-33.15	111.68
