Freq[Hz]	[dBV]	Phase[Deg]
10.00	-68.16	82.06
10.04	-68.17	80.32
10.08	-68.17	78.60
10.11	-68.18	76.89
10.15	-68.18	75.19
10.19	-68.18	73.50
10.23	-68.19	71.84
10.27	-68.19	70.19
10.31	-68.19	68.55
10.34	-68.18	66.94
10.38	-68.18	65.34
10.42	-68.18	63.76
10.46	-68.17	62.21
10.50	-68.17	60.67
10.54	-68.16	59.16
10.58	-68.16	57.68
10.62	-68.15	56.22
10.66	-68.14	54.78
10.70	-68.14	53.37
10.74	-68.13	52.00
10.78	-68.12	50.65
10.82	-68.11	49.33
10.86	-68.10	48.04
10.90	-68.09	46.78
10.95	-68.08	45.56
10.99	-68.07	44.38
11.03	-68.07	43.23
11.07	-68.06	42.12
11.11	-68.05	41.04
11.15	-68.04	40.01
11.20	-68.03	39.02
11.24	-68.02	38.07
11.28	-68.02	37.17
11.32	-68.01	36.31
11.37	-68.01	35.50
11.41	-68.00	34.74
11.45	-68.00	34.03
11.50	-68.00	33.37
11.54	-67.99	32.76
11.58	-67.99	32.21
11.63	-68.00	31.71
11.67	-68.00	31.27
11.71	-68.00	30.90
11.76	-68.01	30.58
11.80	-68.01	30.32
11.85	-68.02	30.12
11.89	-68.04	29.98
11.94	-68.05	29.90
11.98	-68.06	29.88
12.03	-68.08	29.92
12.07	-68.10	30.01
12.12	-68.12	30.16
12.16	-68.14	30.37
12.21	-68.16	30.63
12.26	-68.19	30.94
12.30	-68.22	31.31
12.35	-68.25	31.72
12.39	-68.28	32.19
12.44	-68.31	32.71
12.49	-68.35	33.28
12.54	-68.39	33.90
12.58	-68.43	34.56
12.63	-68.47	35.28
12.68	-68.51	36.03
12.73	-68.56	36.83
12.77	-68.61	37.68
12.82	-68.66	38.56
12.87	-68.72	39.49
12.92	-68.77	40.46
12.97	-68.83	41.46
13.02	-68.89	42.50
13.07	-68.96	43.58
13.12	-69.02	44.69
13.16	-69.09	45.84
13.21	-69.16	47.01
13.26	-69.24	48.22
13.31	-69.31	49.45
13.36	-69.39	50.71
13.41	-69.48	52.00
13.47	-69.56	53.31
13.52	-69.65	54.64
13.57	-69.74	55.99
13.62	-69.83	57.37
13.67	-69.93	58.75
13.72	-70.03	60.16
13.77	-70.13	61.57
13.83	-70.24	63.00
13.88	-70.35	64.44
13.93	-70.46	65.88
13.98	-70.58	67.33
14.04	-70.69	68.78
14.09	-70.82	70.23
14.14	-70.94	71.68
14.19	-71.07	73.13
14.25	-71.20	74.57
14.30	-71.34	76.01
14.36	-71.48	77.43
14.41	-71.62	78.84
14.46	-71.77	80.23
14.52	-71.92	81.61
14.57	-72.07	82.96
14.63	-72.23	84.30
14.68	-72.39	85.60
14.74	-72.55	86.88
14.80	-72.72	88.13
14.85	-72.89	89.36
14.91	-73.07	90.56
14.96	-73.25	91.74
15.02	-73.43	92.89
15.08	-73.61	94.02
15.13	-73.79	95.13
15.19	-73.98	96.21
15.25	-74.17	97.28
15.31	-74.36	98.32
15.36	-74.55	99.35
15.42	-74.75	100.36
15.48	-74.94	101.35
15.54	-75.13	102.32
15.60	-75.33	103.28
15.66	-75.52	104.22
15.71	-75.72	105.15
15.77	-75.91	106.06
15.83	-76.10	106.97
15.89	-76.29	107.86
15.95	-76.48	108.74
16.01	-76.67	109.62
16.07	-76.86	110.48
16.13	-77.04	111.34
16.19	-77.22	112.20
16.26	-77.40	113.05
16.32	-77.57	113.89
16.38	-77.74	114.74
16.44	-77.91	115.58
16.50	-78.07	116.42
