Freq[Hz]	[dBV]	Phase[Deg]
10.00	-62.03	1.39
10.04	-62.05	1.06
10.08	-62.07	0.74
10.11	-62.09	0.42
10.15	-62.11	0.10
10.19	-62.12	-0.22
10.23	-62.14	-0.53
10.27	-62.15	-0.83
10.31	-62.16	-1.14
10.34	-62.17	-1.44
10.38	-62.17	-1.73
10.42	-62.18	-2.03
10.46	-62.19	-2.31
10.50	-62.19	-2.60
10.54	-62.19	-2.88
10.58	-62.19	-3.16
10.62	-62.19	-3.44
10.66	-62.19	-3.72
10.70	-62.19	-3.99
10.74	-62.18	-4.25
10.78	-62.18	-4.52
10.82	-62.17	-4.78
10.86	-62.17	-5.04
10.90	-62.16	-5.30
10.95	-62.15	-5.55
10.99	-62.14	-5.80
11.03	-62.13	-6.05
11.07	-62.12	-6.30
11.11	-62.11	-6.54
11.15	-62.10	-6.78
11.20	-62.08	-7.02
11.24	-62.07	-7.26
11.28	-62.06	-7.49
11.32	-62.04	-7.73
11.37	-62.03	-7.96
11.41	-62.01	-8.19
11.45	-62.00	-8.42
11.50	-61.98	-8.64
11.54	-61.97	-8.87
11.58	-61.95	-9.09
11.63	-61.94	-9.31
11.67	-61.92	-9.53
11.71	-61.91	-9.75
11.76	-61.89	-9.97
11.80	-61.87	-10.19
11.85	-61.86	-10.41
11.89	-61.85	-10.62
11.94	-61.83	-10.84
11.98	-61.82	-11.05
12.03	-61.80	-11.26
12.07	-61.79	-11.47
12.12	-61.77	-11.68
12.16	-61.76	-11.89
12.21	-61.74	-12.09
12.26	-61.73	-12.30
12.30	-61.72	-12.50
12.35	-61.70	-12.70
12.39	-61.69	-12.90
12.44	-61.67	-13.10
12.49	-61.66	-13.29
12.54	-61.64	-13.48
12.58	-61.63	-13.67
12.63	-61.61	-13.86
12.68	-61.60	-14.05
12.73	-61.58	-14.23
12.77	-61.57	-14.41
12.82	-61.55	-14.59
12.87	-61.54	-14.76
12.92	-61.52	-14.93
12.97	-61.50	-15.10
13.02	-61.48	-15.27
13.07	-61.47	-15.43
13.12	-61.45	-15.59
13.16	-61.43	-15.75
13.21	-61.41	-15.90
13.26	-61.39	-16.05
13.31	-61.37	-16.20
13.36	-61.35	-16.34
13.41	-61.33	-16.48
13.47	-61.30	-16.61
13.52	-61.28	-16.74
13.57	-61.26	-16.87
13.62	-61.23	-16.99
13.67	-61.21	-17.11
13.72	-61.18	-17.22
13.77	-61.15	-17.33
13.83	-61.13	-17.43
13.88	-61.10	-17.53
13.93	-61.07	-17.62
13.98	-61.03	-17.71
14.04	-61.00	-17.79
14.09	-60.97	-17.87
14.14	-60.93	-17.94
14.19	-60.90	-18.01
14.25	-60.86	-18.07
14.30	-60.82	-18.12
14.36	-60.78	-18.17
14.41	-60.74	-18.21
14.46	-60.70	-18.24
14.52	-60.65	-18.27
14.57	-60.60	-18.29
14.63	-60.56	-18.31
14.68	-60.51	-18.31
14.74	-60.46	-18.31
14.80	-60.40	-18.31
14.85	-60.35	-18.30
14.91	-60.29	-18.28
14.96	-60.23	-18.25
15.02	-60.17	-18.22
15.08	-60.11	-18.18
15.13	-60.05	-18.14
15.19	-59.98	-18.09
15.25	-59.92	-18.04
15.31	-59.85	-17.98
15.36	-59.78	-17.92
15.42	-59.71	-17.85
15.48	-59.64	-17.78
15.54	-59.56	-17.71
15.60	-59.49	-17.63
15.66	-59.41	-17.55
15.71	-59.33	-17.47
15.77	-59.25	-17.38
15.83	-59.17	-17.30
15.89	-59.09	-17.21
15.95	-59.00	-17.12
16.01	-58.92	-17.03
16.07	-58.83	-16.94
16.13	-58.75	-16.84
16.19	-58.66	-16.75
16.26	-58.57	-16.66
16.32	-58.47	-16.57
16.38	-58.38	-16.48
16.44	-58.29	-16.40
16.50	-58.19	-16.31
16.56	-58.10	-16.23
16.63	-58.00	-16.15
16.69	-57.90	-16.07
16.75	-57.80	-16.00
16.82	-57.70	-15.93
16.88	-57.60	-15.87
16.94	-57.50	-15.81
17.01	-57.40	-15.76
17.07	-57.29	-15.72
17.14	-57.19	-15.68
17.20	-57.09	-15.65
17.27	-56.98	-15.63
17.33	-56.87	-15.61
17.40	-56.77	-15.61
17.46	-56.66	-15.61
17.53	-56.55	-15.63
17.59	-56.45	-15.65
17.66	-56.34	-15.69
17.73	-56.23	-15.74
17.79	-56.12	-15.80
17.86	-56.01	-15.87
17.93	-55.90	-15.95
18.00	-55.79	-16.04
18.06	-55.68	-16.14
18.13	-55.57	-16.25
18.20	-55.46	-16.37
18.27	-55.34	-16.50
18.34	-55.23	-16.65
18.41	-55.12	-16.80
18.48	-55.00	-16.95
18.55	-54.89	-17.12
18.62	-54.78	-17.30
18.69	-54.66	-17.48
18.76	-54.55	-17.68
18.83	-54.43	-17.88
18.90	-54.31	-18.09
18.97	-54.20	-18.30
19.04	-54.08	-18.52
19.11	-53.96	-18.75
19.19	-53.85	-18.99
19.26	-53.73	-19.23
19.33	-53.61	-19.48
19.40	-53.49	-19.74
19.48	-53.37	-20.00
19.55	-53.25	-20.26
19.62	-53.13	-20.53
19.70	-53.01	-20.80
19.77	-52.89	-21.08
19.85	-52.76	-21.36
19.92	-52.64	-21.65
20.00	-52.52	-21.94
20.07	-52.39	-22.23
20.15	-52.27	-22.52
20.22	-52.15	-22.81
20.30	-52.02	-23.11
20.38	-51.90	-23.40
20.45	-51.77	-23.70
20.53	-51.64	-24.00
20.61	-51.51	-24.29
20.69	-51.39	-24.59
20.77	-51.26	-24.89
20.84	-51.13	-25.18
20.92	-51.00	-25.48
21.00	-50.87	-25.78
21.08	-50.74	-26.07
21.16	-50.61	-26.37
21.24	-50.48	-26.67
21.32	-50.34	-26.97
21.40	-50.21	-27.28
21.48	-50.08	-27.58
21.56	-49.94	-27.89
21.64	-49.81	-28.19
21.73	-49.67	-28.50
21.81	-49.54	-28.81
21.89	-49.40	-29.13
21.97	-49.26	-29.44
22.06	-49.12	-29.76
22.14	-48.99	-30.09
22.22	-48.85	-30.41
22.31	-48.71	-30.74
22.39	-48.57	-31.07
22.47	-48.42	-31.41
22.56	-48.28	-31.75
22.64	-48.14	-32.10
22.73	-47.99	-32.45
22.82	-47.85	-32.80
22.90	-47.70	-33.16
22.99	-47.56	-33.52
23.07	-47.41	-33.90
23.16	-47.26	-34.27
23.25	-47.11	-34.65
23.34	-46.96	-35.04
23.43	-46.81	-35.44
23.51	-46.66	-35.84
23.60	-46.51	-36.25
23.69	-46.36	-36.67
23.78	-46.20	-37.09
23.87	-46.05	-37.53
23.96	-45.89	-37.97
24.05	-45.74	-38.42
24.14	-45.58	-38.88
24.23	-45.42	-39.36
24.32	-45.26	-39.84
24.42	-45.10	-40.33
24.51	-44.94	-40.83
24.60	-44.78	-41.35
24.69	-44.62	-41.88
24.79	-44.46	-42.42
24.88	-44.30	-42.97
24.97	-44.13	-43.54
25.07	-43.97	-44.12
25.16	-43.80	-44.72
25.26	-43.63	-45.33
25.35	-43.47	-45.96
25.45	-43.30	-46.60
25.54	-43.13	-47.26
25.64	-42.96	-47.94
25.74	-42.79	-48.64
25.84	-42.62	-49.35
25.93	-42.45	-50.08
26.03	-42.28	-50.84
26.13	-42.11	-51.61
26.23	-41.93	-52.40
26.33	-41.76	-53.22
26.43	-41.59	-54.06
26.53	-41.41	-54.91
