Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.92	89.40
10.04	-61.98	88.53
10.08	-62.04	87.66
10.11	-62.09	86.79
10.15	-62.15	85.92
10.19	-62.20	85.05
10.23	-62.26	84.19
10.27	-62.31	83.34
10.31	-62.36	82.49
10.34	-62.41	81.64
10.38	-62.45	80.81
10.42	-62.50	79.98
10.46	-62.54	79.16
10.50	-62.58	78.35
10.54	-62.62	77.55
10.58	-62.66	76.76
10.62	-62.69	75.99
10.66	-62.72	75.23
10.70	-62.75	74.49
10.74	-62.78	73.76
10.78	-62.81	73.04
10.82	-62.83	72.35
10.86	-62.85	71.68
10.90	-62.87	71.02
10.95	-62.89	70.39
10.99	-62.91	69.78
11.03	-62.92	69.19
11.07	-62.93	68.63
11.11	-62.93	68.10
11.15	-62.94	67.59
11.20	-62.94	67.11
11.24	-62.94	66.66
11.28	-62.93	66.24
11.32	-62.93	65.86
11.37	-62.92	65.51
11.41	-62.91	65.19
11.45	-62.89	64.91
11.50	-62.87	64.67
11.54	-62.85	64.47
11.58	-62.82	64.32
11.63	-62.80	64.20
11.67	-62.76	64.13
11.71	-62.73	64.11
11.76	-62.69	64.13
11.80	-62.65	64.20
11.85	-62.60	64.32
11.89	-62.56	64.48
11.94	-62.51	64.70
11.98	-62.45	64.95
12.03	-62.40	65.25
12.07	-62.34	65.60
12.12	-62.28	65.99
12.16	-62.22	66.42
12.21	-62.16	66.89
12.26	-62.10	67.41
12.30	-62.03	67.97
12.35	-61.97	68.56
12.39	-61.91	69.20
12.44	-61.84	69.87
12.49	-61.78	70.59
12.54	-61.72	71.34
12.58	-61.65	72.12
12.63	-61.59	72.95
12.68	-61.53	73.80
12.73	-61.48	74.69
12.77	-61.42	75.61
12.82	-61.37	76.57
12.87	-61.32	77.55
12.92	-61.27	78.56
12.97	-61.23	79.61
13.02	-61.19	80.67
13.07	-61.16	81.77
13.12	-61.13	82.89
13.16	-61.10	84.03
13.21	-61.08	85.20
13.26	-61.07	86.39
13.31	-61.06	87.60
13.36	-61.06	88.83
13.41	-61.07	90.07
13.47	-61.08	91.33
13.52	-61.10	92.61
13.57	-61.13	93.90
13.62	-61.17	95.20
13.67	-61.22	96.51
13.72	-61.28	97.83
13.77	-61.35	99.16
13.83	-61.43	100.49
13.88	-61.52	101.83
13.93	-61.62	103.16
13.98	-61.74	104.50
14.04	-61.87	105.84
14.09	-62.01	107.18
14.14	-62.16	108.51
14.19	-62.33	109.83
14.25	-62.52	111.14
14.30	-62.72	112.45
14.36	-62.94	113.74
14.41	-63.17	115.02
14.46	-63.43	116.27
14.52	-63.70	117.51
14.57	-63.98	118.73
14.63	-64.29	119.93
14.68	-64.62	121.10
14.74	-64.97	122.24
14.80	-65.34	123.36
14.85	-65.73	124.45
14.91	-66.13	125.51
14.96	-66.56	126.55
15.02	-67.00	127.56
15.08	-67.46	128.55
15.13	-67.93	129.51
15.19	-68.42	130.44
15.25	-68.92	131.35
15.31	-69.44	132.23
15.36	-69.97	133.09
15.42	-70.52	133.93
15.48	-71.07	134.73
15.54	-71.64	135.52
15.60	-72.21	136.28
15.66	-72.80	137.01
15.71	-73.39	137.72
15.77	-74.00	138.41
15.83	-74.61	139.07
15.89	-75.22	139.71
15.95	-75.84	140.33
16.01	-76.47	140.92
16.07	-77.09	141.49
16.13	-77.72	142.04
16.19	-78.36	142.57
16.26	-78.99	143.07
16.32	-79.62	143.56
16.38	-80.25	144.02
16.44	-80.87	144.46
16.50	-81.50	144.88
16.56	-82.11	145.28
