Freq[Hz]	[dBV]	Phase[Deg]
10.00	-59.47	48.75
10.04	-59.57	49.50
10.08	-59.67	50.23
10.11	-59.77	50.94
10.15	-59.87	51.63
10.19	-59.98	52.29
10.23	-60.08	52.94
10.27	-60.18	53.56
10.31	-60.28	54.17
10.34	-60.38	54.75
10.38	-60.48	55.31
10.42	-60.58	55.86
10.46	-60.68	56.38
10.50	-60.78	56.87
10.54	-60.88	57.35
10.58	-60.97	57.81
10.62	-61.07	58.24
10.66	-61.17	58.65
10.70	-61.26	59.04
10.74	-61.35	59.41
10.78	-61.44	59.76
10.82	-61.53	60.08
10.86	-61.62	60.39
10.90	-61.71	60.67
10.95	-61.80	60.92
10.99	-61.88	61.16
11.03	-61.96	61.37
11.07	-62.04	61.56
11.11	-62.12	61.73
11.15	-62.20	61.87
11.20	-62.27	61.99
11.24	-62.34	62.09
11.28	-62.41	62.17
11.32	-62.48	62.22
11.37	-62.55	62.25
11.41	-62.61	62.26
11.45	-62.67	62.24
11.50	-62.72	62.20
11.54	-62.78	62.14
11.58	-62.83	62.05
11.63	-62.87	61.94
11.67	-62.92	61.81
11.71	-62.95	61.65
11.76	-62.99	61.47
11.80	-63.02	61.26
11.85	-63.05	61.04
11.89	-63.08	60.79
11.94	-63.10	60.51
11.98	-63.12	60.22
12.03	-63.13	59.90
12.07	-63.14	59.56
12.12	-63.15	59.20
12.16	-63.15	58.82
12.21	-63.15	58.41
12.26	-63.15	57.99
12.30	-63.14	57.54
12.35	-63.13	57.08
12.39	-63.12	56.59
12.44	-63.11	56.09
12.49	-63.09	55.56
12.54	-63.07	55.02
12.58	-63.04	54.46
12.63	-63.01	53.88
12.68	-62.98	53.28
12.73	-62.95	52.67
12.77	-62.91	52.03
12.82	-62.87	51.39
12.87	-62.83	50.72
12.92	-62.78	50.04
12.97	-62.74	49.35
13.02	-62.69	48.64
13.07	-62.64	47.91
13.12	-62.58	47.18
13.16	-62.52	46.42
13.21	-62.46	45.66
13.26	-62.40	44.89
13.31	-62.34	44.10
13.36	-62.27	43.30
13.41	-62.21	42.49
13.47	-62.14	41.67
13.52	-62.07	40.85
13.57	-61.99	40.01
13.62	-61.92	39.17
13.67	-61.84	38.32
13.72	-61.77	37.46
13.77	-61.69	36.60
13.83	-61.61	35.73
13.88	-61.53	34.85
13.93	-61.45	33.98
13.98	-61.36	33.10
14.04	-61.28	32.22
14.09	-61.20	31.33
14.14	-61.11	30.45
14.19	-61.03	29.57
14.25	-60.94	28.68
14.30	-60.85	27.80
14.36	-60.77	26.93
14.41	-60.68	26.05
14.46	-60.60	25.18
14.52	-60.51	24.32
14.57	-60.43	23.46
14.63	-60.34	22.61
14.68	-60.26	21.77
14.74	-60.18	20.94
14.80	-60.09	20.12
14.85	-60.01	19.31
14.91	-59.93	18.50
14.96	-59.85	17.71
15.02	-59.77	16.92
15.08	-59.70	16.15
15.13	-59.62	15.38
15.19	-59.54	14.62
15.25	-59.46	13.88
15.31	-59.39	13.14
15.36	-59.31	12.41
15.42	-59.24	11.69
15.48	-59.17	10.98
15.54	-59.09	10.27
15.60	-59.02	9.58
15.66	-58.95	8.90
15.71	-58.87	8.23
15.77	-58.80	7.56
15.83	-58.73	6.91
15.89	-58.66	6.27
15.95	-58.59	5.63
16.01	-58.52	5.01
16.07	-58.45	4.39
16.13	-58.38	3.78
16.19	-58.32	3.19
16.26	-58.25	2.60
16.32	-58.18	2.02
16.38	-58.11	1.46
16.44	-58.05	0.90
16.50	-57.98	0.35
16.56	-57.91	-0.19
16.63	-57.85	-0.72
16.69	-57.78	-1.24
16.75	-57.71	-1.75
16.82	-57.65	-2.25
16.88	-57.58	-2.74
16.94	-57.51	-3.22
17.01	-57.45	-3.69
17.07	-57.38	-4.16
17.14	-57.31	-4.61
17.20	-57.25	-5.05
17.27	-57.18	-5.49
17.33	-57.11	-5.91
17.40	-57.05	-6.33
17.46	-56.98	-6.73
17.53	-56.91	-7.13
17.59	-56.84	-7.52
17.66	-56.77	-7.90
17.73	-56.71	-8.27
17.79	-56.64	-8.63
17.86	-56.57	-8.98
17.93	-56.50	-9.32
18.00	-56.43	-9.66
18.06	-56.35	-9.98
18.13	-56.28	-10.30
18.20	-56.21	-10.61
18.27	-56.14	-10.92
18.34	-56.06	-11.22
18.41	-55.99	-11.50
18.48	-55.92	-11.79
18.55	-55.84	-12.06
18.62	-55.76	-12.33
18.69	-55.69	-12.60
18.76	-55.61	-12.85
18.83	-55.53	-13.11
18.90	-55.45	-13.35
18.97	-55.37	-13.60
19.04	-55.29	-13.83
19.11	-55.21	-14.07
19.19	-55.12	-14.29
19.26	-55.04	-14.52
19.33	-54.95	-14.74
19.40	-54.86	-14.96
19.48	-54.78	-15.17
19.55	-54.69	-15.38
19.62	-54.60	-15.59
19.70	-54.50	-15.80
19.77	-54.41	-16.01
19.85	-54.32	-16.21
19.92	-54.22	-16.42
20.00	-54.12	-16.62
20.07	-54.02	-16.83
20.15	-53.92	-17.03
20.22	-53.82	-17.24
20.30	-53.72	-17.44
20.38	-53.61	-17.65
20.45	-53.51	-17.86
20.53	-53.40	-18.08
20.61	-53.29	-18.29
20.69	-53.17	-18.51
20.77	-53.06	-18.73
20.84	-52.94	-18.96
20.92	-52.83	-19.18
21.00	-52.71	-19.41
21.08	-52.59	-19.64
21.16	-52.47	-19.88
21.24	-52.34	-20.11
21.32	-52.22	-20.35
21.40	-52.09	-20.58
21.48	-51.97	-20.82
21.56	-51.84	-21.06
21.64	-51.71	-21.30
21.73	-51.58	-21.54
21.81	-51.45	-21.79
21.89	-51.32	-22.03
21.97	-51.19	-22.27
22.06	-51.06	-22.52
22.14	-50.92	-22.76
22.22	-50.79	-23.00
22.31	-50.66	-23.24
22.39	-50.52	-23.48
22.47	-50.39	-23.73
22.56	-50.25	-23.96
22.64	-50.12	-24.20
22.73	-49.99	-24.44
22.82	-49.85	-24.67
22.90	-49.72	-24.91
22.99	-49.59	-25.14
23.07	-49.46	-25.37
23.16	-49.33	-25.59
23.25	-49.20	-25.81
23.34	-49.07	-26.03
23.43	-48.94	-26.25
23.51	-48.81	-26.46
23.60	-48.69	-26.67
23.69	-48.56	-26.88
23.78	-48.44	-27.08
23.87	-48.32	-27.28
23.96	-48.20	-27.47
24.05	-48.07	-27.67
24.14	-47.96	-27.86
24.23	-47.84	-28.05
24.32	-47.72	-28.25
24.42	-47.60	-28.44
24.51	-47.48	-28.63
24.60	-47.37	-28.82
24.69	-47.25	-29.01
24.79	-47.14	-29.20
24.88	-47.02	-29.39
24.97	-46.90	-29.58
25.07	-46.79	-29.78
25.16	-46.67	-29.98
25.26	-46.56	-30.18
25.35	-46.44	-30.38
25.45	-46.33	-30.59
25.54	-46.21	-30.80
25.64	-46.10	-31.02
25.74	-45.98	-31.24
25.84	-45.86	-31.47
25.93	-45.75	-31.70
26.03	-45.63	-31.94
26.13	-45.51	-32.18
26.23	-45.39	-32.44
26.33	-45.27	-32.70
26.43	-45.15	-32.97
26.53	-45.02	-33.25
26.63	-44.90	-33.54
26.73	-44.77	-33.84
26.83	-44.65	-34.15
26.93	-44.52	-34.46
27.03	-44.39	-34.79
27.13	-44.26	-35.12
27.23	-44.13	-35.46
27.34	-44.00	-35.82
27.44	-43.86	-36.18
27.54	-43.73	-36.55
27.65	-43.59	-36.93
27.75	-43.46	-37.32
27.86	-43.32	-37.72
27.96	-43.18	-38.13
28.07	-43.04	-38.55
28.17	-42.90	-38.98
28.28	-42.76	-39.42
28.39	-42.62	-39.87
28.49	-42.48	-40.32
28.60	-42.34	-40.79
28.71	-42.19	-41.27
28.82	-42.05	-41.75
28.93	-41.90	-42.25
29.03	-41.76	-42.76
29.14	-41.61	-43.27
29.25	-41.46	-43.80
