Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.48	-118.61
10.04	-61.49	-120.56
10.08	-61.50	-122.53
10.11	-61.50	-124.52
10.15	-61.51	-126.54
10.19	-61.51	-128.58
10.23	-61.52	-130.64
10.27	-61.52	-132.72
10.31	-61.52	-134.81
10.34	-61.52	-136.92
10.38	-61.53	-139.04
10.42	-61.53	-141.17
10.46	-61.53	-143.31
10.50	-61.53	-145.46
10.54	-61.53	-147.61
10.58	-61.53	-149.77
10.62	-61.53	-151.92
10.66	-61.52	-154.07
10.70	-61.52	-156.22
10.74	-61.52	-158.36
10.78	-61.52	-160.49
10.82	-61.52	-162.60
10.86	-61.52	-164.71
10.90	-61.52	-166.79
10.95	-61.52	-168.86
10.99	-61.52	-170.91
11.03	-61.53	-172.92
11.07	-61.53	-174.91
11.11	-61.53	-176.87
11.15	-61.54	-178.80
11.20	-61.54	179.31
11.24	-61.55	177.46
11.28	-61.55	175.65
11.32	-61.56	173.89
11.37	-61.57	172.18
11.41	-61.58	170.53
11.45	-61.60	168.92
11.50	-61.61	167.38
11.54	-61.63	165.90
11.58	-61.65	164.49
11.63	-61.67	163.15
11.67	-61.69	161.88
11.71	-61.71	160.69
11.76	-61.74	159.59
11.80	-61.77	158.56
11.85	-61.80	157.62
11.89	-61.83	156.75
11.94	-61.87	155.96
11.98	-61.91	155.25
12.03	-61.95	154.62
12.07	-61.99	154.06
12.12	-62.03	153.58
12.16	-62.08	153.17
12.21	-62.13	152.83
12.26	-62.18	152.56
12.30	-62.23	152.37
12.35	-62.28	152.24
12.39	-62.34	152.17
12.44	-62.40	152.17
12.49	-62.45	152.24
12.54	-62.51	152.37
12.58	-62.58	152.56
12.63	-62.64	152.80
12.68	-62.70	153.11
12.73	-62.77	153.47
12.77	-62.83	153.88
12.82	-62.90	154.35
12.87	-62.97	154.87
12.92	-63.04	155.43
12.97	-63.11	156.05
13.02	-63.18	156.70
13.07	-63.26	157.40
13.12	-63.33	158.14
13.16	-63.40	158.92
13.21	-63.48	159.74
13.26	-63.55	160.58
13.31	-63.62	161.46
13.36	-63.70	162.37
13.41	-63.77	163.31
13.47	-63.85	164.27
13.52	-63.92	165.25
13.57	-64.00	166.25
13.62	-64.07	167.27
13.67	-64.15	168.30
13.72	-64.22	169.34
13.77	-64.29	170.39
13.83	-64.37	171.45
13.88	-64.44	172.50
13.93	-64.51	173.56
13.98	-64.58	174.61
14.04	-64.65	175.66
14.09	-64.71	176.69
14.14	-64.78	177.71
14.19	-64.84	178.71
14.25	-64.91	179.69
14.30	-64.97	-179.35
14.36	-65.02	-178.42
14.41	-65.08	-177.52
14.46	-65.14	-176.66
14.52	-65.19	-175.84
14.57	-65.24	-175.06
14.63	-65.28	-174.33
14.68	-65.33	-173.65
14.74	-65.37	-173.02
14.80	-65.40	-172.45
14.85	-65.44	-171.93
14.91	-65.47	-171.45
14.96	-65.50	-171.03
15.02	-65.52	-170.66
15.08	-65.55	-170.33
15.13	-65.57	-170.06
15.19	-65.58	-169.83
15.25	-65.60	-169.64
15.31	-65.61	-169.50
15.36	-65.62	-169.41
15.42	-65.62	-169.36
15.48	-65.63	-169.35
15.54	-65.62	-169.38
15.60	-65.62	-169.45
15.66	-65.61	-169.56
15.71	-65.60	-169.71
15.77	-65.59	-169.89
15.83	-65.58	-170.11
15.89	-65.56	-170.37
15.95	-65.54	-170.66
16.01	-65.51	-170.98
16.07	-65.49	-171.33
16.13	-65.46	-171.70
16.19	-65.42	-172.11
16.26	-65.39	-172.55
16.32	-65.35	-173.00
16.38	-65.31	-173.49
16.44	-65.26	-173.99
16.50	-65.22	-174.52
16.56	-65.17	-175.06
16.63	-65.11	-175.62
16.69	-65.06	-176.20
16.75	-65.00	-176.79
16.82	-64.94	-177.39
16.88	-64.88	-178.00
16.94	-64.81	-178.62
17.01	-64.74	-179.25
17.07	-64.67	-179.88
17.14	-64.59	179.48
17.20	-64.52	178.85
17.27	-64.44	178.21
17.33	-64.35	177.58
17.40	-64.27	176.96
17.46	-64.18	176.34
17.53	-64.09	175.74
17.59	-64.00	175.14
17.66	-63.90	174.56
17.73	-63.81	174.00
17.79	-63.71	173.44
17.86	-63.60	172.91
17.93	-63.50	172.38
18.00	-63.39	171.87
18.06	-63.28	171.37
18.13	-63.17	170.89
18.20	-63.06	170.42
18.27	-62.95	169.96
18.34	-62.83	169.52
18.41	-62.71	169.09
18.48	-62.60	168.67
18.55	-62.48	168.26
18.62	-62.35	167.87
18.69	-62.23	167.49
18.76	-62.11	167.12
18.83	-61.98	166.76
18.90	-61.86	166.42
18.97	-61.73	166.08
19.04	-61.61	165.76
19.11	-61.48	165.45
19.19	-61.35	165.15
19.26	-61.22	164.86
19.33	-61.09	164.58
19.40	-60.97	164.31
19.48	-60.84	164.05
19.55	-60.71	163.80
19.62	-60.58	163.56
19.70	-60.46	163.33
19.77	-60.33	163.10
19.85	-60.20	162.89
19.92	-60.08	162.69
20.00	-59.96	162.49
20.07	-59.83	162.30
20.15	-59.71	162.12
20.22	-59.59	161.94
20.30	-59.48	161.78
20.38	-59.36	161.61
20.45	-59.25	161.46
20.53	-59.14	161.31
20.61	-59.03	161.17
20.69	-58.92	161.03
20.77	-58.82	160.89
20.84	-58.72	160.77
20.92	-58.62	160.64
21.00	-58.52	160.52
21.08	-58.42	160.41
21.16	-58.33	160.30
21.24	-58.24	160.20
21.32	-58.15	160.09
21.40	-58.06	160.00
21.48	-57.97	159.90
21.56	-57.89	159.81
21.64	-57.80	159.72
21.73	-57.72	159.64
21.81	-57.64	159.56
21.89	-57.56	159.48
21.97	-57.48	159.40
22.06	-57.40	159.33
22.14	-57.32	159.25
22.22	-57.25	159.18
22.31	-57.17	159.11
22.39	-57.09	159.04
22.47	-57.02	158.98
22.56	-56.94	158.91
22.64	-56.87	158.84
22.73	-56.79	158.77
22.82	-56.72	158.70
22.90	-56.64	158.64
22.99	-56.57	158.57
23.07	-56.49	158.50
23.16	-56.41	158.42
23.25	-56.34	158.35
23.34	-56.26	158.27
23.43	-56.18	158.19
23.51	-56.10	158.11
23.60	-56.01	158.03
23.69	-55.93	157.94
23.78	-55.85	157.85
23.87	-55.76	157.75
23.96	-55.68	157.66
24.05	-55.59	157.56
24.14	-55.50	157.45
24.23	-55.41	157.35
24.32	-55.32	157.23
24.42	-55.23	157.12
24.51	-55.14	157.00
24.60	-55.04	156.88
24.69	-54.95	156.76
24.79	-54.85	156.63
24.88	-54.76	156.50
24.97	-54.66	156.36
25.07	-54.57	156.22
25.16	-54.47	156.08
25.26	-54.37	155.94
25.35	-54.27	155.79
25.45	-54.18	155.63
25.54	-54.08	155.47
25.64	-53.98	155.31
25.74	-53.88	155.14
25.84	-53.78	154.97
25.93	-53.68	154.80
26.03	-53.58	154.62
26.13	-53.48	154.44
26.23	-53.38	154.25
26.33	-53.28	154.06
26.43	-53.18	153.86
26.53	-53.08	153.66
26.63	-52.98	153.45
26.73	-52.88	153.24
26.83	-52.78	153.03
26.93	-52.69	152.81
27.03	-52.59	152.59
27.13	-52.49	152.36
27.23	-52.39	152.13
27.34	-52.29	151.90
27.44	-52.19	151.66
27.54	-52.09	151.41
27.65	-52.00	151.17
27.75	-51.90	150.92
27.86	-51.80	150.67
27.96	-51.70	150.41
28.07	-51.60	150.15
28.17	-51.50	149.88
28.28	-51.41	149.62
28.39	-51.31	149.35
28.49	-51.21	149.08
28.60	-51.11	148.80
28.71	-51.01	148.52
28.82	-50.91	148.24
28.93	-50.81	147.96
29.03	-50.71	147.67
29.14	-50.61	147.38
29.25	-50.51	147.09
29.36	-50.41	146.80
29.48	-50.31	146.50
29.59	-50.21	146.20
29.70	-50.10	145.90
29.81	-50.00	145.60
29.92	-49.90	145.29
30.04	-49.80	144.98
30.15	-49.69	144.66
30.26	-49.59	144.34
30.38	-49.49	144.01
30.49	-49.38	143.68
30.61	-49.28	143.34
30.72	-49.17	142.99
30.84	-49.07	142.64
30.95	-48.97	142.28
31.07	-48.86	141.91
31.19	-48.76	141.53
31.31	-48.65	141.14
31.42	-48.54	140.75
31.54	-48.44	140.34
31.66	-48.33	139.92
31.78	-48.23	139.49
31.90	-48.12	139.05
32.02	-48.02	138.60
32.14	-47.91	138.13
32.26	-47.80	137.65
32.39	-47.70	137.16
32.51	-47.59	136.65
32.63	-47.48	136.13
32.75	-47.38	135.60
32.88	-47.27	135.05
33.00	-47.17	134.49
33.13	-47.06	133.91
33.25	-46.95	133.33
33.38	-46.85	132.72
33.50	-46.74	132.11
33.63	-46.63	131.48
33.76	-46.53	130.83
33.88	-46.42	130.18
34.01	-46.32	129.51
34.14	-46.21	128.83
34.27	-46.11	128.13
34.40	-46.00	127.42
34.53	-45.90	126.70
34.66	-45.79	125.97
34.79	-45.69	125.22
34.92	-45.58	124.46
35.05	-45.48	123.69
35.18	-45.37	122.90
35.32	-45.27	122.11
35.45	-45.17	121.30
35.58	-45.07	120.48
35.72	-44.96	119.64
35.85	-44.86	118.79
35.99	-44.76	117.93
36.12	-44.67	117.05
36.26	-44.57	116.16
36.40	-44.47	115.25
36.53	-44.38	114.33
36.67	-44.29	113.39
36.81	-44.20	112.43
36.95	-44.11	111.46
37.09	-44.02	110.48
37.23	-43.94	109.47
37.37	-43.86	108.45
37.51	-43.78	107.41
37.65	-43.70	106.35
37.79	-43.63	105.28
37.94	-43.56	104.18
38.08	-43.49	103.07
38.22	-43.43	101.94
38.37	-43.37	100.78
38.51	-43.32	99.61
38.66	-43.27	98.43
38.80	-43.22	97.22
38.95	-43.18	96.01
39.10	-43.14	94.77
39.24	-43.11	93.53
39.39	-43.08	92.28
39.54	-43.05	91.01
39.69	-43.03	89.74
39.84	-43.02	88.46
39.99	-43.01	87.17
40.14	-43.00	85.88
40.29	-43.00	84.58
40.45	-43.01	83.28
40.60	-43.02	81.98
40.75	-43.04	80.68
40.90	-43.06	79.38
41.06	-43.08	78.09
41.21	-43.12	76.80
41.37	-43.16	75.51
41.53	-43.20	74.24
41.68	-43.25	72.97
41.84	-43.31	71.71
42.00	-43.37	70.46
42.16	-43.43	69.22
42.32	-43.50	67.99
42.47	-43.58	66.78
42.63	-43.66	65.58
42.80	-43.74	64.39
42.96	-43.83	63.23
43.12	-43.92	62.08
43.28	-44.02	60.95
43.45	-44.12	59.84
43.61	-44.23	58.75
43.77	-44.34	57.69
43.94	-44.45	56.65
44.10	-44.56	55.64
44.27	-44.68	54.65
44.44	-44.80	53.69
44.61	-44.93	52.75
44.77	-45.06	51.84
44.94	-45.19	50.96
45.11	-45.32	50.09
45.28	-45.46	49.25
45.45	-45.60	48.44
45.63	-45.74	47.64
45.80	-45.89	46.87
45.97	-46.04	46.12
46.14	-46.19	45.39
46.32	-46.34	44.69
46.49	-46.50	44.00
46.67	-46.66	43.33
46.84	-46.82	42.68
47.02	-46.99	42.05
47.20	-47.15	41.44
47.38	-47.32	40.85
