Freq[Hz]	[dBV]	Phase[Deg]
10.00	-58.55	87.61
10.04	-58.60	88.88
10.08	-58.65	90.19
10.11	-58.69	91.54
10.15	-58.74	92.94
10.19	-58.79	94.37
10.23	-58.84	95.84
10.27	-58.90	97.35
10.31	-58.95	98.90
10.34	-59.01	100.48
10.38	-59.07	102.10
10.42	-59.13	103.76
10.46	-59.19	105.46
10.50	-59.25	107.19
10.54	-59.32	108.95
10.58	-59.39	110.75
10.62	-59.46	112.58
10.66	-59.54	114.44
10.70	-59.61	116.33
10.74	-59.69	118.25
10.78	-59.77	120.21
10.82	-59.86	122.19
10.86	-59.95	124.20
10.90	-60.04	126.24
10.95	-60.14	128.30
10.99	-60.24	130.39
11.03	-60.34	132.50
11.07	-60.44	134.64
11.11	-60.56	136.80
11.15	-60.67	138.98
11.20	-60.79	141.18
11.24	-60.91	143.40
11.28	-61.04	145.64
11.32	-61.17	147.89
11.37	-61.31	150.16
11.41	-61.45	152.45
11.45	-61.60	154.75
11.50	-61.75	157.06
11.54	-61.91	159.38
11.58	-62.07	161.71
11.63	-62.24	164.05
11.67	-62.42	166.39
11.71	-62.60	168.75
11.76	-62.79	171.10
11.80	-62.98	173.46
11.85	-63.19	175.82
11.89	-63.39	178.18
11.94	-63.61	-179.46
11.98	-63.82	-177.10
12.03	-64.05	-174.74
12.07	-64.28	-172.39
12.12	-64.51	-170.03
12.16	-64.75	-167.69
12.21	-65.00	-165.35
12.26	-65.25	-163.02
12.30	-65.50	-160.69
12.35	-65.76	-158.38
12.39	-66.03	-156.07
12.44	-66.29	-153.78
12.49	-66.57	-151.50
12.54	-66.84	-149.24
12.58	-67.12	-146.99
12.63	-67.41	-144.76
12.68	-67.69	-142.55
12.73	-67.98	-140.35
12.77	-68.27	-138.18
12.82	-68.57	-136.03
12.87	-68.87	-133.91
12.92	-69.17	-131.81
12.97	-69.47	-129.74
13.02	-69.77	-127.70
13.07	-70.08	-125.68
13.12	-70.38	-123.70
13.16	-70.69	-121.76
13.21	-71.00	-119.85
13.26	-71.31	-117.97
13.31	-71.62	-116.14
13.36	-71.93	-114.34
13.41	-72.23	-112.59
13.47	-72.54	-110.88
13.52	-72.85	-109.22
13.57	-73.15	-107.60
13.62	-73.46	-106.04
13.67	-73.76	-104.52
13.72	-74.06	-103.06
13.77	-74.36	-101.66
13.83	-74.66	-100.32
13.88	-74.95	-99.03
13.93	-75.24	-97.81
13.98	-75.52	-96.65
14.04	-75.80	-95.56
14.09	-76.08	-94.54
14.14	-76.35	-93.59
14.19	-76.62	-92.71
14.25	-76.88	-91.91
14.30	-77.13	-91.19
14.36	-77.38	-90.54
14.41	-77.62	-89.99
14.46	-77.85	-89.52
14.52	-78.08	-89.13
14.57	-78.29	-88.84
14.63	-78.50	-88.65
14.68	-78.70	-88.55
14.74	-78.89	-88.54
14.80	-79.07	-88.63
14.85	-79.25	-88.82
14.91	-79.41	-89.08
14.96	-79.56	-89.44
15.02	-79.71	-89.87
15.08	-79.85	-90.38
15.13	-79.98	-90.96
15.19	-80.10	-91.62
15.25	-80.21	-92.34
15.31	-80.32	-93.13
15.36	-80.42	-93.97
15.42	-80.51	-94.87
15.48	-80.60	-95.82
15.54	-80.67	-96.82
15.60	-80.75	-97.87
15.66	-80.81	-98.95
15.71	-80.87	-100.07
15.77	-80.92	-101.21
15.83	-80.97	-102.39
15.89	-81.01	-103.58
15.95	-81.05	-104.79
16.01	-81.08	-106.01
16.07	-81.11	-107.24
16.13	-81.13	-108.47
16.19	-81.15	-109.69
16.26	-81.16	-110.90
16.32	-81.17	-112.10
16.38	-81.18	-113.28
16.44	-81.19	-114.43
16.50	-81.19	-115.55
16.56	-81.19	-116.63
16.63	-81.18	-117.67
16.69	-81.18	-118.65
16.75	-81.18	-119.58
16.82	-81.17	-120.44
16.88	-81.16	-121.24
16.94	-81.16	-121.95
17.01	-81.15	-122.58
17.07	-81.14	-123.12
17.14	-81.14	-123.56
17.20	-81.13	-123.89
17.27	-81.13	-124.11
17.33	-81.13	-124.21
17.40	-81.13	-124.18
17.46	-81.14	-124.01
17.53	-81.15	-123.70
17.59	-81.16	-123.23
17.66	-81.18	-122.60
17.73	-81.20	-121.81
17.79	-81.22	-120.88
17.86	-81.25	-119.80
17.93	-81.28	-118.57
18.00	-81.32	-117.20
18.06	-81.36	-115.70
18.13	-81.40	-114.07
18.20	-81.44	-112.32
18.27	-81.49	-110.45
18.34	-81.54	-108.46
18.41	-81.59	-106.36
18.48	-81.64	-104.15
18.55	-81.69	-101.85
18.62	-81.74	-99.46
18.69	-81.80	-96.97
18.76	-81.85	-94.41
18.83	-81.91	-91.77
18.90	-81.96	-89.06
18.97	-82.02	-86.29
19.04	-82.07	-83.46
19.11	-82.13	-80.58
19.19	-82.18	-77.65
19.26	-82.23	-74.70
19.33	-82.28	-71.71
19.40	-82.32	-68.70
19.48	-82.37	-65.67
19.55	-82.41	-62.64
19.62	-82.44	-59.61
19.70	-82.48	-56.59
19.77	-82.51	-53.59
19.85	-82.53	-50.61
19.92	-82.55	-47.67
20.00	-82.57	-44.77
20.07	-82.58	-41.92
20.15	-82.58	-39.13
20.22	-82.57	-36.42
20.30	-82.56	-33.78
20.38	-82.55	-31.23
20.45	-82.52	-28.78
20.53	-82.49	-26.44
20.61	-82.44	-24.22
20.69	-82.39	-22.11
20.77	-82.34	-20.10
20.84	-82.27	-18.20
20.92	-82.20	-16.40
21.00	-82.12	-14.70
21.08	-82.04	-13.09
21.16	-81.96	-11.57
21.24	-81.87	-10.13
21.32	-81.78	-8.78
21.40	-81.69	-7.49
21.48	-81.60	-6.28
21.56	-81.50	-5.14
21.64	-81.41	-4.05
21.73	-81.32	-3.02
21.81	-81.23	-2.04
21.89	-81.14	-1.11
21.97	-81.06	-0.22
22.06	-80.98	0.64
22.14	-80.91	1.47
22.22	-80.84	2.28
22.31	-80.78	3.07
22.39	-80.73	3.85
22.47	-80.69	4.62
22.56	-80.66	5.40
22.64	-80.64	6.18
22.73	-80.64	6.98
22.82	-80.65	7.80
22.90	-80.67	8.65
22.99	-80.70	9.53
23.07	-80.76	10.45
23.16	-80.83	11.43
23.25	-80.92	12.46
23.34	-81.03	13.56
23.43	-81.17	14.73
23.51	-81.32	15.98
23.60	-81.50	17.31
23.69	-81.70	18.73
23.78	-81.92	20.22
23.87	-82.16	21.80
23.96	-82.42	23.46
24.05	-82.69	25.19
24.14	-82.98	27.00
24.23	-83.28	28.89
24.32	-83.60	30.86
24.42	-83.93	32.91
24.51	-84.26	35.03
24.60	-84.61	37.22
24.69	-84.97	39.49
24.79	-85.33	41.84
24.88	-85.69	44.25
24.97	-86.06	46.74
25.07	-86.43	49.30
25.16	-86.81	51.93
25.26	-87.18	54.62
25.35	-87.54	57.39
25.45	-87.91	60.22
25.54	-88.27	63.12
25.64	-88.61	66.08
25.74	-88.95	69.10
25.84	-89.28	72.19
25.93	-89.60	75.34
26.03	-89.90	78.55
26.13	-90.18	81.81
26.23	-90.44	85.14
26.33	-90.69	88.52
26.43	-90.91	91.95
26.53	-91.10	95.44
26.63	-91.27	98.98
26.73	-91.42	102.57
26.83	-91.55	106.20
26.93	-91.66	109.89
27.03	-91.74	113.61
27.13	-91.80	117.39
27.23	-91.84	121.20
27.34	-91.86	125.05
27.44	-91.86	128.94
27.54	-91.84	132.86
27.65	-91.79	136.82
27.75	-91.73	140.81
27.86	-91.66	144.83
27.96	-91.56	148.88
28.07	-91.45	152.95
28.17	-91.32	157.05
28.28	-91.17	161.16
28.39	-91.00	165.30
28.49	-90.83	169.45
28.60	-90.63	173.61
