Freq[Hz]	[dBV]	Phase[Deg]
10.00	-66.23	-113.55
10.04	-66.25	-111.49
10.08	-66.27	-109.39
10.11	-66.29	-107.26
10.15	-66.31	-105.09
10.19	-66.33	-102.89
10.23	-66.34	-100.65
10.27	-66.36	-98.39
10.31	-66.37	-96.10
10.34	-66.38	-93.78
10.38	-66.39	-91.43
10.42	-66.39	-89.06
10.46	-66.40	-86.67
10.50	-66.40	-84.26
10.54	-66.41	-81.83
10.58	-66.41	-79.38
10.62	-66.41	-76.91
10.66	-66.41	-74.44
10.70	-66.41	-71.95
10.74	-66.41	-69.45
10.78	-66.41	-66.94
10.82	-66.41	-64.43
10.86	-66.40	-61.91
10.90	-66.40	-59.39
10.95	-66.40	-56.88
10.99	-66.40	-54.36
11.03	-66.40	-51.85
11.07	-66.39	-49.35
11.11	-66.39	-46.86
11.15	-66.39	-44.38
11.20	-66.39	-41.92
11.24	-66.39	-39.47
11.28	-66.39	-37.05
11.32	-66.39	-34.64
11.37	-66.39	-32.27
11.41	-66.40	-29.92
11.45	-66.40	-27.60
11.50	-66.41	-25.31
11.54	-66.41	-23.07
11.58	-66.42	-20.86
11.63	-66.44	-18.70
11.67	-66.45	-16.58
11.71	-66.47	-14.51
11.76	-66.48	-12.49
11.80	-66.50	-10.53
11.85	-66.53	-8.61
11.89	-66.55	-6.75
11.94	-66.58	-4.94
11.98	-66.61	-3.18
12.03	-66.64	-1.47
12.07	-66.68	0.19
12.12	-66.72	1.81
12.16	-66.76	3.38
12.21	-66.80	4.90
12.26	-66.84	6.38
12.30	-66.89	7.81
12.35	-66.94	9.20
12.39	-66.99	10.54
12.44	-67.04	11.85
12.49	-67.10	13.11
12.54	-67.16	14.33
12.58	-67.22	15.52
12.63	-67.28	16.66
12.68	-67.35	17.77
12.73	-67.42	18.84
12.77	-67.49	19.88
12.82	-67.56	20.89
12.87	-67.64	21.86
12.92	-67.71	22.80
12.97	-67.79	23.71
13.02	-67.88	24.60
13.07	-67.96	25.45
13.12	-68.05	26.28
13.16	-68.14	27.09
13.21	-68.23	27.87
13.26	-68.32	28.64
