Freq[Hz]	[dBV]	Phase[Deg]
10.00	-58.27	-19.20
10.04	-58.35	-19.78
10.08	-58.42	-20.34
10.11	-58.50	-20.89
10.15	-58.58	-21.42
10.19	-58.65	-21.94
10.23	-58.73	-22.45
10.27	-58.80	-22.94
10.31	-58.87	-23.42
10.34	-58.94	-23.88
10.38	-59.01	-24.32
10.42	-59.08	-24.76
10.46	-59.14	-25.17
10.50	-59.21	-25.58
10.54	-59.27	-25.97
10.58	-59.33	-26.34
10.62	-59.38	-26.70
10.66	-59.44	-27.04
10.70	-59.49	-27.37
10.74	-59.54	-27.68
10.78	-59.59	-27.98
10.82	-59.64	-28.27
10.86	-59.68	-28.54
10.90	-59.72	-28.79
10.95	-59.76	-29.03
10.99	-59.79	-29.26
11.03	-59.83	-29.46
11.07	-59.85	-29.66
11.11	-59.88	-29.84
11.15	-59.90	-30.00
11.20	-59.92	-30.15
11.24	-59.93	-30.28
11.28	-59.94	-30.40
11.32	-59.95	-30.51
11.37	-59.95	-30.60
11.41	-59.95	-30.67
11.45	-59.95	-30.73
11.50	-59.94	-30.77
11.54	-59.92	-30.80
11.58	-59.90	-30.81
11.63	-59.88	-30.81
11.67	-59.85	-30.79
11.71	-59.81	-30.76
11.76	-59.77	-30.72
11.80	-59.73	-30.66
11.85	-59.68	-30.58
11.89	-59.62	-30.49
11.94	-59.56	-30.39
11.98	-59.49	-30.27
12.03	-59.42	-30.14
12.07	-59.35	-29.99
12.12	-59.27	-29.84
12.16	-59.18	-29.67
12.21	-59.09	-29.48
12.26	-59.00	-29.29
12.30	-58.90	-29.09
12.35	-58.80	-28.87
12.39	-58.69	-28.64
12.44	-58.58	-28.40
12.49	-58.46	-28.16
12.54	-58.34	-27.90
12.58	-58.22	-27.63
12.63	-58.09	-27.35
12.68	-57.96	-27.07
12.73	-57.83	-26.78
12.77	-57.69	-26.48
12.82	-57.55	-26.17
12.87	-57.40	-25.85
12.92	-57.25	-25.53
12.97	-57.10	-25.20
13.02	-56.95	-24.87
13.07	-56.80	-24.53
13.12	-56.64	-24.19
13.16	-56.48	-23.84
13.21	-56.31	-23.49
13.26	-56.15	-23.14
13.31	-55.98	-22.79
13.36	-55.81	-22.43
13.41	-55.64	-22.07
13.47	-55.47	-21.71
13.52	-55.30	-21.36
13.57	-55.12	-21.00
13.62	-54.95	-20.64
13.67	-54.77	-20.29
13.72	-54.60	-19.94
13.77	-54.42	-19.59
13.83	-54.24	-19.25
13.88	-54.07	-18.91
13.93	-53.89	-18.57
13.98	-53.72	-18.25
14.04	-53.54	-17.93
14.09	-53.37	-17.61
14.14	-53.19	-17.31
14.19	-53.02	-17.02
14.25	-52.85	-16.73
14.30	-52.68	-16.46
14.36	-52.52	-16.20
14.41	-52.35	-15.95
14.46	-52.19	-15.71
14.52	-52.03	-15.49
14.57	-51.88	-15.29
14.63	-51.73	-15.10
14.68	-51.58	-14.93
14.74	-51.43	-14.78
14.80	-51.29	-14.64
14.85	-51.15	-14.52
14.91	-51.02	-14.42
14.96	-50.89	-14.34
15.02	-50.76	-14.27
15.08	-50.64	-14.21
15.13	-50.52	-14.18
15.19	-50.40	-14.15
15.25	-50.29	-14.15
15.31	-50.18	-14.15
15.36	-50.07	-14.18
15.42	-49.96	-14.21
15.48	-49.86	-14.26
15.54	-49.76	-14.32
15.60	-49.66	-14.40
15.66	-49.57	-14.48
15.71	-49.48	-14.58
15.77	-49.39	-14.69
15.83	-49.30	-14.81
15.89	-49.22	-14.95
15.95	-49.13	-15.09
16.01	-49.05	-15.24
16.07	-48.97	-15.40
16.13	-48.90	-15.57
16.19	-48.82	-15.74
16.26	-48.75	-15.93
16.32	-48.68	-16.12
16.38	-48.61	-16.31
16.44	-48.54	-16.52
16.50	-48.47	-16.73
16.56	-48.40	-16.94
16.63	-48.33	-17.15
16.69	-48.26	-17.37
16.75	-48.20	-17.60
16.82	-48.13	-17.82
16.88	-48.07	-18.04
16.94	-48.00	-18.27
17.01	-47.94	-18.50
17.07	-47.87	-18.72
17.14	-47.81	-18.94
17.20	-47.74	-19.16
17.27	-47.67	-19.38
17.33	-47.61	-19.59
17.40	-47.54	-19.80
17.46	-47.47	-20.01
17.53	-47.40	-20.20
17.59	-47.32	-20.39
17.66	-47.25	-20.57
17.73	-47.17	-20.75
17.79	-47.09	-20.91
17.86	-47.01	-21.07
17.93	-46.93	-21.22
18.00	-46.85	-21.37
18.06	-46.76	-21.51
18.13	-46.68	-21.64
18.20	-46.59	-21.76
18.27	-46.50	-21.89
18.34	-46.41	-22.00
18.41	-46.32	-22.11
18.48	-46.22	-22.22
18.55	-46.13	-22.32
18.62	-46.03	-22.42
18.69	-45.93	-22.52
18.76	-45.83	-22.61
18.83	-45.73	-22.70
18.90	-45.63	-22.79
18.97	-45.52	-22.88
19.04	-45.42	-22.96
19.11	-45.31	-23.05
19.19	-45.20	-23.13
19.26	-45.10	-23.22
19.33	-44.99	-23.30
19.40	-44.87	-23.39
19.48	-44.76	-23.47
19.55	-44.65	-23.56
19.62	-44.53	-23.65
19.70	-44.42	-23.74
19.77	-44.30	-23.84
19.85	-44.19	-23.94
19.92	-44.07	-24.05
20.00	-43.95	-24.16
20.07	-43.83	-24.27
20.15	-43.71	-24.40
20.22	-43.59	-24.52
20.30	-43.47	-24.66
20.38	-43.34	-24.80
20.45	-43.22	-24.96
20.53	-43.10	-25.12
20.61	-42.97	-25.29
20.69	-42.85	-25.47
20.77	-42.72	-25.66
20.84	-42.60	-25.86
20.92	-42.47	-26.07
21.00	-42.34	-26.29
21.08	-42.22	-26.52
21.16	-42.09	-26.76
21.24	-41.96	-27.00
21.32	-41.83	-27.26
21.40	-41.70	-27.52
21.48	-41.57	-27.79
21.56	-41.44	-28.07
21.64	-41.31	-28.36
21.73	-41.18	-28.66
21.81	-41.05	-28.97
21.89	-40.91	-29.28
21.97	-40.78	-29.61
22.06	-40.65	-29.94
22.14	-40.51	-30.27
22.22	-40.38	-30.62
22.31	-40.24	-30.97
22.39	-40.11	-31.33
22.47	-39.97	-31.70
22.56	-39.83	-32.08
22.64	-39.70	-32.46
22.73	-39.56	-32.85
22.82	-39.42	-33.24
22.90	-39.28	-33.64
22.99	-39.14	-34.05
23.07	-39.00	-34.46
23.16	-38.86	-34.88
23.25	-38.71	-35.31
23.34	-38.57	-35.74
23.43	-38.43	-36.18
23.51	-38.29	-36.62
23.60	-38.14	-37.06
23.69	-38.00	-37.52
23.78	-37.85	-37.97
23.87	-37.70	-38.44
23.96	-37.56	-38.91
24.05	-37.41	-39.39
24.14	-37.26	-39.88
24.23	-37.11	-40.38
24.32	-36.96	-40.89
24.42	-36.81	-41.41
24.51	-36.66	-41.94
24.60	-36.51	-42.48
24.69	-36.36	-43.03
24.79	-36.20	-43.59
24.88	-36.05	-44.17
24.97	-35.89	-44.76
25.07	-35.74	-45.37
25.16	-35.58	-45.99
25.26	-35.42	-46.63
25.35	-35.27	-47.28
25.45	-35.11	-47.95
25.54	-34.95	-48.64
25.64	-34.79	-49.35
25.74	-34.63	-50.08
25.84	-34.47	-50.83
25.93	-34.30	-51.59
26.03	-34.14	-52.38
26.13	-33.98	-53.20
26.23	-33.81	-54.03
26.33	-33.64	-54.90
26.43	-33.48	-55.78
26.53	-33.31	-56.69
26.63	-33.14	-57.63
26.73	-32.97	-58.59
26.83	-32.80	-59.58
26.93	-32.64	-60.59
27.03	-32.47	-61.63
27.13	-32.30	-62.70
27.23	-32.13	-63.79
27.34	-31.97	-64.90
27.44	-31.80	-66.05
27.54	-31.64	-67.21
27.65	-31.48	-68.40
27.75	-31.32	-69.62
27.86	-31.17	-70.86
27.96	-31.01	-72.13
28.07	-30.86	-73.43
28.17	-30.71	-74.74
28.28	-30.57	-76.09
28.39	-30.43	-77.45
28.49	-30.29	-78.85
28.60	-30.16	-80.27
28.71	-30.03	-81.71
28.82	-29.91	-83.18
28.93	-29.80	-84.67
29.03	-29.69	-86.18
29.14	-29.58	-87.73
29.25	-29.48	-89.29
29.36	-29.39	-90.88
29.48	-29.31	-92.49
29.59	-29.23	-94.12
29.70	-29.16	-95.78
29.81	-29.10	-97.44
29.92	-29.04	-99.13
30.04	-28.99	-100.82
30.15	-28.95	-102.53
30.26	-28.91	-104.24
30.38	-28.88	-105.96
30.49	-28.85	-107.69
30.61	-28.83	-109.41
30.72	-28.82	-111.13
30.84	-28.81	-112.85
30.95	-28.81	-114.56
31.07	-28.81	-116.26
31.19	-28.82	-117.95
31.31	-28.84	-119.63
31.42	-28.86	-121.28
31.54	-28.88	-122.92
31.66	-28.91	-124.53
31.78	-28.95	-126.12
31.90	-28.99	-127.67
32.02	-29.03	-129.19
32.14	-29.08	-130.68
32.26	-29.13	-132.13
32.39	-29.18	-133.53
32.51	-29.24	-134.90
32.63	-29.31	-136.22
32.75	-29.37	-137.51
32.88	-29.44	-138.75
33.00	-29.52	-139.96
33.13	-29.59	-141.14
33.25	-29.67	-142.27
33.38	-29.75	-143.38
33.50	-29.83	-144.45
33.63	-29.92	-145.48
33.76	-30.00	-146.49
33.88	-30.09	-147.46
34.01	-30.18	-148.41
34.14	-30.27	-149.32
34.27	-30.36	-150.21
34.40	-30.45	-151.08
34.53	-30.54	-151.92
34.66	-30.63	-152.73
34.79	-30.72	-153.53
34.92	-30.81	-154.30
35.05	-30.89	-155.06
35.18	-30.98	-155.79
35.32	-31.06	-156.51
35.45	-31.14	-157.22
35.58	-31.22	-157.91
35.72	-31.30	-158.58
35.85	-31.38	-159.23
35.99	-31.45	-159.87
36.12	-31.53	-160.50
36.26	-31.60	-161.11
36.40	-31.67	-161.71
36.53	-31.74	-162.30
36.67	-31.80	-162.87
36.81	-31.87	-163.42
36.95	-31.93	-163.97
37.09	-32.00	-164.50
37.23	-32.06	-165.02
37.37	-32.12	-165.54
37.51	-32.17	-166.03
37.65	-32.23	-166.52
37.79	-32.29	-167.00
37.94	-32.34	-167.47
38.08	-32.39	-167.94
38.22	-32.44	-168.39
38.37	-32.50	-168.83
38.51	-32.54	-169.27
38.66	-32.59	-169.70
38.80	-32.64	-170.12
38.95	-32.69	-170.53
39.10	-32.73	-170.94
39.24	-32.77	-171.34
39.39	-32.81	-171.73
39.54	-32.86	-172.12
39.69	-32.90	-172.50
39.84	-32.93	-172.87
39.99	-32.97	-173.24
40.14	-33.01	-173.60
40.29	-33.04	-173.95
40.45	-33.08	-174.30
40.60	-33.11	-174.65
40.75	-33.14	-174.99
40.90	-33.18	-175.32
41.06	-33.21	-175.65
41.21	-33.24	-175.98
41.37	-33.26	-176.30
41.53	-33.29	-176.62
41.68	-33.32	-176.94
41.84	-33.34	-177.25
42.00	-33.37	-177.56
