Freq[Hz]	[dBV]	Phase[Deg]
10.00	-58.53	-176.86
10.04	-58.63	-176.29
10.08	-58.72	-175.71
10.11	-58.82	-175.14
10.15	-58.91	-174.56
10.19	-59.01	-173.97
10.23	-59.11	-173.39
10.27	-59.20	-172.80
10.31	-59.30	-172.21
10.34	-59.40	-171.62
10.38	-59.50	-171.03
10.42	-59.60	-170.43
10.46	-59.70	-169.84
10.50	-59.80	-169.25
10.54	-59.90	-168.66
10.58	-60.00	-168.06
10.62	-60.10	-167.47
10.66	-60.20	-166.88
10.70	-60.30	-166.29
10.74	-60.41	-165.71
10.78	-60.51	-165.12
10.82	-60.61	-164.54
10.86	-60.71	-163.97
10.90	-60.81	-163.39
10.95	-60.91	-162.82
10.99	-61.00	-162.26
11.03	-61.10	-161.70
11.07	-61.20	-161.14
11.11	-61.30	-160.59
11.15	-61.39	-160.05
11.20	-61.49	-159.51
11.24	-61.58	-158.99
11.28	-61.67	-158.47
11.32	-61.77	-157.95
11.37	-61.86	-157.45
11.41	-61.95	-156.96
11.45	-62.04	-156.47
11.50	-62.12	-156.00
11.54	-62.21	-155.54
11.58	-62.29	-155.09
11.63	-62.37	-154.65
11.67	-62.45	-154.23
11.71	-62.53	-153.82
11.76	-62.61	-153.42
11.80	-62.68	-153.04
11.85	-62.75	-152.67
11.89	-62.82	-152.31
11.94	-62.89	-151.97
11.98	-62.95	-151.65
12.03	-63.02	-151.34
12.07	-63.08	-151.05
12.12	-63.14	-150.77
12.16	-63.19	-150.50
12.21	-63.25	-150.26
12.26	-63.30	-150.02
12.30	-63.35	-149.81
12.35	-63.40	-149.61
12.39	-63.45	-149.43
12.44	-63.50	-149.26
12.49	-63.54	-149.11
12.54	-63.58	-148.98
12.58	-63.62	-148.86
12.63	-63.66	-148.76
12.68	-63.70	-148.68
12.73	-63.73	-148.62
12.77	-63.76	-148.57
12.82	-63.79	-148.54
12.87	-63.82	-148.53
12.92	-63.85	-148.54
12.97	-63.87	-148.57
13.02	-63.89	-148.61
13.07	-63.92	-148.67
13.12	-63.94	-148.76
13.16	-63.95	-148.86
13.21	-63.97	-148.98
13.26	-63.98	-149.12
13.31	-64.00	-149.28
13.36	-64.01	-149.46
13.41	-64.02	-149.66
13.47	-64.03	-149.88
13.52	-64.03	-150.12
13.57	-64.04	-150.38
13.62	-64.04	-150.66
13.67	-64.04	-150.96
13.72	-64.04	-151.29
13.77	-64.04	-151.63
13.83	-64.04	-152.00
13.88	-64.04	-152.39
13.93	-64.03	-152.80
13.98	-64.03	-153.23
14.04	-64.02	-153.68
14.09	-64.01	-154.16
14.14	-64.00	-154.66
14.19	-63.99	-155.19
14.25	-63.98	-155.73
14.30	-63.97	-156.30
14.36	-63.96	-156.89
14.41	-63.94	-157.51
14.46	-63.93	-158.15
14.52	-63.91	-158.82
14.57	-63.90	-159.51
14.63	-63.88	-160.22
14.68	-63.86	-160.96
14.74	-63.84	-161.72
14.80	-63.82	-162.51
14.85	-63.80	-163.32
14.91	-63.78	-164.15
14.96	-63.76	-165.01
15.02	-63.74	-165.88
15.08	-63.71	-166.77
15.13	-63.69	-167.68
15.19	-63.66	-168.61
15.25	-63.64	-169.56
15.31	-63.61	-170.52
15.36	-63.58	-171.49
15.42	-63.55	-172.48
15.48	-63.52	-173.48
15.54	-63.49	-174.49
15.60	-63.45	-175.52
15.66	-63.42	-176.55
15.71	-63.38	-177.59
15.77	-63.35	-178.63
15.83	-63.31	-179.68
15.89	-63.27	179.26
15.95	-63.23	178.20
16.01	-63.18	177.15
16.07	-63.14	176.09
16.13	-63.09	175.03
16.19	-63.04	173.97
16.26	-62.99	172.92
16.32	-62.94	171.88
16.38	-62.89	170.84
16.44	-62.83	169.81
16.50	-62.78	168.79
16.56	-62.72	167.78
16.63	-62.66	166.79
16.69	-62.59	165.81
16.75	-62.53	164.85
16.82	-62.46	163.91
16.88	-62.39	162.98
16.94	-62.32	162.08
17.01	-62.24	161.21
17.07	-62.17	160.36
17.14	-62.09	159.54
17.20	-62.00	158.75
17.27	-61.92	157.99
17.33	-61.83	157.26
17.40	-61.74	156.57
17.46	-61.65	155.92
17.53	-61.55	155.31
17.59	-61.45	154.75
17.66	-61.35	154.22
17.73	-61.24	153.74
17.79	-61.13	153.31
17.86	-61.02	152.91
17.93	-60.91	152.56
18.00	-60.79	152.25
18.06	-60.67	151.97
18.13	-60.55	151.74
18.20	-60.43	151.54
18.27	-60.30	151.37
18.34	-60.17	151.24
18.41	-60.04	151.15
18.48	-59.91	151.09
18.55	-59.77	151.06
18.62	-59.64	151.06
18.69	-59.50	151.09
18.76	-59.36	151.15
18.83	-59.22	151.23
18.90	-59.08	151.34
18.97	-58.94	151.48
19.04	-58.79	151.64
19.11	-58.65	151.81
19.19	-58.50	152.01
19.26	-58.36	152.23
19.33	-58.21	152.46
19.40	-58.07	152.71
19.48	-57.92	152.97
19.55	-57.78	153.25
19.62	-57.63	153.53
19.70	-57.48	153.82
19.77	-57.34	154.12
19.85	-57.19	154.43
19.92	-57.05	154.74
20.00	-56.91	155.05
20.07	-56.77	155.35
20.15	-56.63	155.66
20.22	-56.49	155.96
20.30	-56.36	156.25
20.38	-56.22	156.54
20.45	-56.09	156.81
20.53	-55.96	157.08
20.61	-55.83	157.32
20.69	-55.71	157.55
20.77	-55.59	157.77
20.84	-55.47	157.97
20.92	-55.35	158.16
21.00	-55.24	158.34
21.08	-55.13	158.50
21.16	-55.02	158.65
21.24	-54.91	158.78
21.32	-54.80	158.90
21.40	-54.70	159.01
21.48	-54.60	159.10
21.56	-54.50	159.19
21.64	-54.40	159.25
21.73	-54.30	159.31
21.81	-54.21	159.36
21.89	-54.11	159.39
21.97	-54.02	159.41
22.06	-53.93	159.42
22.14	-53.84	159.42
22.22	-53.76	159.41
22.31	-53.67	159.38
22.39	-53.59	159.35
22.47	-53.50	159.31
22.56	-53.42	159.26
22.64	-53.34	159.19
22.73	-53.25	159.12
22.82	-53.17	159.04
22.90	-53.09	158.95
22.99	-53.01	158.86
23.07	-52.93	158.75
23.16	-52.85	158.64
23.25	-52.78	158.52
23.34	-52.70	158.39
23.43	-52.62	158.26
23.51	-52.54	158.12
23.60	-52.46	157.97
23.69	-52.38	157.82
23.78	-52.30	157.66
23.87	-52.22	157.50
23.96	-52.14	157.33
24.05	-52.05	157.16
24.14	-51.97	156.97
24.23	-51.89	156.78
24.32	-51.81	156.59
24.42	-51.73	156.39
24.51	-51.64	156.18
24.60	-51.56	155.97
24.69	-51.47	155.75
24.79	-51.39	155.52
24.88	-51.30	155.29
24.97	-51.22	155.05
25.07	-51.13	154.81
25.16	-51.05	154.56
25.26	-50.96	154.30
25.35	-50.87	154.04
25.45	-50.78	153.76
25.54	-50.69	153.49
25.64	-50.60	153.20
25.74	-50.51	152.91
25.84	-50.42	152.62
25.93	-50.32	152.31
26.03	-50.23	152.00
26.13	-50.14	151.69
26.23	-50.04	151.36
26.33	-49.94	151.04
26.43	-49.85	150.70
26.53	-49.75	150.36
26.63	-49.65	150.01
26.73	-49.55	149.65
26.83	-49.45	149.29
26.93	-49.35	148.92
27.03	-49.24	148.54
27.13	-49.14	148.15
27.23	-49.03	147.76
27.34	-48.93	147.36
27.44	-48.82	146.95
27.54	-48.71	146.54
27.65	-48.60	146.12
27.75	-48.49	145.68
27.86	-48.38	145.25
27.96	-48.27	144.80
28.07	-48.16	144.34
28.17	-48.04	143.88
28.28	-47.93	143.40
28.39	-47.81	142.92
28.49	-47.70	142.43
28.60	-47.58	141.93
28.71	-47.46	141.42
28.82	-47.34	140.90
28.93	-47.22	140.37
29.03	-47.10	139.84
29.14	-46.98	139.29
29.25	-46.86	138.73
29.36	-46.73	138.16
29.48	-46.61	137.58
29.59	-46.48	136.99
29.70	-46.36	136.40
29.81	-46.23	135.78
29.92	-46.11	135.16
30.04	-45.98	134.53
30.15	-45.85	133.88
30.26	-45.72	133.22
30.38	-45.59	132.55
30.49	-45.47	131.87
30.61	-45.34	131.17
30.72	-45.21	130.46
30.84	-45.08	129.74
30.95	-44.95	129.00
31.07	-44.83	128.25
31.19	-44.70	127.48
31.31	-44.57	126.70
31.42	-44.45	125.90
31.54	-44.32	125.08
31.66	-44.20	124.25
31.78	-44.07	123.41
31.90	-43.95	122.54
32.02	-43.83	121.66
32.14	-43.71	120.76
32.26	-43.59	119.84
32.39	-43.47	118.91
32.51	-43.36	117.95
32.63	-43.24	116.98
32.75	-43.13	115.99
32.88	-43.02	114.97
33.00	-42.91	113.94
33.13	-42.81	112.90
33.25	-42.71	111.83
33.38	-42.61	110.74
33.50	-42.51	109.63
33.63	-42.42	108.51
33.76	-42.33	107.36
33.88	-42.25	106.20
34.01	-42.17	105.01
34.14	-42.09	103.81
34.27	-42.02	102.58
34.40	-41.95	101.34
34.53	-41.89	100.07
34.66	-41.83	98.79
34.79	-41.78	97.48
34.92	-41.73	96.15
35.05	-41.69	94.81
35.18	-41.66	93.44
35.32	-41.63	92.06
35.45	-41.61	90.65
35.58	-41.59	89.23
35.72	-41.58	87.79
35.85	-41.58	86.34
35.99	-41.58	84.88
36.12	-41.59	83.41
36.26	-41.60	81.93
36.40	-41.62	80.44
36.53	-41.65	78.95
36.67	-41.68	77.46
36.81	-41.72	75.97
36.95	-41.76	74.48
37.09	-41.81	73.00
37.23	-41.87	71.52
37.37	-41.93	70.05
37.51	-41.99	68.60
37.65	-42.06	67.16
37.79	-42.14	65.73
37.94	-42.22	64.32
38.08	-42.30	62.94
38.22	-42.39	61.57
38.37	-42.49	60.24
38.51	-42.59	58.92
38.66	-42.69	57.64
38.80	-42.80	56.37
38.95	-42.91	55.14
39.10	-43.03	53.93
39.24	-43.15	52.75
39.39	-43.27	51.60
39.54	-43.40	50.47
39.69	-43.53	49.38
39.84	-43.66	48.31
39.99	-43.80	47.27
40.14	-43.93	46.27
40.29	-44.07	45.29
40.45	-44.21	44.35
40.60	-44.36	43.44
40.75	-44.50	42.56
40.90	-44.65	41.72
41.06	-44.79	40.91
41.21	-44.94	40.14
41.37	-45.09	39.40
41.53	-45.24	38.69
41.68	-45.39	38.01
41.84	-45.54	37.37
42.00	-45.69	36.76
42.16	-45.85	36.18
42.32	-46.01	35.63
42.47	-46.17	35.11
42.63	-46.33	34.62
42.80	-46.49	34.16
42.96	-46.66	33.72
43.12	-46.84	33.32
43.28	-47.01	32.93
43.45	-47.19	32.58
43.61	-47.38	32.25
43.77	-47.57	31.94
43.94	-47.76	31.66
44.10	-47.96	31.40
44.27	-48.16	31.15
44.44	-48.37	30.93
44.61	-48.58	30.72
44.77	-48.80	30.53
44.94	-49.02	30.34
45.11	-49.24	30.16
45.28	-49.47	29.99
45.45	-49.70	29.82
45.63	-49.93	29.64
45.80	-50.16	29.47
45.97	-50.39	29.29
46.14	-50.63	29.10
46.32	-50.87	28.89
46.49	-51.10	28.67
46.67	-51.34	28.43
46.84	-51.57	28.17
47.02	-51.81	27.89
47.20	-52.04	27.59
47.38	-52.28	27.29
47.56	-52.52	27.01
47.74	-52.77	26.76
47.92	-53.02	26.55
48.10	-53.29	26.40
48.28	-53.57	26.33
48.46	-53.86	26.35
48.64	-54.17	26.48
48.83	-54.49	26.74
49.01	-54.84	27.14
49.20	-55.21	27.70
49.38	-55.60	28.45
49.57	-56.03	29.39
49.75	-56.48	30.55
49.94	-56.96	31.95
50.13	-57.47	33.58
50.32	-58.01	35.46
50.51	-58.55	37.57
50.70	-59.10	39.92
50.89	-59.64	42.49
51.08	-60.17	45.30
51.28	-60.68	48.32
51.47	-61.17	51.57
51.66	-61.61	55.04
51.86	-62.01	58.73
52.05	-62.35	62.62
52.25	-62.62	66.72
52.45	-62.82	71.03
52.65	-62.93	75.54
52.85	-62.95	80.25
53.04	-62.87	85.12
53.24	-62.70	90.14
53.45	-62.45	95.24
53.65	-62.12	100.39
53.85	-61.74	105.55
54.05	-61.29	110.67
54.26	-60.80	115.71
54.46	-60.27	120.61
54.67	-59.70	125.34
54.87	-59.12	129.84
55.08	-58.52	134.07
55.29	-57.92	137.97
55.50	-57.33	141.49
55.71	-56.75	144.58
55.92	-56.20	147.22
56.13	-55.67	149.41
56.34	-55.17	151.21
56.55	-54.68	152.64
56.77	-54.22	153.74
56.98	-53.77	154.54
57.19	-53.34	155.08
57.41	-52.93	155.40
57.63	-52.52	155.54
57.84	-52.14	155.54
58.06	-51.76	155.43
58.28	-51.39	155.25
58.50	-51.03	155.06
58.72	-50.67	154.89
58.94	-50.33	154.76
59.17	-49.98	154.66
59.39	-49.64	154.58
59.61	-49.31	154.53
59.84	-48.98	154.49
60.06	-48.65	154.46
60.29	-48.33	154.44
60.52	-48.01	154.40
60.75	-47.69	154.36
60.98	-47.38	154.30
61.21	-47.07	154.22
61.44	-46.77	154.10
61.67	-46.47	153.95
61.90	-46.17	153.76
62.14	-45.87	153.53
62.37	-45.57	153.26
62.61	-45.28	152.96
62.84	-44.99	152.64
63.08	-44.70	152.28
63.32	-44.42	151.91
63.56	-44.13	151.51
63.80	-43.85	151.09
64.04	-43.57	150.66
64.28	-43.29	150.22
64.52	-43.02	149.77
64.76	-42.74	149.32
65.01	-42.47	148.86
65.25	-42.20	148.38
65.50	-41.92	147.89
65.75	-41.65	147.39
66.00	-41.39	146.87
66.24	-41.12	146.33
66.49	-40.85	145.77
66.75	-40.59	145.18
67.00	-40.32	144.56
67.25	-40.06	143.92
67.50	-39.79	143.24
67.76	-39.53	142.52
68.01	-39.27	141.78
68.27	-39.01	140.99
68.53	-38.75	140.18
68.79	-38.48	139.33
69.05	-38.22	138.44
69.31	-37.96	137.52
69.57	-37.70	136.57
69.83	-37.44	135.58
70.09	-37.18	134.55
70.36	-36.93	133.50
70.62	-36.67	132.40
70.89	-36.41	131.27
71.16	-36.15	130.10
71.43	-35.89	128.89
71.70	-35.64	127.64
71.97	-35.39	126.34
72.24	-35.14	125.00
72.51	-34.89	123.61
72.79	-34.65	122.16
73.06	-34.41	120.67
73.34	-34.17	119.12
73.61	-33.94	117.51
73.89	-33.72	115.85
74.17	-33.50	114.14
74.45	-33.29	112.37
74.73	-33.08	110.55
75.01	-32.89	108.68
75.29	-32.70	106.77
75.58	-32.52	104.80
75.86	-32.35	102.78
76.15	-32.20	100.72
76.44	-32.06	98.62
76.73	-31.93	96.48
77.02	-31.81	94.30
77.31	-31.71	92.10
77.60	-31.61	89.88
77.89	-31.54	87.65
78.18	-31.47	85.41
78.48	-31.42	83.18
78.78	-31.38	80.95
79.07	-31.35	78.74
79.37	-31.34	76.56
79.67	-31.34	74.40
79.97	-31.35	72.27
80.27	-31.37	70.18
80.58	-31.41	68.13
80.88	-31.45	66.12
81.19	-31.50	64.16
81.49	-31.56	62.24
81.80	-31.63	60.38
82.11	-31.71	58.58
82.42	-31.79	56.84
82.73	-31.88	55.15
83.04	-31.98	53.53
83.35	-32.08	51.95
83.67	-32.18	50.44
83.99	-32.29	48.97
84.30	-32.39	47.56
84.62	-32.51	46.20
84.94	-32.62	44.88
85.26	-32.73	43.61
85.58	-32.85	42.38
85.90	-32.96	41.20
86.23	-33.08	40.06
86.55	-33.19	38.96
86.88	-33.30	37.91
87.21	-33.42	36.89
87.54	-33.53	35.91
87.87	-33.64	34.96
88.20	-33.75	34.06
88.53	-33.86	33.18
88.87	-33.96	32.35
89.20	-34.07	31.54
89.54	-34.17	30.76
89.88	-34.27	30.01
90.22	-34.38	29.29
90.56	-34.48	28.59
90.90	-34.58	27.92
91.24	-34.68	27.27
91.59	-34.77	26.64
91.93	-34.87	26.04
92.28	-34.97	25.45
92.63	-35.06	24.88
92.98	-35.16	24.32
93.33	-35.25	23.79
93.68	-35.34	23.26
94.03	-35.43	22.75
94.39	-35.52	22.25
94.74	-35.60	21.76
95.10	-35.69	21.29
95.46	-35.77	20.83
95.82	-35.85	20.38
96.18	-35.93	19.95
96.54	-36.01	19.53
96.91	-36.08	19.12
97.27	-36.16	18.73
97.64	-36.24	18.35
98.01	-36.31	17.98
98.38	-36.38	17.62
98.75	-36.46	17.27
99.12	-36.53	16.93
99.50	-36.60	16.60
99.87	-36.67	16.27
100.25	-36.74	15.95
100.63	-36.81	15.63
101.01	-36.88	15.32
101.39	-36.95	15.01
101.77	-37.01	14.70
102.16	-37.08	14.40
102.54	-37.14	14.09
102.93	-37.20	13.79
103.32	-37.26	13.48
103.71	-37.32	13.18
104.10	-37.37	12.89
104.49	-37.43	12.60
104.88	-37.49	12.33
105.28	-37.54	12.06
