Freq[Hz]	[dBV]	Phase[Deg]
10.00	-64.57	-65.67
10.04	-64.44	-64.47
10.08	-64.31	-63.25
10.11	-64.17	-61.99
10.15	-64.03	-60.71
10.19	-63.88	-59.40
10.23	-63.73	-58.07
10.27	-63.58	-56.71
10.31	-63.43	-55.33
10.34	-63.28	-53.93
10.38	-63.12	-52.52
10.42	-62.96	-51.08
10.46	-62.80	-49.63
10.50	-62.64	-48.16
10.54	-62.47	-46.69
10.58	-62.31	-45.20
10.62	-62.14	-43.70
10.66	-61.97	-42.19
10.70	-61.80	-40.68
10.74	-61.63	-39.16
10.78	-61.46	-37.65
10.82	-61.28	-36.13
10.86	-61.11	-34.61
10.90	-60.94	-33.10
10.95	-60.77	-31.59
10.99	-60.59	-30.10
11.03	-60.42	-28.61
11.07	-60.25	-27.13
11.11	-60.08	-25.67
11.15	-59.91	-24.23
11.20	-59.74	-22.80
11.24	-59.57	-21.40
11.28	-59.40	-20.02
11.32	-59.24	-18.66
11.37	-59.08	-17.34
11.41	-58.92	-16.05
11.45	-58.76	-14.79
11.50	-58.61	-13.57
11.54	-58.45	-12.39
11.58	-58.31	-11.25
11.63	-58.16	-10.15
11.67	-58.02	-9.11
11.71	-57.88	-8.12
11.76	-57.75	-7.18
11.80	-57.62	-6.29
11.85	-57.50	-5.46
11.89	-57.38	-4.68
11.94	-57.26	-3.95
11.98	-57.15	-3.28
12.03	-57.04	-2.66
12.07	-56.94	-2.08
12.12	-56.84	-1.56
12.16	-56.75	-1.09
12.21	-56.65	-0.66
12.26	-56.57	-0.29
12.30	-56.48	0.05
12.35	-56.40	0.33
12.39	-56.32	0.57
12.44	-56.25	0.77
12.49	-56.18	0.92
12.54	-56.11	1.03
12.58	-56.05	1.10
12.63	-55.98	1.13
12.68	-55.93	1.12
12.73	-55.87	1.07
12.77	-55.82	0.98
12.82	-55.77	0.86
12.87	-55.72	0.70
12.92	-55.67	0.51
12.97	-55.63	0.28
13.02	-55.59	0.03
13.07	-55.55	-0.26
13.12	-55.51	-0.57
13.16	-55.48	-0.91
13.21	-55.45	-1.28
13.26	-55.42	-1.68
13.31	-55.38	-2.09
13.36	-55.36	-2.53
13.41	-55.33	-2.99
13.47	-55.30	-3.46
13.52	-55.28	-3.96
13.57	-55.25	-4.47
13.62	-55.23	-4.99
13.67	-55.20	-5.53
13.72	-55.18	-6.07
13.77	-55.15	-6.62
13.83	-55.13	-7.18
13.88	-55.11	-7.75
13.93	-55.08	-8.32
13.98	-55.06	-8.89
14.04	-55.03	-9.46
14.09	-55.00	-10.02
14.14	-54.98	-10.58
14.19	-54.95	-11.13
14.25	-54.92	-11.67
14.30	-54.88	-12.20
14.36	-54.85	-12.72
14.41	-54.81	-13.22
14.46	-54.77	-13.70
14.52	-54.73	-14.16
14.57	-54.69	-14.60
14.63	-54.64	-15.00
14.68	-54.59	-15.38
14.74	-54.53	-15.73
14.80	-54.47	-16.06
14.85	-54.41	-16.35
14.91	-54.35	-16.61
14.96	-54.28	-16.85
15.02	-54.21	-17.06
15.08	-54.14	-17.24
15.13	-54.06	-17.40
15.19	-53.98	-17.54
15.25	-53.90	-17.65
15.31	-53.81	-17.73
15.36	-53.72	-17.79
15.42	-53.63	-17.84
15.48	-53.54	-17.86
15.54	-53.44	-17.85
15.60	-53.35	-17.83
15.66	-53.25	-17.79
15.71	-53.14	-17.74
15.77	-53.04	-17.66
15.83	-52.93	-17.57
15.89	-52.82	-17.46
15.95	-52.72	-17.34
16.01	-52.60	-17.21
16.07	-52.49	-17.06
16.13	-52.38	-16.90
16.19	-52.26	-16.73
16.26	-52.14	-16.55
16.32	-52.02	-16.37
16.38	-51.90	-16.17
16.44	-51.78	-15.97
16.50	-51.66	-15.77
16.56	-51.54	-15.56
16.63	-51.42	-15.34
16.69	-51.30	-15.13
16.75	-51.17	-14.92
16.82	-51.05	-14.71
16.88	-50.93	-14.50
16.94	-50.80	-14.29
17.01	-50.68	-14.09
17.07	-50.56	-13.90
17.14	-50.44	-13.71
17.20	-50.32	-13.53
17.27	-50.20	-13.37
17.33	-50.08	-13.22
17.40	-49.96	-13.08
17.46	-49.84	-12.96
17.53	-49.73	-12.86
17.59	-49.62	-12.77
17.66	-49.51	-12.71
17.73	-49.40	-12.66
17.79	-49.29	-12.64
17.86	-49.18	-12.63
17.93	-49.08	-12.65
18.00	-48.98	-12.68
18.06	-48.88	-12.73
18.13	-48.78	-12.79
18.20	-48.68	-12.88
18.27	-48.59	-12.98
18.34	-48.49	-13.09
18.41	-48.40	-13.22
18.48	-48.31	-13.37
18.55	-48.22	-13.52
18.62	-48.13	-13.70
18.69	-48.04	-13.88
18.76	-47.95	-14.08
18.83	-47.87	-14.29
18.90	-47.78	-14.50
18.97	-47.70	-14.73
19.04	-47.62	-14.97
19.11	-47.53	-15.22
19.19	-47.45	-15.47
19.26	-47.37	-15.74
19.33	-47.29	-16.00
19.40	-47.21	-16.28
19.48	-47.13	-16.56
19.55	-47.05	-16.84
19.62	-46.97	-17.13
19.70	-46.89	-17.41
19.77	-46.81	-17.70
19.85	-46.73	-17.99
19.92	-46.65	-18.28
20.00	-46.57	-18.57
20.07	-46.49	-18.86
20.15	-46.41	-19.14
20.22	-46.33	-19.42
20.30	-46.25	-19.69
20.38	-46.16	-19.95
20.45	-46.08	-20.21
20.53	-46.00	-20.46
20.61	-45.91	-20.70
20.69	-45.82	-20.93
20.77	-45.73	-21.15
20.84	-45.65	-21.36
20.92	-45.55	-21.57
21.00	-45.46	-21.76
21.08	-45.37	-21.95
21.16	-45.28	-22.13
