Freq[Hz]	[dBV]	Phase[Deg]
10.00	-70.97	-133.40
10.04	-70.99	-135.28
10.08	-71.01	-137.15
10.11	-71.02	-139.02
10.15	-71.03	-140.88
10.19	-71.04	-142.74
10.23	-71.05	-144.59
10.27	-71.05	-146.43
10.31	-71.05	-148.26
10.34	-71.06	-150.09
10.38	-71.05	-151.90
10.42	-71.05	-153.71
10.46	-71.04	-155.50
10.50	-71.04	-157.28
10.54	-71.03	-159.05
10.58	-71.02	-160.80
10.62	-71.00	-162.53
10.66	-70.99	-164.26
10.70	-70.97	-165.96
10.74	-70.95	-167.64
10.78	-70.93	-169.31
10.82	-70.91	-170.96
10.86	-70.89	-172.58
10.90	-70.87	-174.18
10.95	-70.84	-175.76
10.99	-70.82	-177.31
11.03	-70.79	-178.84
11.07	-70.77	179.66
11.11	-70.74	178.19
11.15	-70.71	176.75
11.20	-70.68	175.33
11.24	-70.65	173.95
11.28	-70.62	172.61
11.32	-70.59	171.30
11.37	-70.56	170.02
11.41	-70.53	168.78
11.45	-70.50	167.58
11.50	-70.47	166.42
11.54	-70.44	165.30
11.58	-70.41	164.23
11.63	-70.38	163.20
11.67	-70.35	162.21
11.71	-70.32	161.28
11.76	-70.29	160.39
11.80	-70.26	159.55
11.85	-70.24	158.76
11.89	-70.21	158.02
11.94	-70.19	157.32
11.98	-70.17	156.67
12.03	-70.14	156.07
12.07	-70.12	155.51
12.12	-70.10	155.00
12.16	-70.08	154.54
12.21	-70.05	154.11
12.26	-70.03	153.73
12.30	-70.01	153.40
12.35	-69.99	153.10
12.39	-69.97	152.85
12.44	-69.95	152.63
12.49	-69.94	152.46
12.54	-69.92	152.33
12.58	-69.90	152.23
12.63	-69.88	152.17
12.68	-69.86	152.15
12.73	-69.84	152.16
12.77	-69.82	152.21
12.82	-69.80	152.29
12.87	-69.78	152.40
12.92	-69.76	152.55
12.97	-69.74	152.72
13.02	-69.72	152.93
13.07	-69.70	153.16
13.12	-69.68	153.42
13.16	-69.66	153.71
13.21	-69.63	154.02
13.26	-69.61	154.36
13.31	-69.58	154.72
13.36	-69.56	155.10
13.41	-69.53	155.50
13.47	-69.50	155.92
13.52	-69.47	156.36
13.57	-69.44	156.81
13.62	-69.41	157.28
13.67	-69.38	157.76
