Freq[Hz]	[dBV]	Phase[Deg]
10.00	-63.39	5.49
10.04	-63.38	4.80
10.08	-63.38	4.10
10.11	-63.37	3.38
10.15	-63.36	2.64
10.19	-63.36	1.89
10.23	-63.35	1.13
10.27	-63.34	0.35
10.31	-63.33	-0.43
10.34	-63.33	-1.22
10.38	-63.32	-2.02
10.42	-63.31	-2.82
10.46	-63.31	-3.62
10.50	-63.30	-4.42
10.54	-63.30	-5.22
10.58	-63.30	-6.02
10.62	-63.30	-6.81
10.66	-63.30	-7.59
10.70	-63.30	-8.35
10.74	-63.30	-9.11
10.78	-63.30	-9.85
10.82	-63.31	-10.57
10.86	-63.32	-11.27
10.90	-63.33	-11.95
10.95	-63.34	-12.60
10.99	-63.36	-13.23
11.03	-63.38	-13.82
11.07	-63.40	-14.38
11.11	-63.42	-14.91
11.15	-63.45	-15.40
11.20	-63.48	-15.84
11.24	-63.52	-16.24
11.28	-63.56	-16.59
11.32	-63.60	-16.89
11.37	-63.64	-17.14
11.41	-63.70	-17.32
11.45	-63.75	-17.45
11.50	-63.81	-17.52
11.54	-63.88	-17.52
11.58	-63.95	-17.44
11.63	-64.02	-17.30
11.67	-64.11	-17.07
11.71	-64.19	-16.77
11.76	-64.29	-16.38
11.80	-64.39	-15.90
11.85	-64.49	-15.34
11.89	-64.61	-14.69
11.94	-64.72	-13.96
11.98	-64.85	-13.15
12.03	-64.98	-12.25
12.07	-65.11	-11.27
12.12	-65.25	-10.21
12.16	-65.40	-9.06
12.21	-65.55	-7.83
12.26	-65.70	-6.51
12.30	-65.86	-5.12
12.35	-66.02	-3.64
12.39	-66.19	-2.09
12.44	-66.36	-0.45
12.49	-66.54	1.27
12.54	-66.72	3.06
12.58	-66.90	4.94
12.63	-67.09	6.89
12.68	-67.28	8.92
12.73	-67.47	11.03
12.77	-67.67	13.21
12.82	-67.87	15.47
12.87	-68.07	17.81
12.92	-68.27	20.22
12.97	-68.48	22.70
13.02	-68.68	25.26
13.07	-68.89	27.88
13.12	-69.10	30.58
13.16	-69.31	33.35
13.21	-69.53	36.19
13.26	-69.74	39.09
13.31	-69.95	42.07
13.36	-70.16	45.10
13.41	-70.38	48.21
13.47	-70.59	51.38
13.52	-70.80	54.61
13.57	-71.01	57.90
13.62	-71.22	61.26
13.67	-71.43	64.67
13.72	-71.64	68.14
13.77	-71.84	71.67
13.83	-72.04	75.26
13.88	-72.24	78.90
13.93	-72.43	82.59
13.98	-72.63	86.33
14.04	-72.81	90.13
14.09	-73.00	93.97
14.14	-73.18	97.86
14.19	-73.35	101.80
14.25	-73.52	105.77
14.30	-73.68	109.79
14.36	-73.84	113.86
14.41	-73.99	117.96
14.46	-74.13	122.09
14.52	-74.27	126.26
14.57	-74.39	130.47
14.63	-74.51	134.71
14.68	-74.63	138.97
14.74	-74.73	143.26
14.80	-74.82	147.58
14.85	-74.91	151.91
14.91	-74.99	156.27
14.96	-75.06	160.64
15.02	-75.12	165.02
15.08	-75.18	169.41
15.13	-75.23	173.80
15.19	-75.28	178.20
15.25	-75.31	-177.41
15.31	-75.35	-173.02
15.36	-75.38	-168.64
15.42	-75.40	-164.27
15.48	-75.42	-159.92
15.54	-75.44	-155.58
15.60	-75.45	-151.27
15.66	-75.46	-146.99
15.71	-75.47	-142.74
15.77	-75.47	-138.52
15.83	-75.47	-134.35
15.89	-75.48	-130.22
15.95	-75.48	-126.13
16.01	-75.48	-122.10
16.07	-75.48	-118.13
16.13	-75.48	-114.22
16.19	-75.48	-110.38
16.26	-75.49	-106.61
16.32	-75.50	-102.92
16.38	-75.51	-99.31
16.44	-75.52	-95.78
16.50	-75.54	-92.35
16.56	-75.56	-89.02
16.63	-75.59	-85.79
16.69	-75.62	-82.67
16.75	-75.66	-79.66
16.82	-75.71	-76.78
16.88	-75.76	-74.02
16.94	-75.83	-71.39
17.01	-75.90	-68.90
17.07	-75.98	-66.56
17.14	-76.08	-64.37
17.20	-76.18	-62.33
17.27	-76.30	-60.46
17.33	-76.43	-58.77
17.40	-76.57	-57.25
17.46	-76.73	-55.91
17.53	-76.90	-54.77
17.59	-77.09	-53.83
17.66	-77.29	-53.09
17.73	-77.51	-52.55
17.79	-77.75	-52.20
17.86	-78.00	-52.04
17.93	-78.26	-52.06
18.00	-78.54	-52.26
18.06	-78.83	-52.63
18.13	-79.13	-53.16
18.20	-79.44	-53.85
18.27	-79.77	-54.69
18.34	-80.10	-55.67
18.41	-80.44	-56.79
18.48	-80.79	-58.03
18.55	-81.15	-59.40
18.62	-81.51	-60.89
18.69	-81.88	-62.48
18.76	-82.26	-64.17
18.83	-82.63	-65.95
18.90	-83.02	-67.81
18.97	-83.40	-69.75
19.04	-83.78	-71.75
19.11	-84.16	-73.81
19.19	-84.55	-75.91
19.26	-84.93	-78.05
19.33	-85.30	-80.22
19.40	-85.68	-82.41
19.48	-86.04	-84.61
19.55	-86.40	-86.81
19.62	-86.76	-88.99
19.70	-87.10	-91.15
19.77	-87.44	-93.27
19.85	-87.76	-95.35
19.92	-88.07	-97.37
20.00	-88.37	-99.33
20.07	-88.65	-101.20
20.15	-88.91	-102.98
20.22	-89.16	-104.66
20.30	-89.39	-106.21
20.38	-89.60	-107.64
20.45	-89.78	-108.92
20.53	-89.95	-110.05
20.61	-90.08	-111.00
20.69	-90.20	-111.80
20.77	-90.29	-112.44
20.84	-90.36	-112.92
20.92	-90.41	-113.26
21.00	-90.44	-113.45
21.08	-90.45	-113.51
21.16	-90.44	-113.42
21.24	-90.42	-113.21
21.32	-90.38	-112.88
21.40	-90.32	-112.43
21.48	-90.25	-111.86
21.56	-90.17	-111.19
21.64	-90.08	-110.42
21.73	-89.98	-109.55
21.81	-89.86	-108.59
21.89	-89.74	-107.54
21.97	-89.61	-106.43
22.06	-89.48	-105.24
22.14	-89.34	-103.98
22.22	-89.20	-102.67
22.31	-89.06	-101.32
22.39	-88.92	-99.91
22.47	-88.78	-98.48
22.56	-88.64	-97.02
22.64	-88.51	-95.53
22.73	-88.38	-94.04
22.82	-88.26	-92.54
22.90	-88.15	-91.05
22.99	-88.05	-89.57
23.07	-87.96	-88.12
23.16	-87.89	-86.69
23.25	-87.83	-85.30
23.34	-87.79	-83.97
23.43	-87.76	-82.69
23.51	-87.76	-81.48
23.60	-87.78	-80.35
23.69	-87.82	-79.29
23.78	-87.88	-78.32
23.87	-87.96	-77.43
23.96	-88.06	-76.64
24.05	-88.18	-75.94
24.14	-88.31	-75.35
24.23	-88.47	-74.87
24.32	-88.63	-74.50
24.42	-88.82	-74.25
24.51	-89.02	-74.13
24.60	-89.23	-74.14
24.69	-89.46	-74.28
24.79	-89.70	-74.57
24.88	-89.95	-75.00
24.97	-90.22	-75.59
25.07	-90.49	-76.34
25.16	-90.78	-77.26
25.26	-91.07	-78.35
25.35	-91.37	-79.62
25.45	-91.68	-81.07
25.54	-92.00	-82.72
25.64	-92.32	-84.58
25.74	-92.65	-86.64
25.84	-92.98	-88.91
25.93	-93.32	-91.41
26.03	-93.65	-94.13
26.13	-93.99	-97.10
26.23	-94.33	-100.31
26.33	-94.66	-103.77
26.43	-95.00	-107.50
26.53	-95.33	-111.47
26.63	-95.66	-115.69
26.73	-95.98	-120.13
26.83	-96.29	-124.77
26.93	-96.60	-129.60
27.03	-96.90	-134.60
27.13	-97.19	-139.75
27.23	-97.47	-145.03
27.34	-97.74	-150.42
27.44	-98.00	-155.90
27.54	-98.24	-161.45
27.65	-98.46	-167.05
27.75	-98.67	-172.68
27.86	-98.87	-178.32
27.96	-99.04	176.06
28.07	-99.19	170.48
28.17	-99.32	164.96
28.28	-99.43	159.53
28.39	-99.51	154.21
28.49	-99.57	149.02
28.60	-99.60	144.00
28.71	-99.60	139.16
28.82	-99.57	134.54
28.93	-99.51	130.16
29.03	-99.42	126.04
29.14	-99.29	122.23
29.25	-99.12	118.74
29.36	-98.91	115.61
29.48	-98.67	112.84
29.59	-98.39	110.43
29.70	-98.08	108.35
29.81	-97.73	106.60
29.92	-97.36	105.16
30.04	-96.96	104.04
30.15	-96.53	103.20
30.26	-96.08	102.65
30.38	-95.62	102.36
30.49	-95.13	102.32
30.61	-94.63	102.53
30.72	-94.12	102.96
30.84	-93.60	103.61
30.95	-93.08	104.45
31.07	-92.55	105.47
31.19	-92.02	106.66
31.31	-91.49	108.00
31.42	-90.97	109.48
31.54	-90.45	111.07
31.66	-89.95	112.76
31.78	-89.46	114.54
31.90	-88.99	116.38
32.02	-88.54	118.27
32.14	-88.12	120.19
