Freq[Hz]	[dBV]	Phase[Deg]
10.00	-63.36	-51.70
10.04	-63.41	-52.11
10.08	-63.46	-52.54
10.11	-63.51	-53.00
10.15	-63.55	-53.47
10.19	-63.59	-53.97
10.23	-63.64	-54.50
10.27	-63.67	-55.04
10.31	-63.71	-55.61
10.34	-63.75	-56.21
10.38	-63.78	-56.83
10.42	-63.81	-57.48
10.46	-63.84	-58.15
10.50	-63.87	-58.86
10.54	-63.89	-59.59
10.58	-63.92	-60.36
10.62	-63.94	-61.15
10.66	-63.96	-61.98
10.70	-63.98	-62.84
10.74	-63.99	-63.73
10.78	-64.01	-64.66
10.82	-64.02	-65.62
10.86	-64.03	-66.62
10.90	-64.03	-67.65
10.95	-64.04	-68.73
10.99	-64.04	-69.84
11.03	-64.05	-70.99
11.07	-64.05	-72.19
11.11	-64.04	-73.42
11.15	-64.04	-74.70
11.20	-64.03	-76.03
11.24	-64.02	-77.39
11.28	-64.01	-78.81
11.32	-64.00	-80.27
11.37	-63.99	-81.78
11.41	-63.97	-83.34
11.45	-63.95	-84.96
11.50	-63.93	-86.62
11.54	-63.91	-88.34
11.58	-63.88	-90.11
11.63	-63.86	-91.94
11.67	-63.83	-93.82
11.71	-63.80	-95.77
11.76	-63.76	-97.77
11.80	-63.73	-99.83
11.85	-63.69	-101.95
11.89	-63.65	-104.13
11.94	-63.61	-106.36
11.98	-63.57	-108.65
12.03	-63.53	-110.99
12.07	-63.48	-113.38
12.12	-63.43	-115.82
12.16	-63.38	-118.32
12.21	-63.33	-120.86
12.26	-63.28	-123.45
12.30	-63.23	-126.08
12.35	-63.18	-128.77
12.39	-63.12	-131.49
12.44	-63.07	-134.25
12.49	-63.01	-137.06
12.54	-62.96	-139.90
12.58	-62.90	-142.78
12.63	-62.84	-145.70
12.68	-62.79	-148.65
12.73	-62.73	-151.63
12.77	-62.67	-154.64
12.82	-62.61	-157.68
12.87	-62.55	-160.75
12.92	-62.49	-163.84
12.97	-62.44	-166.95
13.02	-62.38	-170.08
13.07	-62.32	-173.24
13.12	-62.27	-176.41
13.16	-62.21	-179.59
13.21	-62.16	177.21
13.26	-62.11	174.01
13.31	-62.05	170.79
13.36	-62.00	167.58
13.41	-61.96	164.35
13.47	-61.91	161.13
13.52	-61.86	157.91
13.57	-61.82	154.70
13.62	-61.78	151.49
13.67	-61.74	148.29
13.72	-61.70	145.10
13.77	-61.67	141.93
13.83	-61.64	138.78
13.88	-61.61	135.65
13.93	-61.59	132.54
13.98	-61.57	129.46
14.04	-61.55	126.41
14.09	-61.54	123.40
14.14	-61.53	120.42
14.19	-61.52	117.48
14.25	-61.52	114.58
14.30	-61.52	111.73
14.36	-61.53	108.94
14.41	-61.55	106.19
14.46	-61.56	103.50
14.52	-61.59	100.88
14.57	-61.62	98.32
14.63	-61.65	95.82
14.68	-61.70	93.41
14.74	-61.74	91.06
14.80	-61.80	88.79
14.85	-61.86	86.59
14.91	-61.92	84.47
14.96	-61.99	82.43
15.02	-62.07	80.45
15.08	-62.15	78.56
15.13	-62.24	76.73
15.19	-62.33	74.98
15.25	-62.42	73.31
15.31	-62.52	71.71
15.36	-62.63	70.18
15.42	-62.73	68.73
15.48	-62.85	67.36
15.54	-62.96	66.05
15.60	-63.08	64.82
15.66	-63.20	63.67
15.71	-63.32	62.59
15.77	-63.45	61.58
15.83	-63.58	60.64
15.89	-63.71	59.78
15.95	-63.84	58.99
16.01	-63.97	58.27
16.07	-64.11	57.63
16.13	-64.25	57.05
16.19	-64.38	56.55
16.26	-64.52	56.12
16.32	-64.65	55.76
16.38	-64.79	55.47
16.44	-64.93	55.25
16.50	-65.06	55.11
16.56	-65.20	55.03
16.63	-65.33	55.02
16.69	-65.46	55.08
16.75	-65.58	55.20
16.82	-65.71	55.40
16.88	-65.83	55.66
16.94	-65.95	55.99
17.01	-66.06	56.38
17.07	-66.17	56.85
17.14	-66.28	57.37
17.20	-66.38	57.96
17.27	-66.47	58.61
17.33	-66.56	59.33
17.40	-66.65	60.11
17.46	-66.72	60.95
17.53	-66.79	61.85
17.59	-66.85	62.81
17.66	-66.90	63.82
17.73	-66.95	64.90
17.79	-66.99	66.02
17.86	-67.01	67.18
17.93	-67.04	68.38
18.00	-67.05	69.62
18.06	-67.06	70.89
18.13	-67.06	72.17
18.20	-67.06	73.48
18.27	-67.05	74.80
18.34	-67.03	76.12
18.41	-67.01	77.45
18.48	-66.98	78.77
18.55	-66.95	80.08
18.62	-66.91	81.36
18.69	-66.87	82.63
18.76	-66.82	83.86
18.83	-66.77	85.06
18.90	-66.71	86.21
18.97	-66.66	87.31
19.04	-66.59	88.35
19.11	-66.53	89.33
19.19	-66.46	90.23
19.26	-66.39	91.05
19.33	-66.32	91.78
19.40	-66.25	92.41
19.48	-66.17	92.94
19.55	-66.10	93.36
