Freq[Hz]	[dBV]	Phase[Deg]
10.00	-64.80	-39.91
10.04	-64.89	-39.66
10.08	-64.99	-39.40
10.11	-65.08	-39.13
10.15	-65.18	-38.86
10.19	-65.28	-38.59
10.23	-65.37	-38.31
10.27	-65.47	-38.02
10.31	-65.56	-37.73
10.34	-65.66	-37.44
10.38	-65.75	-37.14
10.42	-65.85	-36.84
10.46	-65.95	-36.54
10.50	-66.04	-36.23
10.54	-66.14	-35.92
10.58	-66.23	-35.60
10.62	-66.33	-35.29
10.66	-66.42	-34.97
10.70	-66.52	-34.65
10.74	-66.61	-34.32
10.78	-66.71	-34.00
10.82	-66.80	-33.67
10.86	-66.90	-33.34
10.90	-67.00	-33.01
10.95	-67.09	-32.68
10.99	-67.19	-32.35
11.03	-67.28	-32.02
11.07	-67.38	-31.68
11.11	-67.48	-31.35
11.15	-67.57	-31.02
11.20	-67.67	-30.69
11.24	-67.77	-30.36
11.28	-67.87	-30.03
11.32	-67.97	-29.71
11.37	-68.07	-29.38
11.41	-68.17	-29.06
11.45	-68.27	-28.74
11.50	-68.37	-28.43
11.54	-68.47	-28.11
11.58	-68.57	-27.80
11.63	-68.67	-27.50
11.67	-68.77	-27.20
11.71	-68.88	-26.90
11.76	-68.98	-26.61
11.80	-69.08	-26.33
11.85	-69.19	-26.05
11.89	-69.30	-25.77
11.94	-69.40	-25.50
11.98	-69.51	-25.23
12.03	-69.61	-24.96
12.07	-69.72	-24.70
12.12	-69.83	-24.44
12.16	-69.94	-24.18
12.21	-70.04	-23.93
12.26	-70.15	-23.67
12.30	-70.26	-23.42
12.35	-70.36	-23.16
12.39	-70.47	-22.91
12.44	-70.57	-22.66
12.49	-70.68	-22.40
12.54	-70.78	-22.15
12.58	-70.89	-21.89
12.63	-70.99	-21.63
12.68	-71.09	-21.36
12.73	-71.19	-21.10
12.77	-71.29	-20.83
12.82	-71.39	-20.55
12.87	-71.49	-20.28
12.92	-71.58	-19.99
12.97	-71.68	-19.70
13.02	-71.77	-19.40
13.07	-71.86	-19.10
13.12	-71.95	-18.79
13.16	-72.03	-18.47
13.21	-72.12	-18.14
13.26	-72.20	-17.80
13.31	-72.28	-17.45
13.36	-72.36	-17.09
13.41	-72.43	-16.72
13.47	-72.50	-16.33
13.52	-72.57	-15.93
13.57	-72.64	-15.52
13.62	-72.70	-15.10
13.67	-72.76	-14.66
13.72	-72.82	-14.20
13.77	-72.87	-13.73
13.83	-72.92	-13.23
13.88	-72.96	-12.72
13.93	-73.00	-12.20
13.98	-73.04	-11.65
14.04	-73.07	-11.08
14.09	-73.09	-10.48
14.14	-73.12	-9.87
14.19	-73.13	-9.23
14.25	-73.14	-8.57
14.30	-73.15	-7.88
14.36	-73.15	-7.16
14.41	-73.15	-6.42
14.46	-73.14	-5.65
14.52	-73.12	-4.85
14.57	-73.10	-4.02
14.63	-73.07	-3.15
14.68	-73.03	-2.26
14.74	-72.99	-1.33
14.80	-72.94	-0.37
14.85	-72.88	0.63
14.91	-72.82	1.66
14.96	-72.75	2.72
15.02	-72.68	3.82
15.08	-72.60	4.96
15.13	-72.52	6.12
15.19	-72.43	7.33
15.25	-72.33	8.56
15.31	-72.24	9.84
15.36	-72.14	11.15
15.42	-72.03	12.49
15.48	-71.92	13.87
15.54	-71.81	15.29
15.60	-71.69	16.74
15.66	-71.57	18.23
15.71	-71.45	19.76
15.77	-71.33	21.32
15.83	-71.21	22.92
15.89	-71.08	24.56
15.95	-70.96	26.24
16.01	-70.83	27.95
16.07	-70.70	29.70
16.13	-70.57	31.50
16.19	-70.45	33.32
16.26	-70.32	35.19
16.32	-70.19	37.10
16.38	-70.07	39.04
16.44	-69.95	41.03
16.50	-69.83	43.05
16.56	-69.71	45.12
16.63	-69.60	47.22
16.69	-69.48	49.37
16.75	-69.38	51.55
16.82	-69.28	53.78
16.88	-69.18	56.04
16.94	-69.09	58.35
17.01	-69.00	60.70
17.07	-68.92	63.09
17.14	-68.85	65.52
17.20	-68.79	67.99
17.27	-68.73	70.51
17.33	-68.68	73.06
17.40	-68.64	75.66
17.46	-68.61	78.30
17.53	-68.59	80.99
17.59	-68.58	83.71
17.66	-68.59	86.48
17.73	-68.60	89.28
17.79	-68.62	92.12
17.86	-68.66	94.97
17.93	-68.70	97.85
18.00	-68.76	100.73
18.06	-68.82	103.62
18.13	-68.89	106.51
18.20	-68.97	109.40
18.27	-69.06	112.26
18.34	-69.16	115.11
18.41	-69.26	117.92
18.48	-69.37	120.70
18.55	-69.49	123.43
18.62	-69.61	126.12
18.69	-69.74	128.74
18.76	-69.88	131.29
18.83	-70.02	133.77
18.90	-70.16	136.17
18.97	-70.31	138.47
19.04	-70.47	140.67
19.11	-70.62	142.76
19.19	-70.78	144.73
19.26	-70.94	146.57
19.33	-71.10	148.27
19.40	-71.27	149.83
19.48	-71.43	151.23
19.55	-71.60	152.46
19.62	-71.76	153.51
19.70	-71.92	154.37
19.77	-72.08	155.04
19.85	-72.24	155.49
19.92	-72.39	155.73
20.00	-72.55	155.73
20.07	-72.69	155.49
20.15	-72.83	154.99
20.22	-72.97	154.22
20.30	-73.10	153.18
20.38	-73.22	151.84
20.45	-73.34	150.20
20.53	-73.45	148.24
20.61	-73.54	145.95
20.69	-73.63	143.36
20.77	-73.72	140.48
20.84	-73.79	137.31
20.92	-73.86	133.88
21.00	-73.92	130.19
21.08	-73.97	126.28
21.16	-74.02	122.14
21.24	-74.06	117.80
21.32	-74.10	113.27
21.40	-74.13	108.57
21.48	-74.17	103.73
21.56	-74.19	98.74
21.64	-74.22	93.65
21.73	-74.24	88.45
21.81	-74.26	83.18
21.89	-74.28	77.86
21.97	-74.30	72.49
22.06	-74.32	67.11
22.14	-74.35	61.73
22.22	-74.37	56.38
22.31	-74.39	51.08
22.39	-74.42	45.85
22.47	-74.46	40.71
22.56	-74.49	35.69
22.64	-74.54	30.82
22.73	-74.59	26.10
22.82	-74.64	21.58
22.90	-74.70	17.28
22.99	-74.78	13.22
23.07	-74.86	9.43
23.16	-74.95	5.94
23.25	-75.05	2.78
23.34	-75.16	-0.03
23.43	-75.29	-2.46
23.51	-75.43	-4.48
23.60	-75.58	-6.09
23.69	-75.74	-7.30
23.78	-75.92	-8.13
23.87	-76.10	-8.58
23.96	-76.30	-8.68
24.05	-76.50	-8.43
24.14	-76.71	-7.84
24.23	-76.93	-6.93
24.32	-77.16	-5.71
24.42	-77.39	-4.20
24.51	-77.62	-2.41
24.60	-77.86	-0.36
24.69	-78.10	1.95
24.79	-78.33	4.49
24.88	-78.57	7.24
24.97	-78.81	10.20
25.07	-79.05	13.34
25.16	-79.28	16.64
25.26	-79.50	20.10
25.35	-79.72	23.69
25.45	-79.94	27.39
25.54	-80.14	31.19
25.64	-80.34	35.06
25.74	-80.52	38.98
25.84	-80.69	42.94
25.93	-80.85	46.91
26.03	-80.99	50.88
26.13	-81.11	54.81
26.23	-81.22	58.69
26.33	-81.30	62.50
26.43	-81.37	66.22
26.53	-81.41	69.82
26.63	-81.43	73.32
26.73	-81.43	76.70
26.83	-81.42	79.97
26.93	-81.38	83.13
27.03	-81.33	86.17
27.13	-81.26	89.09
27.23	-81.17	91.89
27.34	-81.07	94.57
27.44	-80.95	97.12
27.54	-80.82	99.55
27.65	-80.67	101.85
27.75	-80.52	104.03
27.86	-80.35	106.07
27.96	-80.18	107.98
28.07	-79.99	109.75
28.17	-79.80	111.39
28.28	-79.60	112.88
28.39	-79.40	114.24
28.49	-79.19	115.45
28.60	-78.98	116.52
28.71	-78.76	117.44
28.82	-78.55	118.21
28.93	-78.34	118.83
29.03	-78.12	119.30
29.14	-77.91	119.61
29.25	-77.71	119.76
29.36	-77.51	119.75
29.48	-77.32	119.59
29.59	-77.13	119.27
29.70	-76.96	118.82
29.81	-76.80	118.24
29.92	-76.65	117.54
30.04	-76.51	116.73
30.15	-76.39	115.82
30.26	-76.29	114.81
30.38	-76.21	113.73
30.49	-76.15	112.57
30.61	-76.12	111.35
30.72	-76.11	110.08
30.84	-76.12	108.77
30.95	-76.17	107.44
31.07	-76.25	106.09
31.19	-76.35	104.73
