Freq[Hz]	[dBV]	Phase[Deg]
10.00	-59.47	73.47
10.04	-59.52	72.51
10.08	-59.56	71.54
10.11	-59.61	70.56
10.15	-59.65	69.58
10.19	-59.70	68.59
10.23	-59.75	67.60
10.27	-59.79	66.60
10.31	-59.84	65.61
10.34	-59.88	64.62
10.38	-59.93	63.63
10.42	-59.98	62.64
10.46	-60.02	61.66
10.50	-60.07	60.69
10.54	-60.12	59.72
10.58	-60.16	58.77
10.62	-60.21	57.83
10.66	-60.26	56.90
10.70	-60.31	55.99
10.74	-60.36	55.10
10.78	-60.41	54.23
10.82	-60.46	53.38
10.86	-60.51	52.55
10.90	-60.57	51.75
10.95	-60.62	50.98
10.99	-60.67	50.24
11.03	-60.73	49.53
11.07	-60.79	48.86
11.11	-60.84	48.22
11.15	-60.90	47.62
11.20	-60.96	47.06
11.24	-61.02	46.55
11.28	-61.08	46.08
11.32	-61.14	45.67
11.37	-61.21	45.30
11.41	-61.27	44.99
11.45	-61.34	44.73
11.50	-61.41	44.53
11.54	-61.48	44.40
11.58	-61.55	44.33
11.63	-61.63	44.32
11.67	-61.70	44.39
11.71	-61.78	44.53
11.76	-61.86	44.75
11.80	-61.94	45.04
11.85	-62.02	45.40
11.89	-62.10	45.84
11.94	-62.19	46.34
11.98	-62.28	46.91
12.03	-62.37	47.55
12.07	-62.46	48.25
12.12	-62.55	49.01
12.16	-62.65	49.82
12.21	-62.74	50.69
12.26	-62.84	51.62
12.30	-62.94	52.59
12.35	-63.04	53.62
12.39	-63.14	54.68
12.44	-63.25	55.79
12.49	-63.35	56.94
12.54	-63.46	58.13
12.58	-63.57	59.35
12.63	-63.68	60.60
12.68	-63.79	61.88
12.73	-63.90	63.18
12.77	-64.02	64.50
12.82	-64.13	65.84
12.87	-64.25	67.19
12.92	-64.36	68.56
12.97	-64.48	69.93
13.02	-64.60	71.31
13.07	-64.72	72.68
13.12	-64.84	74.05
13.16	-64.96	75.41
13.21	-65.08	76.76
13.26	-65.20	78.10
13.31	-65.33	79.41
13.36	-65.45	80.70
13.41	-65.58	81.96
13.47	-65.70	83.19
13.52	-65.83	84.38
13.57	-65.95	85.52
13.62	-66.08	86.62
13.67	-66.20	87.67
13.72	-66.33	88.66
13.77	-66.46	89.58
13.83	-66.58	90.44
13.88	-66.71	91.23
13.93	-66.84	91.93
13.98	-66.96	92.56
14.04	-67.09	93.09
14.09	-67.21	93.53
14.14	-67.34	93.87
14.19	-67.46	94.10
14.25	-67.59	94.22
14.30	-67.71	94.21
14.36	-67.83	94.09
14.41	-67.95	93.83
14.46	-68.07	93.43
14.52	-68.19	92.89
14.57	-68.31	92.19
14.63	-68.43	91.34
14.68	-68.54	90.32
14.74	-68.66	89.13
14.80	-68.77	87.78
14.85	-68.88	86.28
14.91	-68.99	84.63
14.96	-69.10	82.83
15.02	-69.21	80.88
15.08	-69.31	78.80
15.13	-69.42	76.60
