TIME[s]	[Pa]
0.000000E+00	9.299159E-03
2.083333E-05	-6.885740E-03
4.166667E-05	1.400328E-02
6.250000E-05	-3.231526E-03
8.333333E-05	7.594767E-03
1.041667E-04	5.604038E-03
1.250000E-04	-2.372513E-03
1.458333E-04	1.101718E-02
1.666667E-04	-6.449416E-03
1.875000E-04	9.585496E-03
2.083334E-04	-9.817294E-04
2.291667E-04	3.531499E-03
2.500000E-04	1.179439E-02
2.708333E-04	-5.604038E-03
2.916667E-04	9.912740E-03
3.125000E-04	-4.485958E-03
3.333334E-04	5.154079E-03
3.541667E-04	2.481594E-03
3.750000E-04	-4.417782E-03
3.958334E-04	1.182166E-02
4.166667E-04	-6.203984E-03
4.375000E-04	1.049905E-02
4.583334E-04	-1.499864E-03
4.791667E-04	3.476958E-03
5.000000E-04	6.844835E-03
5.208334E-04	-9.299159E-03
5.416667E-04	9.585496E-03
5.625000E-04	-5.931281E-03
5.833334E-04	3.054269E-03
6.041667E-04	1.227162E-03
6.250000E-04	-5.426782E-03
6.458334E-04	1.112627E-02
6.666667E-04	-6.885740E-03
6.875001E-04	5.072268E-03
7.083334E-04	-2.999729E-03
7.291667E-04	-1.336243E-03
7.500001E-04	7.049362E-03
7.708334E-04	-7.472051E-03
7.916667E-04	9.135537E-03
8.125001E-04	-6.313065E-03
8.333334E-04	4.267795E-03
8.541667E-04	3.817836E-03
8.750001E-04	-6.135808E-03
8.958334E-04	1.059450E-02
9.166668E-04	-9.612767E-03
9.375001E-04	6.108538E-03
9.583334E-04	-3.204256E-03
9.791667E-04	-1.486229E-03
1.000000E-03	7.403876E-03
1.020833E-03	-8.344700E-03
1.041667E-03	1.146714E-02
1.062500E-03	-6.708484E-03
1.083333E-03	2.154351E-03
1.104167E-03	4.008728E-03
1.125000E-03	-5.235890E-03
1.145833E-03	1.127625E-02
1.166667E-03	-1.141260E-02
1.187500E-03	5.740390E-03
1.208333E-03	-3.558769E-03
1.229167E-03	-3.299701E-03
1.250000E-03	5.835836E-03
1.270833E-03	-1.107173E-02
1.291667E-03	7.812929E-03
1.312500E-03	-6.926646E-03
1.333333E-03	3.599674E-03
1.354167E-03	3.122445E-03
1.375000E-03	-6.872105E-03
1.395833E-03	9.885469E-03
1.416667E-03	-7.881105E-03
1.437500E-03	5.931281E-03
1.458333E-03	-3.995093E-03
1.479167E-03	-3.776931E-03
1.500000E-03	5.972187E-03
1.520833E-03	-8.358334E-03
1.541667E-03	9.667307E-03
1.562500E-03	-7.731119E-03
1.583333E-03	1.186256E-03
1.604167E-03	2.917918E-03
1.625000E-03	-9.353699E-03
1.645833E-03	8.644672E-03
1.666667E-03	-7.758389E-03
1.687500E-03	7.990186E-03
1.708333E-03	-2.617945E-03
1.729167E-03	-3.667850E-03
1.750000E-03	6.872105E-03
1.770834E-03	-1.047178E-02
1.791667E-03	6.135808E-03
1.812500E-03	-7.703848E-03
1.833334E-03	8.317429E-04
1.854167E-03	3.476958E-03
1.875000E-03	-7.226619E-03
1.895834E-03	6.313065E-03
1.916667E-03	-1.364877E-02
1.937500E-03	3.286066E-03
1.958333E-03	-3.967823E-03
1.979167E-03	-4.267795E-03
2.000000E-03	4.240525E-03
2.020833E-03	-1.053996E-02
2.041666E-03	6.149444E-03
2.062500E-03	-8.126537E-03
2.083333E-03	1.881648E-03
2.104166E-03	-4.499593E-04
2.124999E-03	-8.644672E-03
2.145832E-03	7.826565E-03
2.166666E-03	-1.165804E-02
2.187499E-03	3.013364E-03
2.208332E-03	-3.272431E-03
2.229165E-03	-5.699484E-03
2.249999E-03	2.890648E-03
2.270832E-03	-1.148078E-02
2.291665E-03	4.158715E-03
2.312498E-03	-1.127625E-02
2.333331E-03	-4.635944E-03
2.354165E-03	-3.408782E-03
2.374998E-03	-1.242160E-02
2.395831E-03	3.054269E-03
2.416664E-03	-1.625307E-02
2.437497E-03	-5.290431E-03
2.458331E-03	-1.070358E-02
2.479164E-03	-1.213527E-02
2.499997E-03	-3.299701E-03
2.520830E-03	-1.724844E-02
2.541664E-03	-2.767931E-03
2.562497E-03	-1.769840E-02
2.583330E-03	-1.291247E-02
2.604163E-03	-1.283066E-02
