Freq[Hz]	[dBV]	Phase[Deg]
10.00	-67.80	9.66
10.04	-67.71	8.87
10.08	-67.63	8.04
10.11	-67.54	7.17
10.15	-67.45	6.27
10.19	-67.35	5.33
10.23	-67.26	4.35
10.27	-67.16	3.33
10.31	-67.06	2.28
10.34	-66.95	1.19
10.38	-66.85	0.07
10.42	-66.74	-1.08
10.46	-66.63	-2.28
10.50	-66.52	-3.50
10.54	-66.40	-4.76
10.58	-66.29	-6.06
10.62	-66.17	-7.39
10.66	-66.05	-8.75
10.70	-65.93	-10.14
10.74	-65.81	-11.56
10.78	-65.69	-13.02
10.82	-65.56	-14.51
10.86	-65.44	-16.03
10.90	-65.31	-17.57
10.95	-65.18	-19.15
10.99	-65.05	-20.76
11.03	-64.92	-22.40
11.07	-64.79	-24.06
11.11	-64.66	-25.75
11.15	-64.53	-27.47
11.20	-64.40	-29.21
11.24	-64.27	-30.98
11.28	-64.14	-32.78
11.32	-64.00	-34.59
11.37	-63.87	-36.44
11.41	-63.74	-38.30
11.45	-63.61	-40.19
11.50	-63.48	-42.10
11.54	-63.35	-44.03
11.58	-63.23	-45.97
11.63	-63.10	-47.94
11.67	-62.97	-49.93
11.71	-62.85	-51.93
11.76	-62.73	-53.95
11.80	-62.61	-55.99
11.85	-62.49	-58.04
11.89	-62.37	-60.10
11.94	-62.26	-62.17
11.98	-62.15	-64.25
12.03	-62.04	-66.35
12.07	-61.93	-68.45
12.12	-61.83	-70.55
12.16	-61.73	-72.66
12.21	-61.63	-74.78
12.26	-61.53	-76.89
12.30	-61.44	-79.01
12.35	-61.36	-81.12
12.39	-61.27	-83.23
12.44	-61.19	-85.34
12.49	-61.12	-87.44
12.54	-61.05	-89.53
12.58	-60.98	-91.61
12.63	-60.92	-93.68
12.68	-60.86	-95.74
12.73	-60.81	-97.78
12.77	-60.76	-99.80
12.82	-60.72	-101.80
12.87	-60.68	-103.78
12.92	-60.65	-105.74
12.97	-60.63	-107.67
13.02	-60.61	-109.58
13.07	-60.60	-111.46
13.12	-60.60	-113.30
13.16	-60.60	-115.11
13.21	-60.61	-116.88
13.26	-60.63	-118.61
13.31	-60.66	-120.30
13.36	-60.69	-121.95
13.41	-60.74	-123.55
13.47	-60.79	-125.11
13.52	-60.85	-126.61
13.57	-60.92	-128.05
13.62	-61.00	-129.44
13.67	-61.08	-130.77
13.72	-61.18	-132.04
13.77	-61.29	-133.24
13.83	-61.41	-134.38
13.88	-61.54	-135.44
13.93	-61.68	-136.43
13.98	-61.83	-137.34
14.04	-62.00	-138.17
14.09	-62.17	-138.92
14.14	-62.36	-139.58
14.19	-62.56	-140.15
14.25	-62.78	-140.63
14.30	-63.01	-141.00
14.36	-63.25	-141.28
14.41	-63.50	-141.46
14.46	-63.78	-141.52
14.52	-64.06	-141.48
14.57	-64.36	-141.32
14.63	-64.68	-141.04
14.68	-65.01	-140.64
14.74	-65.36	-140.11
14.80	-65.72	-139.47
14.85	-66.10	-138.70
14.91	-66.49	-137.81
14.96	-66.90	-136.81
15.02	-67.32	-135.70
15.08	-67.75	-134.47
15.13	-68.19	-133.13
15.19	-68.64	-131.68
15.25	-69.11	-130.13
15.31	-69.58	-128.47
15.36	-70.06	-126.72
15.42	-70.55	-124.86
15.48	-71.05	-122.90
15.54	-71.55	-120.86
15.60	-72.06	-118.72
15.66	-72.58	-116.49
15.71	-73.09	-114.17
15.77	-73.61	-111.77
15.83	-74.14	-109.30
15.89	-74.66	-106.74
15.95	-75.19	-104.11
16.01	-75.71	-101.41
16.07	-76.24	-98.64
16.13	-76.76	-95.80
16.19	-77.28	-92.91
16.26	-77.79	-89.95
16.32	-78.30	-86.95
16.38	-78.80	-83.89
16.44	-79.29	-80.78
16.50	-79.78	-77.63
16.56	-80.25	-74.44
16.63	-80.72	-71.22
16.69	-81.17	-67.96
16.75	-81.61	-64.68
16.82	-82.03	-61.37
16.88	-82.44	-58.05
16.94	-82.83	-54.71
17.01	-83.21	-51.37
17.07	-83.56	-48.02
17.14	-83.89	-44.67
17.20	-84.20	-41.32
17.27	-84.48	-37.99
17.33	-84.74	-34.67
17.40	-84.98	-31.37
17.46	-85.18	-28.09
17.53	-85.35	-24.85
17.59	-85.49	-21.65
17.66	-85.60	-18.49
17.73	-85.68	-15.37
17.79	-85.73	-12.30
17.86	-85.74	-9.27
17.93	-85.73	-6.30
18.00	-85.69	-3.38
18.06	-85.62	-0.51
18.13	-85.52	2.31
18.20	-85.40	5.06
18.27	-85.25	7.75
18.34	-85.08	10.38
18.41	-84.88	12.95
18.48	-84.66	15.45
18.55	-84.42	17.88
18.62	-84.16	20.23
18.69	-83.89	22.51
18.76	-83.59	24.72
18.83	-83.28	26.84
18.90	-82.95	28.88
18.97	-82.61	30.84
19.04	-82.25	32.71
19.11	-81.88	34.49
19.19	-81.50	36.18
19.26	-81.12	37.77
19.33	-80.72	39.26
19.40	-80.32	40.65
19.48	-79.91	41.94
19.55	-79.50	43.11
19.62	-79.09	44.18
19.70	-78.67	45.13
19.77	-78.26	45.97
19.85	-77.85	46.69
19.92	-77.45	47.28
20.00	-77.05	47.74
20.07	-76.65	48.08
20.15	-76.27	48.28
20.22	-75.90	48.34
20.30	-75.54	48.27
20.38	-75.20	48.04
20.45	-74.87	47.68
20.53	-74.56	47.15
20.61	-74.27	46.48
20.69	-74.00	45.65
20.77	-73.75	44.67
20.84	-73.53	43.53
20.92	-73.32	42.25
21.00	-73.13	40.82
21.08	-72.97	39.24
21.16	-72.83	37.52
21.24	-72.71	35.65
21.32	-72.61	33.63
21.40	-72.53	31.47
21.48	-72.48	29.18
21.56	-72.45	26.74
21.64	-72.44	24.17
21.73	-72.46	21.46
21.81	-72.50	18.61
21.89	-72.56	15.64
21.97	-72.65	12.53
22.06	-72.76	9.30
22.14	-72.90	5.93
22.22	-73.06	2.45
22.31	-73.25	-1.16
22.39	-73.46	-4.89
22.47	-73.70	-8.74
22.56	-73.96	-12.70
22.64	-74.26	-16.78
22.73	-74.57	-20.97
22.82	-74.92	-25.26
22.90	-75.29	-29.67
22.99	-75.69	-34.17
23.07	-76.12	-38.78
23.16	-76.57	-43.48
23.25	-77.06	-48.28
23.34	-77.57	-53.17
23.43	-78.11	-58.15
23.51	-78.68	-63.22
23.60	-79.28	-68.36
23.69	-79.91	-73.57
23.78	-80.55	-78.85
23.87	-81.22	-84.18
23.96	-81.90	-89.56
24.05	-82.60	-94.97
24.14	-83.32	-100.41
24.23	-84.04	-105.87
24.32	-84.77	-111.33
24.42	-85.51	-116.80
24.51	-86.24	-122.25
24.60	-86.98	-127.69
24.69	-87.71	-133.09
24.79	-88.43	-138.45
24.88	-89.14	-143.76
24.97	-89.84	-149.01
25.07	-90.53	-154.18
25.16	-91.19	-159.26
25.26	-91.83	-164.25
25.35	-92.44	-169.12
25.45	-93.02	-173.88
25.54	-93.57	-178.50
25.64	-94.08	177.03
25.74	-94.55	172.72
25.84	-94.97	168.58
25.93	-95.34	164.63
26.03	-95.66	160.88
26.13	-95.93	157.35
26.23	-96.13	154.05
26.33	-96.26	150.99
26.43	-96.32	148.19
26.53	-96.32	145.64
26.63	-96.24	143.35
26.73	-96.11	141.29
26.83	-95.91	139.44
26.93	-95.66	137.81
27.03	-95.35	136.37
27.13	-95.00	135.10
27.23	-94.61	134.00
27.34	-94.17	133.05
27.44	-93.70	132.23
27.54	-93.20	131.54
27.65	-92.66	130.94
27.75	-92.11	130.43
27.86	-91.54	129.99
27.96	-90.96	129.59
28.07	-90.37	129.24
28.17	-89.77	128.90
28.28	-89.18	128.56
28.39	-88.59	128.19
28.49	-88.02	127.79
28.60	-87.46	127.32
28.71	-86.93	126.78
28.82	-86.43	126.13
28.93	-85.96	125.37
29.03	-85.53	124.46
29.14	-85.15	123.38
29.25	-84.83	122.12
29.36	-84.56	120.64
29.48	-84.35	118.96
29.59	-84.20	117.07
29.70	-84.11	115.00
29.81	-84.06	112.75
29.92	-84.06	110.34
30.04	-84.11	107.77
30.15	-84.20	105.08
30.26	-84.33	102.26
30.38	-84.49	99.33
30.49	-84.68	96.31
30.61	-84.90	93.21
30.72	-85.14	90.04
30.84	-85.40	86.83
30.95	-85.68	83.59
31.07	-85.97	80.33
31.19	-86.26	77.07
31.31	-86.56	73.83
31.42	-86.86	70.63
31.54	-87.15	67.48
31.66	-87.43	64.40
31.78	-87.70	61.41
31.90	-87.95	58.54
32.02	-88.17	55.79
32.14	-88.37	53.19
32.26	-88.53	50.76
32.39	-88.65	48.51
32.51	-88.73	46.42
32.63	-88.79	44.49
32.75	-88.80	42.70
32.88	-88.79	41.03
33.00	-88.75	39.48
33.13	-88.67	38.02
33.25	-88.57	36.65
33.38	-88.45	35.34
33.50	-88.30	34.08
33.63	-88.12	32.87
33.76	-87.93	31.67
33.88	-87.72	30.47
34.01	-87.49	29.26
34.14	-87.25	28.01
34.27	-86.99	26.72
34.40	-86.73	25.36
34.53	-86.45	23.91
34.66	-86.17	22.35
34.79	-85.88	20.67
34.92	-85.59	18.85
35.05	-85.30	16.86
35.18	-85.01	14.68
35.32	-84.73	12.31
35.45	-84.45	9.77
35.58	-84.17	7.11
35.72	-83.91	4.35
35.85	-83.65	1.54
35.99	-83.41	-1.30
36.12	-83.18	-4.12
36.26	-82.96	-6.89
36.40	-82.76	-9.56
36.53	-82.58	-12.11
36.67	-82.42	-14.47
36.81	-82.28	-16.63
36.95	-82.16	-18.52
37.09	-82.07	-20.11
37.23	-82.00	-21.36
37.37	-81.96	-22.21
37.51	-81.95	-22.62
37.65	-81.98	-22.55
37.79	-82.03	-21.94
37.94	-82.13	-20.75
38.08	-82.26	-18.92
