Freq[Hz]	[dBV]	Phase[Deg]
10.00	-56.17	135.75
10.04	-56.29	136.78
10.08	-56.41	137.86
10.11	-56.53	138.97
10.15	-56.65	140.11
10.19	-56.77	141.29
10.23	-56.89	142.51
10.27	-57.02	143.75
10.31	-57.14	145.03
10.34	-57.26	146.34
10.38	-57.38	147.68
10.42	-57.50	149.05
10.46	-57.62	150.45
10.50	-57.74	151.87
10.54	-57.85	153.31
10.58	-57.97	154.78
10.62	-58.08	156.28
10.66	-58.20	157.79
10.70	-58.31	159.32
10.74	-58.42	160.87
10.78	-58.53	162.44
10.82	-58.64	164.02
10.86	-58.74	165.62
10.90	-58.85	167.23
10.95	-58.95	168.85
10.99	-59.05	170.48
11.03	-59.14	172.11
11.07	-59.24	173.75
11.11	-59.33	175.40
11.15	-59.41	177.05
11.20	-59.50	178.69
11.24	-59.58	-179.66
11.28	-59.65	-178.02
11.32	-59.73	-176.38
11.37	-59.80	-174.75
11.41	-59.86	-173.13
11.45	-59.92	-171.52
11.50	-59.98	-169.93
11.54	-60.03	-168.35
11.58	-60.08	-166.79
11.63	-60.12	-165.25
11.67	-60.15	-163.73
11.71	-60.18	-162.24
11.76	-60.21	-160.77
11.80	-60.23	-159.33
11.85	-60.24	-157.92
11.89	-60.25	-156.54
11.94	-60.25	-155.18
11.98	-60.25	-153.85
12.03	-60.24	-152.55
12.07	-60.23	-151.28
12.12	-60.21	-150.03
12.16	-60.19	-148.81
12.21	-60.16	-147.62
12.26	-60.13	-146.45
12.30	-60.10	-145.32
12.35	-60.06	-144.21
12.39	-60.01	-143.12
12.44	-59.97	-142.07
12.49	-59.92	-141.04
12.54	-59.86	-140.03
12.58	-59.80	-139.06
12.63	-59.74	-138.11
12.68	-59.68	-137.18
12.73	-59.61	-136.28
12.77	-59.54	-135.41
12.82	-59.47	-134.57
12.87	-59.39	-133.75
12.92	-59.32	-132.95
12.97	-59.24	-132.18
13.02	-59.16	-131.44
13.07	-59.08	-130.72
13.12	-58.99	-130.02
13.16	-58.91	-129.35
13.21	-58.83	-128.71
13.26	-58.74	-128.09
13.31	-58.66	-127.49
13.36	-58.57	-126.91
13.41	-58.49	-126.36
13.47	-58.40	-125.84
13.52	-58.32	-125.33
13.57	-58.23	-124.85
13.62	-58.15	-124.39
13.67	-58.07	-123.95
13.72	-57.99	-123.54
13.77	-57.92	-123.14
13.83	-57.84	-122.77
13.88	-57.77	-122.42
13.93	-57.71	-122.08
13.98	-57.64	-121.77
14.04	-57.58	-121.48
14.09	-57.52	-121.20
14.14	-57.47	-120.95
14.19	-57.42	-120.71
14.25	-57.38	-120.49
