Freq[Hz]	[dBV]	Phase[Deg]
10.00	-65.71	171.23
10.04	-65.80	172.29
10.08	-65.89	173.36
10.11	-65.97	174.43
10.15	-66.06	175.50
10.19	-66.14	176.58
10.23	-66.22	177.66
10.27	-66.31	178.74
10.31	-66.39	179.82
10.34	-66.47	-179.10
10.38	-66.55	-178.01
10.42	-66.62	-176.93
10.46	-66.70	-175.84
10.50	-66.78	-174.76
10.54	-66.85	-173.68
10.58	-66.93	-172.60
10.62	-67.00	-171.53
10.66	-67.08	-170.46
10.70	-67.15	-169.39
10.74	-67.22	-168.33
10.78	-67.29	-167.28
10.82	-67.37	-166.23
10.86	-67.44	-165.19
10.90	-67.51	-164.16
10.95	-67.58	-163.13
10.99	-67.65	-162.12
11.03	-67.72	-161.11
11.07	-67.79	-160.12
11.11	-67.86	-159.14
11.15	-67.93	-158.17
11.20	-68.00	-157.22
11.24	-68.07	-156.28
11.28	-68.14	-155.36
11.32	-68.21	-154.45
11.37	-68.28	-153.56
11.41	-68.34	-152.69
11.45	-68.42	-151.84
11.50	-68.49	-151.01
11.54	-68.56	-150.19
11.58	-68.63	-149.41
11.63	-68.70	-148.64
11.67	-68.77	-147.90
11.71	-68.84	-147.19
11.76	-68.92	-146.50
11.80	-68.99	-145.84
11.85	-69.07	-145.20
11.89	-69.14	-144.59
11.94	-69.22	-144.00
11.98	-69.30	-143.44
12.03	-69.37	-142.90
12.07	-69.45	-142.38
12.12	-69.53	-141.89
12.16	-69.61	-141.42
12.21	-69.69	-140.97
12.26	-69.77	-140.54
12.30	-69.85	-140.13
12.35	-69.93	-139.74
12.39	-70.01	-139.36
12.44	-70.09	-139.01
12.49	-70.17	-138.67
12.54	-70.26	-138.34
12.58	-70.34	-138.04
12.63	-70.42	-137.74
12.68	-70.50	-137.46
12.73	-70.59	-137.20
12.77	-70.67	-136.94
12.82	-70.76	-136.70
12.87	-70.84	-136.46
12.92	-70.92	-136.24
12.97	-71.01	-136.02
13.02	-71.09	-135.81
13.07	-71.18	-135.61
13.12	-71.26	-135.41
13.16	-71.35	-135.21
13.21	-71.43	-135.02
13.26	-71.51	-134.83
13.31	-71.60	-134.64
13.36	-71.68	-134.45
13.41	-71.76	-134.26
13.47	-71.85	-134.06
13.52	-71.93	-133.86
13.57	-72.01	-133.66
13.62	-72.09	-133.45
13.67	-72.18	-133.22
13.72	-72.26	-132.99
13.77	-72.34	-132.75
13.83	-72.42	-132.50
13.88	-72.50	-132.23
13.93	-72.58	-131.95
13.98	-72.65	-131.65
14.04	-72.73	-131.33
14.09	-72.81	-130.99
14.14	-72.88	-130.63
14.19	-72.96	-130.25
14.25	-73.03	-129.84
14.30	-73.10	-129.40
14.36	-73.18	-128.94
14.41	-73.25	-128.44
14.46	-73.31	-127.92
14.52	-73.38	-127.35
14.57	-73.45	-126.76
14.63	-73.51	-126.12
14.68	-73.58	-125.45
14.74	-73.64	-124.73
14.80	-73.70	-123.98
14.85	-73.76	-123.18
14.91	-73.82	-122.35
14.96	-73.88	-121.48
15.02	-73.93	-120.57
15.08	-73.99	-119.62
15.13	-74.04	-118.63
15.19	-74.09	-117.61
15.25	-74.14	-116.56
15.31	-74.19	-115.47
15.36	-74.24	-114.34
15.42	-74.29	-113.18
15.48	-74.33	-111.99
15.54	-74.38	-110.77
15.60	-74.42	-109.51
15.66	-74.47	-108.23
15.71	-74.51	-106.91
15.77	-74.55	-105.57
15.83	-74.59	-104.19
15.89	-74.63	-102.79
15.95	-74.67	-101.36
16.01	-74.71	-99.91
16.07	-74.74	-98.43
16.13	-74.78	-96.93
16.19	-74.82	-95.41
16.26	-74.85	-93.86
