Freq[Hz]	[dBV]	Phase[Deg]
10.00	-63.71	-70.12
10.04	-63.41	-68.07
10.08	-63.10	-66.00
10.11	-62.78	-63.92
10.15	-62.46	-61.82
10.19	-62.14	-59.71
10.23	-61.81	-57.60
10.27	-61.47	-55.47
10.31	-61.14	-53.34
10.34	-60.79	-51.20
10.38	-60.45	-49.06
10.42	-60.10	-46.91
10.46	-59.75	-44.77
10.50	-59.39	-42.62
10.54	-59.03	-40.48
10.58	-58.67	-38.34
10.62	-58.31	-36.21
10.66	-57.95	-34.09
10.70	-57.58	-31.98
10.74	-57.21	-29.88
10.78	-56.85	-27.79
10.82	-56.48	-25.72
10.86	-56.11	-23.66
10.90	-55.75	-21.63
10.95	-55.38	-19.62
10.99	-55.02	-17.63
11.03	-54.65	-15.67
11.07	-54.29	-13.74
11.11	-53.93	-11.84
11.15	-53.58	-9.97
11.20	-53.23	-8.14
11.24	-52.88	-6.35
11.28	-52.53	-4.60
11.32	-52.19	-2.89
11.37	-51.86	-1.23
11.41	-51.53	0.38
11.45	-51.21	1.95
11.50	-50.89	3.45
11.54	-50.58	4.90
11.58	-50.28	6.29
11.63	-49.98	7.62
11.67	-49.70	8.88
11.71	-49.42	10.08
11.76	-49.15	11.20
11.80	-48.90	12.25
11.85	-48.65	13.23
11.89	-48.41	14.13
11.94	-48.18	14.97
11.98	-47.96	15.74
12.03	-47.75	16.44
12.07	-47.55	17.08
12.12	-47.36	17.65
12.16	-47.18	18.15
12.21	-47.00	18.59
12.26	-46.83	18.96
12.30	-46.68	19.28
12.35	-46.53	19.53
12.39	-46.39	19.72
12.44	-46.25	19.85
12.49	-46.13	19.92
12.54	-46.01	19.94
12.58	-45.90	19.90
12.63	-45.79	19.81
12.68	-45.70	19.66
12.73	-45.61	19.46
12.77	-45.53	19.21
12.82	-45.45	18.92
12.87	-45.38	18.57
12.92	-45.32	18.18
12.97	-45.26	17.74
13.02	-45.21	17.26
13.07	-45.16	16.74
13.12	-45.12	16.18
13.16	-45.08	15.58
13.21	-45.05	14.94
13.26	-45.03	14.27
13.31	-45.01	13.57
13.36	-44.99	12.83
13.41	-44.97	12.07
13.47	-44.96	11.28
13.52	-44.96	10.46
13.57	-44.95	9.62
13.62	-44.95	8.76
13.67	-44.95	7.88
13.72	-44.95	6.99
13.77	-44.96	6.08
13.83	-44.97	5.15
13.88	-44.97	4.22
13.93	-44.98	3.28
13.98	-44.99	2.34
14.04	-45.00	1.39
14.09	-45.01	0.45
14.14	-45.02	-0.49
14.19	-45.02	-1.43
14.25	-45.03	-2.36
14.30	-45.03	-3.27
14.36	-45.04	-4.17
14.41	-45.03	-5.06
14.46	-45.03	-5.92
14.52	-45.02	-6.76
14.57	-45.01	-7.58
14.63	-45.00	-8.36
14.68	-44.98	-9.11
14.74	-44.96	-9.83
14.80	-44.93	-10.51
14.85	-44.89	-11.17
14.91	-44.85	-11.78
14.96	-44.81	-12.37
15.02	-44.76	-12.92
15.08	-44.71	-13.45
15.13	-44.65	-13.94
15.19	-44.59	-14.41
15.25	-44.53	-14.84
15.31	-44.46	-15.25
15.36	-44.39	-15.63
15.42	-44.31	-15.98
15.48	-44.23	-16.31
15.54	-44.15	-16.61
15.60	-44.06	-16.88
15.66	-43.97	-17.14
15.71	-43.88	-17.37
