Freq[Hz]	[dBV]	Phase[Deg]
10.00	-62.57	62.92
10.04	-62.80	64.79
10.08	-63.02	66.69
10.11	-63.25	68.61
10.15	-63.47	70.57
10.19	-63.70	72.56
10.23	-63.92	74.58
10.27	-64.14	76.62
10.31	-64.36	78.69
10.34	-64.58	80.77
10.38	-64.80	82.88
10.42	-65.02	85.01
10.46	-65.23	87.16
10.50	-65.45	89.32
10.54	-65.66	91.49
10.58	-65.87	93.68
10.62	-66.08	95.88
10.66	-66.28	98.09
10.70	-66.48	100.30
10.74	-66.68	102.51
10.78	-66.88	104.73
10.82	-67.07	106.95
10.86	-67.27	109.17
10.90	-67.45	111.38
10.95	-67.64	113.58
10.99	-67.82	115.78
11.03	-67.99	117.96
11.07	-68.16	120.14
11.11	-68.33	122.29
11.15	-68.49	124.43
11.20	-68.65	126.54
11.24	-68.81	128.63
11.28	-68.95	130.69
11.32	-69.10	132.73
11.37	-69.23	134.73
11.41	-69.36	136.70
11.45	-69.49	138.62
11.50	-69.61	140.51
11.54	-69.72	142.35
11.58	-69.83	144.15
11.63	-69.92	145.89
11.67	-70.02	147.58
11.71	-70.10	149.22
11.76	-70.17	150.79
11.80	-70.24	152.31
11.85	-70.30	153.76
11.89	-70.36	155.16
11.94	-70.40	156.49
11.98	-70.44	157.77
12.03	-70.47	158.99
12.07	-70.49	160.16
12.12	-70.51	161.26
12.16	-70.52	162.32
12.21	-70.52	163.32
12.26	-70.52	164.26
12.30	-70.51	165.15
12.35	-70.49	165.99
12.39	-70.46	166.78
12.44	-70.43	167.52
12.49	-70.40	168.21
12.54	-70.35	168.85
12.58	-70.30	169.44
12.63	-70.25	169.98
12.68	-70.19	170.49
12.73	-70.12	170.94
12.77	-70.05	171.35
12.82	-69.97	171.72
12.87	-69.89	172.05
12.92	-69.80	172.34
12.97	-69.71	172.59
13.02	-69.61	172.80
13.07	-69.51	172.98
13.12	-69.40	173.12
13.16	-69.29	173.23
13.21	-69.18	173.30
13.26	-69.06	173.35
13.31	-68.94	173.36
13.36	-68.81	173.35
13.41	-68.69	173.31
13.47	-68.55	173.25
13.52	-68.42	173.16
13.57	-68.28	173.06
13.62	-68.14	172.93
13.67	-68.00	172.78
13.72	-67.86	172.62
13.77	-67.71	172.45
13.83	-67.57	172.26
13.88	-67.42	172.06
13.93	-67.27	171.85
13.98	-67.12	171.64
14.04	-66.97	171.42
14.09	-66.82	171.20
14.14	-66.67	170.98
14.19	-66.52	170.76
14.25	-66.37	170.55
14.30	-66.23	170.34
14.36	-66.08	170.14
14.41	-65.94	169.95
14.46	-65.79	169.78
14.52	-65.65	169.62
14.57	-65.52	169.48
14.63	-65.38	169.37
14.68	-65.25	169.27
14.74	-65.12	169.21
14.80	-65.00	169.16
14.85	-64.88	169.14
14.91	-64.76	169.14
14.96	-64.65	169.17
15.02	-64.54	169.21
15.08	-64.43	169.28
15.13	-64.32	169.37
15.19	-64.22	169.47
15.25	-64.12	169.59
15.31	-64.03	169.73
15.36	-63.93	169.89
15.42	-63.84	170.06
15.48	-63.76	170.25
15.54	-63.67	170.45
15.60	-63.59	170.66
15.66	-63.51	170.88
15.71	-63.43	171.12
15.77	-63.36	171.36
15.83	-63.28	171.61
15.89	-63.21	171.87
15.95	-63.14	172.14
16.01	-63.08	172.41
16.07	-63.01	172.69
16.13	-62.95	172.97
16.19	-62.89	173.25
16.26	-62.83	173.53
16.32	-62.77	173.81
16.38	-62.71	174.09
16.44	-62.66	174.36
16.50	-62.61	174.63
16.56	-62.55	174.90
16.63	-62.50	175.15
16.69	-62.45	175.40
