Freq[Hz]	[dBV]	Phase[Deg]
10.00	-53.64	71.78
10.04	-53.54	70.23
10.08	-53.43	68.67
10.11	-53.33	67.12
10.15	-53.21	65.57
10.19	-53.10	64.02
10.23	-52.99	62.48
10.27	-52.87	60.94
10.31	-52.74	59.41
10.34	-52.62	57.88
10.38	-52.49	56.36
10.42	-52.36	54.84
10.46	-52.23	53.33
10.50	-52.10	51.83
10.54	-51.96	50.34
10.58	-51.83	48.85
10.62	-51.69	47.38
10.66	-51.55	45.91
10.70	-51.40	44.45
10.74	-51.26	43.01
10.78	-51.11	41.57
10.82	-50.97	40.15
10.86	-50.82	38.74
10.90	-50.67	37.35
10.95	-50.52	35.97
10.99	-50.38	34.60
11.03	-50.23	33.25
11.07	-50.08	31.92
11.11	-49.93	30.60
11.15	-49.78	29.30
11.20	-49.63	28.02
11.24	-49.48	26.76
11.28	-49.33	25.52
11.32	-49.19	24.30
11.37	-49.04	23.11
11.41	-48.90	21.93
11.45	-48.75	20.78
11.50	-48.61	19.66
11.54	-48.47	18.56
11.58	-48.33	17.49
11.63	-48.20	16.44
11.67	-48.07	15.42
11.71	-47.94	14.43
11.76	-47.81	13.47
11.80	-47.69	12.55
11.85	-47.56	11.65
11.89	-47.45	10.78
11.94	-47.33	9.94
11.98	-47.22	9.13
12.03	-47.11	8.34
12.07	-47.00	7.59
12.12	-46.90	6.86
12.16	-46.80	6.17
12.21	-46.70	5.49
12.26	-46.60	4.85
12.30	-46.51	4.23
12.35	-46.42	3.64
12.39	-46.33	3.08
12.44	-46.24	2.54
12.49	-46.16	2.02
12.54	-46.08	1.53
12.58	-46.00	1.06
12.63	-45.92	0.62
12.68	-45.84	0.20
12.73	-45.77	-0.20
12.77	-45.70	-0.57
12.82	-45.63	-0.93
12.87	-45.57	-1.26
12.92	-45.50	-1.58
12.97	-45.44	-1.87
13.02	-45.38	-2.14
13.07	-45.32	-2.40
13.12	-45.26	-2.64
13.16	-45.21	-2.86
13.21	-45.15	-3.06
13.26	-45.10	-3.25
13.31	-45.05	-3.43
13.36	-45.00	-3.59
13.41	-44.95	-3.73
13.47	-44.90	-3.86
13.52	-44.85	-3.99
13.57	-44.81	-4.09
13.62	-44.76	-4.19
13.67	-44.72	-4.28
13.72	-44.67	-4.36
13.77	-44.63	-4.44
13.83	-44.59	-4.50
13.88	-44.55	-4.56
13.93	-44.50	-4.62
13.98	-44.46	-4.67
14.04	-44.42	-4.72
14.09	-44.38	-4.76
14.14	-44.34	-4.81
14.19	-44.30	-4.85
14.25	-44.25	-4.90
14.30	-44.21	-4.95
14.36	-44.17	-5.00
14.41	-44.12	-5.06
14.46	-44.08	-5.12
14.52	-44.03	-5.19
14.57	-43.99	-5.27
14.63	-43.94	-5.35
14.68	-43.89	-5.45
14.74	-43.84	-5.56
14.80	-43.79	-5.68
14.85	-43.73	-5.82
14.91	-43.68	-5.96
14.96	-43.62	-6.11
15.02	-43.57	-6.27
15.08	-43.51	-6.45
15.13	-43.45	-6.63
15.19	-43.39	-6.82
15.25	-43.32	-7.02
15.31	-43.26	-7.23
15.36	-43.19	-7.45
15.42	-43.13	-7.68
15.48	-43.06	-7.91
15.54	-42.99	-8.16
15.60	-42.92	-8.41
15.66	-42.85	-8.66
15.71	-42.78	-8.93
15.77	-42.71	-9.20
15.83	-42.64	-9.47
15.89	-42.56	-9.75
15.95	-42.49	-10.04
16.01	-42.41	-10.33
16.07	-42.33	-10.63
16.13	-42.26	-10.93
16.19	-42.18	-11.24
16.26	-42.10	-11.54
16.32	-42.02	-11.86
16.38	-41.94	-12.17
16.44	-41.86	-12.49
16.50	-41.78	-12.80
16.56	-41.69	-13.12
16.63	-41.61	-13.44
16.69	-41.53	-13.76
16.75	-41.45	-14.08
16.82	-41.36	-14.40
16.88	-41.28	-14.72
16.94	-41.19	-15.03
17.01	-41.11	-15.34
17.07	-41.02	-15.65
17.14	-40.94	-15.96
17.20	-40.85	-16.26
17.27	-40.77	-16.56
17.33	-40.68	-16.86
17.40	-40.60	-17.14
17.46	-40.51	-17.42
17.53	-40.43	-17.70
17.59	-40.35	-17.96
17.66	-40.26	-18.22
17.73	-40.18	-18.47
17.79	-40.09	-18.71
17.86	-40.01	-18.95
17.93	-39.93	-19.17
18.00	-39.85	-19.39
18.06	-39.76	-19.60
18.13	-39.68	-19.81
18.20	-39.60	-20.01
18.27	-39.52	-20.20
18.34	-39.43	-20.38
