Freq[Hz]	[dBV]	Phase[Deg]
10.00	-58.68	80.06
10.04	-58.70	82.11
10.08	-58.73	84.19
10.11	-58.75	86.30
10.15	-58.78	88.45
10.19	-58.80	90.62
10.23	-58.82	92.82
10.27	-58.84	95.05
10.31	-58.86	97.31
10.34	-58.88	99.58
10.38	-58.90	101.88
10.42	-58.92	104.20
10.46	-58.93	106.54
10.50	-58.95	108.90
10.54	-58.97	111.27
10.58	-58.98	113.66
10.62	-59.00	116.06
10.66	-59.01	118.47
10.70	-59.03	120.88
10.74	-59.05	123.31
10.78	-59.06	125.73
10.82	-59.08	128.16
10.86	-59.09	130.59
10.90	-59.11	133.02
10.95	-59.13	135.44
10.99	-59.14	137.86
11.03	-59.16	140.27
11.07	-59.18	142.66
11.11	-59.20	145.05
11.15	-59.22	147.42
11.20	-59.24	149.77
11.24	-59.26	152.09
11.28	-59.28	154.40
11.32	-59.30	156.68
11.37	-59.33	158.93
11.41	-59.35	161.15
11.45	-59.38	163.34
11.50	-59.41	165.48
11.54	-59.44	167.59
11.58	-59.47	169.66
11.63	-59.51	171.68
11.67	-59.54	173.65
11.71	-59.58	175.57
11.76	-59.62	177.43
11.80	-59.66	179.24
11.85	-59.71	-179.01
11.89	-59.75	-177.32
11.94	-59.80	-175.67
11.98	-59.85	-174.09
12.03	-59.91	-172.55
12.07	-59.96	-171.08
12.12	-60.02	-169.65
12.16	-60.08	-168.28
12.21	-60.14	-166.96
12.26	-60.20	-165.70
12.30	-60.26	-164.48
12.35	-60.33	-163.32
12.39	-60.39	-162.21
12.44	-60.46	-161.16
12.49	-60.53	-160.15
12.54	-60.61	-159.19
12.58	-60.68	-158.28
12.63	-60.76	-157.42
12.68	-60.83	-156.61
12.73	-60.91	-155.85
12.77	-60.99	-155.14
12.82	-61.07	-154.47
12.87	-61.15	-153.85
12.92	-61.23	-153.28
12.97	-61.32	-152.74
13.02	-61.40	-152.26
13.07	-61.49	-151.82
13.12	-61.57	-151.42
13.16	-61.66	-151.06
13.21	-61.75	-150.75
13.26	-61.84	-150.47
13.31	-61.93	-150.24
