Freq[Hz]	[dBV]	Phase[Deg]
10.00	-68.18	97.21
10.04	-68.49	97.03
10.08	-68.81	96.85
10.11	-69.13	96.67
10.15	-69.44	96.47
10.19	-69.76	96.26
10.23	-70.08	96.05
10.27	-70.41	95.82
10.31	-70.73	95.58
10.34	-71.05	95.33
10.38	-71.37	95.06
10.42	-71.69	94.77
10.46	-72.01	94.47
10.50	-72.33	94.15
10.54	-72.64	93.81
10.58	-72.96	93.45
10.62	-73.28	93.06
10.66	-73.59	92.66
10.70	-73.90	92.22
10.74	-74.21	91.77
10.78	-74.52	91.28
10.82	-74.82	90.76
10.86	-75.13	90.22
10.90	-75.42	89.64
10.95	-75.72	89.03
10.99	-76.01	88.38
11.03	-76.30	87.70
11.07	-76.58	86.97
11.11	-76.86	86.21
11.15	-77.14	85.41
11.20	-77.40	84.56
11.24	-77.67	83.67
11.28	-77.93	82.73
11.32	-78.18	81.74
11.37	-78.42	80.70
11.41	-78.66	79.61
11.45	-78.89	78.47
11.50	-79.12	77.27
11.54	-79.34	76.01
11.58	-79.55	74.69
11.63	-79.75	73.31
11.67	-79.94	71.86
11.71	-80.12	70.35
11.76	-80.29	68.77
11.80	-80.46	67.12
11.85	-80.61	65.40
11.89	-80.76	63.63
11.94	-80.89	61.79
11.98	-81.02	59.89
12.03	-81.13	57.93
12.07	-81.24	55.92
12.12	-81.34	53.85
12.16	-81.43	51.73
12.21	-81.52	49.56
12.26	-81.59	47.35
12.30	-81.66	45.08
12.35	-81.71	42.78
12.39	-81.76	40.43
12.44	-81.81	38.05
12.49	-81.84	35.63
12.54	-81.87	33.18
12.58	-81.89	30.70
12.63	-81.90	28.19
12.68	-81.90	25.65
12.73	-81.90	23.10
12.77	-81.89	20.52
12.82	-81.87	17.93
12.87	-81.85	15.32
12.92	-81.82	12.71
12.97	-81.79	10.09
13.02	-81.75	7.46
13.07	-81.70	4.84
13.12	-81.65	2.22
13.16	-81.60	-0.40
13.21	-81.54	-3.00
13.26	-81.47	-5.59
13.31	-81.40	-8.17
13.36	-81.33	-10.72
13.41	-81.25	-13.25
13.47	-81.16	-15.74
13.52	-81.08	-18.21
13.57	-80.99	-20.63
13.62	-80.90	-23.02
13.67	-80.80	-25.35
13.72	-80.71	-27.64
13.77	-80.61	-29.87
13.83	-80.51	-32.05
13.88	-80.40	-34.15
13.93	-80.30	-36.19
13.98	-80.20	-38.16
14.04	-80.09	-40.04
14.09	-79.99	-41.84
14.14	-79.88	-43.56
14.19	-79.78	-45.17
14.25	-79.67	-46.69
14.30	-79.57	-48.10
14.36	-79.47	-49.40
14.41	-79.37	-50.59
14.46	-79.28	-51.65
14.52	-79.18	-52.58
14.57	-79.09	-53.38
14.63	-79.01	-54.04
14.68	-78.92	-54.55
14.74	-78.85	-54.91
14.80	-78.77	-55.13
14.85	-78.70	-55.22
14.91	-78.64	-55.17
14.96	-78.58	-54.99
15.02	-78.53	-54.69
15.08	-78.48	-54.27
15.13	-78.44	-53.74
15.19	-78.40	-53.10
15.25	-78.37	-52.36
15.31	-78.35	-51.52
15.36	-78.33	-50.60
15.42	-78.32	-49.59
15.48	-78.32	-48.50
15.54	-78.32	-47.34
15.60	-78.34	-46.11
15.66	-78.36	-44.83
15.71	-78.38	-43.49
15.77	-78.42	-42.11
15.83	-78.46	-40.69
15.89	-78.52	-39.23
15.95	-78.58	-37.76
16.01	-78.65	-36.27
16.07	-78.74	-34.77
16.13	-78.83	-33.27
16.19	-78.93	-31.78
16.26	-79.04	-30.30
16.32	-79.17	-28.85
16.38	-79.30	-27.43
16.44	-79.45	-26.05
16.50	-79.60	-24.73
16.56	-79.77	-23.46
16.63	-79.96	-22.27
16.69	-80.15	-21.15
16.75	-80.36	-20.13
16.82	-80.58	-19.20
16.88	-80.82	-18.38
16.94	-81.07	-17.69
17.01	-81.33	-17.12
17.07	-81.61	-16.70
17.14	-81.91	-16.43
17.20	-82.22	-16.32
17.27	-82.54	-16.39
17.33	-82.88	-16.65
17.40	-83.24	-17.11
17.46	-83.62	-17.78
17.53	-84.01	-18.68
17.59	-84.43	-19.81
17.66	-84.86	-21.19
17.73	-85.30	-22.81
17.79	-85.77	-24.66
17.86	-86.25	-26.73
17.93	-86.74	-29.01
18.00	-87.24	-31.50
18.06	-87.76	-34.18
18.13	-88.29	-37.05
18.20	-88.83	-40.09
18.27	-89.38	-43.30
18.34	-89.94	-46.67
18.41	-90.50	-50.19
18.48	-91.07	-53.84
18.55	-91.64	-57.61
18.62	-92.21	-61.50
18.69	-92.79	-65.50
18.76	-93.36	-69.58
18.83	-93.94	-73.74
18.90	-94.51	-77.97
18.97	-95.08	-82.26
19.04	-95.64	-86.59
19.11	-96.19	-90.94
19.19	-96.74	-95.32
19.26	-97.27	-99.69
19.33	-97.80	-104.05
19.40	-98.31	-108.39
19.48	-98.80	-112.68
19.55	-99.28	-116.92
19.62	-99.74	-121.09
19.70	-100.18	-125.17
19.77	-100.60	-129.15
19.85	-100.99	-133.01
19.92	-101.36	-136.74
20.00	-101.70	-140.31
20.07	-102.01	-143.72
20.15	-102.29	-146.94
20.22	-102.53	-149.95
20.30	-102.74	-152.74
20.38	-102.91	-155.28
20.45	-103.04	-157.56
20.53	-103.13	-159.57
20.61	-103.17	-161.28
20.69	-103.17	-162.70
20.77	-103.13	-163.85
20.84	-103.06	-164.73
20.92	-102.94	-165.34
21.00	-102.80	-165.70
21.08	-102.61	-165.82
