Freq[Hz]	[dBV]	Phase[Deg]
10.00	-54.32	83.58
10.04	-54.19	81.83
10.08	-54.06	80.07
10.11	-53.93	78.30
10.15	-53.80	76.52
10.19	-53.66	74.74
10.23	-53.52	72.95
10.27	-53.38	71.16
10.31	-53.24	69.36
10.34	-53.10	67.56
10.38	-52.95	65.76
10.42	-52.80	63.95
10.46	-52.65	62.15
10.50	-52.50	60.34
10.54	-52.35	58.54
10.58	-52.20	56.74
10.62	-52.04	54.95
10.66	-51.88	53.16
10.70	-51.73	51.37
10.74	-51.57	49.59
10.78	-51.41	47.82
10.82	-51.25	46.06
10.86	-51.09	44.31
10.90	-50.93	42.57
10.95	-50.77	40.85
10.99	-50.60	39.14
11.03	-50.44	37.44
11.07	-50.28	35.76
11.11	-50.12	34.10
11.15	-49.96	32.46
11.20	-49.80	30.84
11.24	-49.64	29.24
11.28	-49.48	27.67
11.32	-49.32	26.12
11.37	-49.16	24.60
11.41	-49.00	23.11
11.45	-48.85	21.64
11.50	-48.69	20.21
11.54	-48.54	18.81
11.58	-48.39	17.45
11.63	-48.24	16.12
11.67	-48.10	14.84
11.71	-47.95	13.59
11.76	-47.81	12.38
11.80	-47.67	11.22
11.85	-47.54	10.10
11.89	-47.40	9.01
11.94	-47.27	7.97
11.98	-47.14	6.97
12.03	-47.01	6.01
12.07	-46.89	5.09
12.12	-46.77	4.21
12.16	-46.65	3.36
12.21	-46.53	2.56
12.26	-46.42	1.79
12.30	-46.30	1.06
12.35	-46.19	0.36
12.39	-46.09	-0.30
12.44	-45.98	-0.92
12.49	-45.88	-1.51
12.54	-45.77	-2.06
12.58	-45.67	-2.59
12.63	-45.58	-3.08
12.68	-45.48	-3.53
12.73	-45.39	-3.96
12.77	-45.30	-4.35
12.82	-45.21	-4.72
12.87	-45.12	-5.05
12.92	-45.03	-5.36
12.97	-44.95	-5.64
13.02	-44.87	-5.89
13.07	-44.79	-6.12
13.12	-44.71	-6.33
13.16	-44.63	-6.50
13.21	-44.56	-6.66
13.26	-44.48	-6.79
13.31	-44.41	-6.91
13.36	-44.34	-7.00
13.41	-44.27	-7.07
13.47	-44.20	-7.13
13.52	-44.13	-7.16
13.57	-44.07	-7.19
13.62	-44.00	-7.19
13.67	-43.94	-7.19
13.72	-43.87	-7.17
13.77	-43.81	-7.14
13.83	-43.75	-7.10
13.88	-43.69	-7.05
13.93	-43.63	-7.00
13.98	-43.57	-6.94
14.04	-43.52	-6.87
14.09	-43.46	-6.80
14.14	-43.40	-6.73
14.19	-43.34	-6.66
14.25	-43.29	-6.59
14.30	-43.23	-6.53
14.36	-43.18	-6.47
14.41	-43.12	-6.41
14.46	-43.06	-6.36
14.52	-43.01	-6.32
14.57	-42.95	-6.30
14.63	-42.89	-6.28
14.68	-42.84	-6.29
14.74	-42.78	-6.30
14.80	-42.72	-6.33
14.85	-42.66	-6.38
14.91	-42.60	-6.44
14.96	-42.55	-6.51
15.02	-42.49	-6.60
15.08	-42.43	-6.71
15.13	-42.37	-6.82
15.19	-42.30	-6.95
15.25	-42.24	-7.09
15.31	-42.18	-7.24
15.36	-42.12	-7.41
15.42	-42.06	-7.58
15.48	-41.99	-7.77
15.54	-41.93	-7.97
15.60	-41.87	-8.18
15.66	-41.80	-8.40
15.71	-41.74	-8.62
15.77	-41.67	-8.86
15.83	-41.61	-9.11
15.89	-41.54	-9.36
15.95	-41.48	-9.62
16.01	-41.41	-9.89
16.07	-41.35	-10.16
16.13	-41.28	-10.44
16.19	-41.21	-10.73
16.26	-41.15	-11.02
16.32	-41.08	-11.32
16.38	-41.01	-11.62
