Freq[Hz]	[dBV]	Phase[Deg]
10.00	-59.05	153.99
10.04	-59.13	154.28
10.08	-59.22	154.57
10.11	-59.30	154.85
10.15	-59.39	155.12
10.19	-59.48	155.38
10.23	-59.57	155.64
10.27	-59.66	155.89
10.31	-59.75	156.14
10.34	-59.84	156.38
10.38	-59.93	156.61
10.42	-60.03	156.84
10.46	-60.12	157.06
10.50	-60.22	157.28
10.54	-60.31	157.49
10.58	-60.41	157.71
10.62	-60.51	157.91
10.66	-60.60	158.12
10.70	-60.70	158.32
10.74	-60.80	158.53
10.78	-60.90	158.73
10.82	-60.99	158.93
10.86	-61.09	159.13
10.90	-61.19	159.33
10.95	-61.28	159.53
10.99	-61.38	159.73
11.03	-61.47	159.94
11.07	-61.57	160.14
11.11	-61.66	160.35
11.15	-61.75	160.57
11.20	-61.84	160.79
11.24	-61.93	161.01
11.28	-62.02	161.24
11.32	-62.11	161.48
11.37	-62.19	161.72
11.41	-62.27	161.97
11.45	-62.36	162.23
11.50	-62.43	162.50
11.54	-62.51	162.77
11.58	-62.59	163.06
11.63	-62.66	163.36
11.67	-62.73	163.67
11.71	-62.79	163.99
11.76	-62.86	164.33
11.80	-62.92	164.68
11.85	-62.97	165.05
11.89	-63.03	165.42
11.94	-63.08	165.81
11.98	-63.13	166.21
12.03	-63.17	166.62
12.07	-63.21	167.05
12.12	-63.25	167.48
12.16	-63.29	167.93
12.21	-63.33	168.38
12.26	-63.36	168.84
12.30	-63.39	169.31
12.35	-63.41	169.80
12.39	-63.44	170.28
12.44	-63.46	170.78
12.49	-63.48	171.28
12.54	-63.50	171.79
12.58	-63.51	172.31
12.63	-63.53	172.83
12.68	-63.54	173.35
12.73	-63.55	173.88
12.77	-63.55	174.42
12.82	-63.56	174.95
12.87	-63.56	175.49
12.92	-63.56	176.03
12.97	-63.56	176.57
13.02	-63.56	177.12
13.07	-63.56	177.66
13.12	-63.55	178.20
13.16	-63.55	178.74
13.21	-63.54	179.28
13.26	-63.53	179.81
13.31	-63.52	-179.66
13.36	-63.51	-179.13
13.41	-63.50	-178.61
13.47	-63.49	-178.10
13.52	-63.48	-177.59
13.57	-63.47	-177.09
13.62	-63.45	-176.60
13.67	-63.44	-176.12
13.72	-63.43	-175.65
13.77	-63.41	-175.19
13.83	-63.40	-174.75
13.88	-63.38	-174.31
13.93	-63.37	-173.89
13.98	-63.36	-173.49
14.04	-63.34	-173.10
14.09	-63.33	-172.73
14.14	-63.32	-172.38
14.19	-63.31	-172.04
14.25	-63.30	-171.73
14.30	-63.29	-171.44
14.36	-63.28	-171.17
14.41	-63.28	-170.92
14.46	-63.27	-170.70
14.52	-63.27	-170.51
14.57	-63.27	-170.34
14.63	-63.27	-170.21
14.68	-63.28	-170.10
14.74	-63.28	-170.02
14.80	-63.29	-169.97
14.85	-63.30	-169.95
14.91	-63.31	-169.96
14.96	-63.33	-170.00
15.02	-63.34	-170.07
15.08	-63.36	-170.16
15.13	-63.38	-170.28
15.19	-63.40	-170.42
15.25	-63.43	-170.59
15.31	-63.45	-170.79
15.36	-63.48	-171.01
15.42	-63.50	-171.25
15.48	-63.53	-171.51
15.54	-63.56	-171.80
15.60	-63.59	-172.11
15.66	-63.62	-172.44
15.71	-63.65	-172.79
15.77	-63.68	-173.15
15.83	-63.71	-173.54
15.89	-63.74	-173.94
15.95	-63.77	-174.36
16.01	-63.80	-174.80
16.07	-63.83	-175.25
16.13	-63.87	-175.71
16.19	-63.90	-176.19
16.26	-63.93	-176.68
16.32	-63.95	-177.18
16.38	-63.98	-177.69
16.44	-64.01	-178.21
16.50	-64.04	-178.74
16.56	-64.06	-179.28
16.63	-64.08	-179.82
16.69	-64.10	179.64
16.75	-64.12	179.09
16.82	-64.14	178.54
16.88	-64.15	177.98
16.94	-64.17	177.43
17.01	-64.18	176.88
17.07	-64.18	176.33
17.14	-64.19	175.79
17.20	-64.19	175.25
17.27	-64.19	174.71
17.33	-64.18	174.19
17.40	-64.17	173.67
17.46	-64.15	173.16
17.53	-64.14	172.67
17.59	-64.11	172.19
17.66	-64.08	171.73
17.73	-64.05	171.28
17.79	-64.01	170.84
17.86	-63.97	170.42
17.93	-63.93	170.01
18.00	-63.88	169.62
18.06	-63.82	169.24
18.13	-63.77	168.87
18.20	-63.70	168.51
18.27	-63.64	168.17
18.34	-63.57	167.84
18.41	-63.49	167.51
18.48	-63.42	167.21
18.55	-63.34	166.91
18.62	-63.26	166.62
18.69	-63.17	166.34
18.76	-63.08	166.07
18.83	-62.99	165.81
18.90	-62.89	165.55
18.97	-62.79	165.31
19.04	-62.69	165.07
19.11	-62.59	164.84
19.19	-62.49	164.62
19.26	-62.38	164.40
19.33	-62.27	164.19
19.40	-62.16	163.98
19.48	-62.05	163.78
19.55	-61.94	163.58
19.62	-61.82	163.38
19.70	-61.71	163.19
19.77	-61.59	162.99
19.85	-61.47	162.80
19.92	-61.36	162.61
20.00	-61.24	162.42
20.07	-61.12	162.23
20.15	-61.01	162.04
20.22	-60.89	161.85
20.30	-60.77	161.65
20.38	-60.66	161.45
20.45	-60.54	161.25
20.53	-60.43	161.04
20.61	-60.31	160.83
20.69	-60.20	160.61
20.77	-60.09	160.38
20.84	-59.98	160.15
20.92	-59.88	159.92
21.00	-59.77	159.68
21.08	-59.67	159.44
21.16	-59.56	159.20
21.24	-59.46	158.95
21.32	-59.35	158.70
21.40	-59.25	158.44
21.48	-59.15	158.19
21.56	-59.05	157.93
21.64	-58.95	157.67
21.73	-58.85	157.41
21.81	-58.75	157.14
21.89	-58.65	156.88
21.97	-58.55	156.62
22.06	-58.45	156.35
22.14	-58.36	156.09
22.22	-58.26	155.83
22.31	-58.16	155.57
22.39	-58.06	155.31
22.47	-57.96	155.05
22.56	-57.86	154.79
22.64	-57.76	154.54
22.73	-57.66	154.29
22.82	-57.56	154.04
22.90	-57.46	153.80
22.99	-57.36	153.56
23.07	-57.26	153.33
23.16	-57.15	153.10
