Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.40	-96.36
10.04	-61.46	-93.62
10.08	-61.53	-90.84
10.11	-61.59	-88.03
10.15	-61.65	-85.20
10.19	-61.71	-82.34
10.23	-61.77	-79.45
10.27	-61.83	-76.55
10.31	-61.88	-73.62
10.34	-61.94	-70.68
10.38	-61.99	-67.73
10.42	-62.04	-64.76
10.46	-62.09	-61.79
10.50	-62.14	-58.81
10.54	-62.19	-55.82
10.58	-62.23	-52.84
10.62	-62.28	-49.86
10.66	-62.32	-46.89
10.70	-62.36	-43.92
10.74	-62.40	-40.96
10.78	-62.44	-38.02
10.82	-62.47	-35.10
10.86	-62.51	-32.20
10.90	-62.54	-29.33
10.95	-62.57	-26.48
10.99	-62.60	-23.66
11.03	-62.63	-20.88
11.07	-62.66	-18.14
11.11	-62.68	-15.44
11.15	-62.70	-12.79
11.20	-62.72	-10.19
11.24	-62.74	-7.64
11.28	-62.76	-5.15
11.32	-62.78	-2.73
11.37	-62.79	-0.37
11.41	-62.80	1.92
11.45	-62.81	4.13
11.50	-62.82	6.27
11.54	-62.83	8.32
11.58	-62.83	10.28
11.63	-62.83	12.14
11.67	-62.83	13.91
11.71	-62.83	15.57
11.76	-62.83	17.13
11.80	-62.82	18.57
11.85	-62.81	19.91
11.89	-62.80	21.15
11.94	-62.79	22.27
11.98	-62.78	23.30
12.03	-62.76	24.22
12.07	-62.74	25.05
12.12	-62.72	25.77
12.16	-62.70	26.40
12.21	-62.68	26.93
12.26	-62.65	27.37
12.30	-62.63	27.71
12.35	-62.60	27.96
12.39	-62.57	28.13
12.44	-62.53	28.20
12.49	-62.50	28.19
12.54	-62.46	28.10
12.58	-62.42	27.93
12.63	-62.38	27.67
12.68	-62.34	27.34
12.73	-62.29	26.93
12.77	-62.25	26.46
12.82	-62.20	25.91
12.87	-62.15	25.29
12.92	-62.10	24.60
12.97	-62.05	23.85
13.02	-61.99	23.04
13.07	-61.94	22.18
13.12	-61.88	21.26
13.16	-61.82	20.28
13.21	-61.76	19.25
13.26	-61.69	18.18
13.31	-61.63	17.07
13.36	-61.56	15.91
13.41	-61.50	14.71
13.47	-61.43	13.48
13.52	-61.36	12.22
13.57	-61.29	10.93
13.62	-61.21	9.62
13.67	-61.14	8.28
13.72	-61.07	6.93
13.77	-60.99	5.56
13.83	-60.91	4.19
13.88	-60.83	2.80
13.93	-60.75	1.42
13.98	-60.67	0.04
14.04	-60.59	-1.34
14.09	-60.50	-2.71
14.14	-60.42	-4.06
14.19	-60.34	-5.39
14.25	-60.25	-6.70
14.30	-60.16	-7.98
14.36	-60.07	-9.23
14.41	-59.99	-10.44
14.46	-59.90	-11.61
14.52	-59.81	-12.72
14.57	-59.72	-13.79
14.63	-59.62	-14.80
14.68	-59.53	-15.75
14.74	-59.44	-16.63
14.80	-59.35	-17.44
14.85	-59.25	-18.20
14.91	-59.16	-18.89
14.96	-59.07	-19.52
15.02	-58.97	-20.10
15.08	-58.88	-20.61
15.13	-58.78	-21.07
15.19	-58.69	-21.47
15.25	-58.59	-21.82
15.31	-58.49	-22.11
15.36	-58.40	-22.36
15.42	-58.30	-22.55
15.48	-58.20	-22.70
15.54	-58.11	-22.79
15.60	-58.01	-22.85
15.66	-57.91	-22.85
15.71	-57.81	-22.82
15.77	-57.72	-22.75
15.83	-57.62	-22.63
15.89	-57.52	-22.48
15.95	-57.42	-22.30
16.01	-57.33	-22.08
16.07	-57.23	-21.83
16.13	-57.13	-21.55
16.19	-57.03	-21.24
16.26	-56.94	-20.90
16.32	-56.84	-20.55
16.38	-56.74	-20.17
16.44	-56.64	-19.77
16.50	-56.55	-19.36
16.56	-56.45	-18.93
16.63	-56.36	-18.49
16.69	-56.26	-18.04
16.75	-56.17	-17.59
16.82	-56.07	-17.13
16.88	-55.98	-16.66
16.94	-55.88	-16.20
17.01	-55.79	-15.74
17.07	-55.70	-15.29
17.14	-55.61	-14.85
17.20	-55.51	-14.42
17.27	-55.42	-14.00
17.33	-55.33	-13.61
17.40	-55.25	-13.23
17.46	-55.16	-12.88
17.53	-55.07	-12.56
17.59	-54.99	-12.27
17.66	-54.90	-12.01
17.73	-54.82	-11.78
17.79	-54.73	-11.59
17.86	-54.65	-11.43
17.93	-54.57	-11.29
18.00	-54.49	-11.19
18.06	-54.41	-11.12
18.13	-54.33	-11.07
18.20	-54.25	-11.06
18.27	-54.17	-11.07
18.34	-54.10	-11.10
18.41	-54.02	-11.16
18.48	-53.94	-11.25
18.55	-53.87	-11.35
18.62	-53.79	-11.48
18.69	-53.72	-11.63
18.76	-53.64	-11.80
18.83	-53.57	-11.99
18.90	-53.50	-12.20
18.97	-53.42	-12.42
19.04	-53.35	-12.66
19.11	-53.28	-12.91
19.19	-53.20	-13.18
19.26	-53.13	-13.45
19.33	-53.06	-13.74
19.40	-52.98	-14.04
19.48	-52.91	-14.34
19.55	-52.84	-14.66
19.62	-52.76	-14.97
19.70	-52.69	-15.29
19.77	-52.61	-15.62
19.85	-52.54	-15.94
19.92	-52.46	-16.27
20.00	-52.38	-16.59
20.07	-52.31	-16.90
20.15	-52.23	-17.22
20.22	-52.15	-17.52
20.30	-52.07	-17.82
20.38	-51.99	-18.10
20.45	-51.90	-18.37
20.53	-51.82	-18.63
20.61	-51.74	-18.88
20.69	-51.65	-19.11
20.77	-51.56	-19.32
20.84	-51.47	-19.52
20.92	-51.38	-19.71
21.00	-51.29	-19.88
21.08	-51.20	-20.04
21.16	-51.11	-20.19
21.24	-51.02	-20.33
21.32	-50.92	-20.46
21.40	-50.82	-20.58
21.48	-50.73	-20.68
21.56	-50.63	-20.78
21.64	-50.53	-20.87
21.73	-50.43	-20.95
21.81	-50.33	-21.03
21.89	-50.23	-21.09
21.97	-50.13	-21.15
22.06	-50.03	-21.21
22.14	-49.93	-21.26
22.22	-49.82	-21.31
22.31	-49.72	-21.35
22.39	-49.62	-21.40
22.47	-49.51	-21.44
22.56	-49.41	-21.48
22.64	-49.30	-21.52
22.73	-49.20	-21.56
22.82	-49.09	-21.60
22.90	-48.98	-21.64
22.99	-48.88	-21.69
23.07	-48.77	-21.74
23.16	-48.67	-21.80
23.25	-48.56	-21.86
23.34	-48.45	-21.93
23.43	-48.35	-22.01
23.51	-48.24	-22.09
23.60	-48.14	-22.19
23.69	-48.03	-22.29
23.78	-47.93	-22.41
23.87	-47.82	-22.53
23.96	-47.72	-22.66
24.05	-47.62	-22.80
24.14	-47.51	-22.94
24.23	-47.41	-23.09
24.32	-47.30	-23.25
24.42	-47.20	-23.42
24.51	-47.10	-23.59
24.60	-46.99	-23.77
24.69	-46.89	-23.96
24.79	-46.78	-24.15
24.88	-46.68	-24.35
24.97	-46.58	-24.55
25.07	-46.47	-24.76
25.16	-46.37	-24.97
25.26	-46.26	-25.18
25.35	-46.16	-25.40
25.45	-46.05	-25.63
25.54	-45.94	-25.86
25.64	-45.84	-26.09
25.74	-45.73	-26.32
25.84	-45.62	-26.56
25.93	-45.52	-26.79
26.03	-45.41	-27.03
26.13	-45.30	-27.27
26.23	-45.19	-27.52
26.33	-45.08	-27.76
26.43	-44.97	-28.00
26.53	-44.86	-28.24
26.63	-44.74	-28.48
26.73	-44.63	-28.73
26.83	-44.52	-28.97
26.93	-44.40	-29.21
27.03	-44.29	-29.45
27.13	-44.17	-29.70
27.23	-44.05	-29.95
27.34	-43.94	-30.19
27.44	-43.82	-30.44
27.54	-43.70	-30.69
27.65	-43.58	-30.94
27.75	-43.46	-31.20
27.86	-43.34	-31.46
27.96	-43.22	-31.72
28.07	-43.10	-31.98
28.17	-42.98	-32.24
28.28	-42.86	-32.51
28.39	-42.73	-32.78
28.49	-42.61	-33.06
28.60	-42.49	-33.34
28.71	-42.36	-33.62
28.82	-42.24	-33.91
28.93	-42.11	-34.20
29.03	-41.99	-34.50
29.14	-41.86	-34.81
29.25	-41.73	-35.12
29.36	-41.61	-35.43
29.48	-41.48	-35.75
29.59	-41.35	-36.08
29.70	-41.23	-36.41
29.81	-41.10	-36.75
29.92	-40.97	-37.10
30.04	-40.84	-37.45
30.15	-40.71	-37.81
30.26	-40.58	-38.18
30.38	-40.45	-38.55
30.49	-40.32	-38.93
30.61	-40.19	-39.32
30.72	-40.06	-39.72
30.84	-39.93	-40.12
30.95	-39.79	-40.53
31.07	-39.66	-40.95
31.19	-39.53	-41.38
31.31	-39.39	-41.81
31.42	-39.26	-42.25
31.54	-39.13	-42.71
31.66	-38.99	-43.17
31.78	-38.86	-43.64
31.90	-38.72	-44.12
32.02	-38.58	-44.60
32.14	-38.45	-45.10
32.26	-38.31	-45.61
32.39	-38.17	-46.12
32.51	-38.03	-46.65
32.63	-37.89	-47.19
32.75	-37.75	-47.73
32.88	-37.61	-48.29
33.00	-37.47	-48.86
33.13	-37.33	-49.44
33.25	-37.19	-50.03
33.38	-37.05	-50.63
33.50	-36.91	-51.25
33.63	-36.76	-51.87
33.76	-36.62	-52.51
33.88	-36.48	-53.17
34.01	-36.34	-53.83
34.14	-36.19	-54.51
34.27	-36.05	-55.20
34.40	-35.91	-55.91
34.53	-35.77	-56.63
34.66	-35.62	-57.36
34.79	-35.48	-58.11
34.92	-35.34	-58.87
35.05	-35.19	-59.65
35.18	-35.05	-60.45
35.32	-34.91	-61.26
35.45	-34.77	-62.09
35.58	-34.63	-62.93
35.72	-34.48	-63.79
35.85	-34.34	-64.67
35.99	-34.20	-65.56
36.12	-34.06	-66.48
36.26	-33.93	-67.40
36.40	-33.79	-68.35
36.53	-33.65	-69.31
36.67	-33.52	-70.29
36.81	-33.38	-71.29
36.95	-33.25	-72.31
37.09	-33.12	-73.35
37.23	-32.99	-74.40
37.37	-32.87	-75.47
37.51	-32.74	-76.57
37.65	-32.62	-77.68
37.79	-32.50	-78.81
37.94	-32.38	-79.96
38.08	-32.27	-81.13
38.22	-32.15	-82.31
38.37	-32.04	-83.52
38.51	-31.94	-84.75
38.66	-31.83	-85.99
38.80	-31.73	-87.25
38.95	-31.63	-88.52
39.10	-31.54	-89.81
39.24	-31.45	-91.11
39.39	-31.36	-92.42
39.54	-31.28	-93.74
39.69	-31.20	-95.07
39.84	-31.12	-96.41
39.99	-31.05	-97.75
40.14	-30.98	-99.10
40.29	-30.92	-100.46
40.45	-30.86	-101.81
40.60	-30.80	-103.17
40.75	-30.75	-104.52
40.90	-30.70	-105.88
41.06	-30.66	-107.23
41.21	-30.62	-108.58
41.37	-30.59	-109.92
41.53	-30.56	-111.26
41.68	-30.54	-112.58
41.84	-30.52	-113.90
42.00	-30.50	-115.22
42.16	-30.49	-116.52
42.32	-30.49	-117.81
42.47	-30.48	-119.09
42.63	-30.48	-120.36
42.80	-30.49	-121.61
42.96	-30.49	-122.85
43.12	-30.50	-124.07
43.28	-30.52	-125.28
43.45	-30.53	-126.47
43.61	-30.55	-127.64
43.77	-30.57	-128.79
43.94	-30.59	-129.92
44.10	-30.62	-131.02
44.27	-30.64	-132.11
44.44	-30.67	-133.17
44.61	-30.70	-134.21
44.77	-30.73	-135.23
44.94	-30.76	-136.23
45.11	-30.80	-137.21
45.28	-30.83	-138.17
45.45	-30.87	-139.11
45.63	-30.90	-140.02
45.80	-30.94	-140.92
45.97	-30.98	-141.80
46.14	-31.02	-142.66
46.32	-31.06	-143.50
46.49	-31.09	-144.32
46.67	-31.13	-145.12
46.84	-31.17	-145.91
47.02	-31.21	-146.67
47.20	-31.25	-147.42
47.38	-31.28	-148.16
47.56	-31.32	-148.87
47.74	-31.35	-149.58
47.92	-31.39	-150.26
48.10	-31.42	-150.93
48.28	-31.46	-151.59
48.46	-31.49	-152.23
48.64	-31.52	-152.86
48.83	-31.55	-153.48
49.01	-31.58	-154.08
49.20	-31.61	-154.68
49.38	-31.64	-155.26
49.57	-31.67	-155.83
49.75	-31.70	-156.39
49.94	-31.72	-156.95
50.13	-31.75	-157.49
50.32	-31.78	-158.03
50.51	-31.80	-158.55
50.70	-31.82	-159.07
50.89	-31.85	-159.58
51.08	-31.87	-160.09
51.28	-31.89	-160.58
51.47	-31.91	-161.07
51.66	-31.92	-161.55
51.86	-31.94	-162.02
52.05	-31.96	-162.49
52.25	-31.97	-162.95
52.45	-31.99	-163.40
52.65	-32.00	-163.85
52.85	-32.01	-164.29
53.04	-32.02	-164.73
53.24	-32.03	-165.16
53.45	-32.04	-165.58
53.65	-32.05	-166.00
53.85	-32.05	-166.42
54.05	-32.06	-166.83
54.26	-32.06	-167.24
54.46	-32.06	-167.64
54.67	-32.07	-168.03
54.87	-32.07	-168.42
55.08	-32.06	-168.81
55.29	-32.06	-169.20
55.50	-32.06	-169.58
55.71	-32.05	-169.95
55.92	-32.04	-170.33
56.13	-32.04	-170.70
56.34	-32.03	-171.07
56.55	-32.02	-171.43
56.77	-32.00	-171.79
56.98	-31.99	-172.15
57.19	-31.98	-172.51
57.41	-31.96	-172.86
57.63	-31.94	-173.22
57.84	-31.93	-173.57
58.06	-31.91	-173.92
58.28	-31.89	-174.27
58.50	-31.87	-174.62
58.72	-31.84	-174.97
58.94	-31.82	-175.32
59.17	-31.80	-175.66
59.39	-31.77	-176.01
59.61	-31.75	-176.36
59.84	-31.72	-176.71
60.06	-31.69	-177.06
60.29	-31.66	-177.41
60.52	-31.63	-177.76
60.75	-31.60	-178.11
60.98	-31.56	-178.47
61.21	-31.53	-178.83
61.44	-31.49	-179.19
61.67	-31.45	-179.55
61.90	-31.41	-179.91
62.14	-31.37	179.72
62.37	-31.33	179.35
62.61	-31.28	178.97
62.84	-31.24	178.59
63.08	-31.19	178.21
63.32	-31.14	177.83
63.56	-31.09	177.44
63.80	-31.04	177.05
64.04	-30.98	176.65
64.28	-30.93	176.26
64.52	-30.87	175.85
64.76	-30.81	175.45
65.01	-30.74	175.04
65.25	-30.68	174.63
65.50	-30.61	174.21
65.75	-30.54	173.79
66.00	-30.47	173.36
66.24	-30.40	172.92
66.49	-30.33	172.48
66.75	-30.25	172.03
67.00	-30.17	171.58
67.25	-30.09	171.11
67.50	-30.01	170.64
67.76	-29.93	170.16
68.01	-29.84	169.67
68.27	-29.75	169.17
68.53	-29.66	168.66
68.79	-29.57	168.14
69.05	-29.48	167.61
69.31	-29.38	167.07
69.57	-29.28	166.51
69.83	-29.18	165.94
70.09	-29.07	165.36
70.36	-28.96	164.76
70.62	-28.85	164.15
70.89	-28.74	163.51
71.16	-28.62	162.87
71.43	-28.51	162.20
71.70	-28.38	161.51
71.97	-28.26	160.81
72.24	-28.13	160.08
72.51	-28.00	159.33
72.79	-27.87	158.56
73.06	-27.73	157.76
73.34	-27.60	156.94
73.61	-27.45	156.09
73.89	-27.31	155.21
74.17	-27.16	154.30
74.45	-27.01	153.35
74.73	-26.86	152.37
75.01	-26.71	151.35
75.29	-26.55	150.28
75.58	-26.39	149.18
75.86	-26.23	148.02
76.15	-26.07	146.82
76.44	-25.91	145.56
76.73	-25.74	144.25
77.02	-25.57	142.87
77.31	-25.40	141.43
77.60	-25.23	139.93
77.89	-25.06	138.35
78.18	-24.90	136.69
78.48	-24.73	134.95
78.78	-24.56	133.13
79.07	-24.40	131.21
79.37	-24.24	129.20
79.67	-24.08	127.10
79.97	-23.93	124.90
80.27	-23.78	122.62
80.58	-23.65	120.24
80.88	-23.52	117.78
81.19	-23.41	115.23
81.49	-23.31	112.61
81.80	-23.22	109.90
82.11	-23.16	107.11
82.42	-23.11	104.26
82.73	-23.09	101.34
83.04	-23.08	98.38
83.35	-23.09	95.39
83.67	-23.12	92.38
83.99	-23.18	89.38
84.30	-23.25	86.39
84.62	-23.34	83.44
84.94	-23.46	80.53
85.26	-23.59	77.69
85.58	-23.75	74.92
85.90	-23.92	72.22
86.23	-24.11	69.60
86.55	-24.31	67.07
86.88	-24.52	64.62
87.21	-24.75	62.26
87.54	-24.98	60.00
87.87	-25.22	57.83
88.20	-25.46	55.78
88.53	-25.71	53.82
88.87	-25.96	51.96
89.20	-26.22	50.19
89.54	-26.47	48.51
89.88	-26.73	46.91
90.22	-26.98	45.40
90.56	-27.24	43.96
90.90	-27.49	42.58
91.24	-27.74	41.28
91.59	-27.99	40.03
91.93	-28.24	38.85
92.28	-28.49	37.72
92.63	-28.73	36.64
92.98	-28.97	35.61
93.33	-29.21	34.63
93.68	-29.44	33.69
94.03	-29.68	32.79
94.39	-29.91	31.93
94.74	-30.13	31.10
95.10	-30.36	30.31
95.46	-30.58	29.55
95.82	-30.80	28.82
96.18	-31.01	28.11
96.54	-31.23	27.43
96.91	-31.44	26.77
97.27	-31.64	26.14
97.64	-31.84	25.53
98.01	-32.04	24.94
98.38	-32.24	24.37
98.75	-32.44	23.82
99.12	-32.63	23.29
99.50	-32.82	22.78
99.87	-33.01	22.29
100.25	-33.19	21.81
100.63	-33.38	21.35
101.01	-33.56	20.90
101.39	-33.74	20.46
101.77	-33.92	20.03
102.16	-34.09	19.61
102.54	-34.27	19.19
102.93	-34.44	18.78
103.32	-34.61	18.37
103.71	-34.77	17.97
104.10	-34.94	17.57
104.49	-35.10	17.18
104.88	-35.26	16.80
105.28	-35.42	16.43
105.68	-35.57	16.07
106.08	-35.73	15.72
106.48	-35.88	15.39
106.88	-36.03	15.06
107.28	-36.18	14.74
107.69	-36.33	14.43
108.09	-36.48	14.12
108.50	-36.63	13.81
108.91	-36.77	13.51
109.32	-36.92	13.20
109.73	-37.06	12.90
110.15	-37.20	12.61
110.56	-37.34	12.32
110.98	-37.48	12.04
111.40	-37.62	11.77
111.82	-37.75	11.50
112.24	-37.88	11.24
112.67	-38.01	10.99
113.09	-38.14	10.74
113.52	-38.27	10.50
113.95	-38.40	10.26
114.38	-38.53	10.02
114.81	-38.66	9.78
115.24	-38.79	9.54
115.68	-38.92	9.30
116.11	-39.04	9.05
116.55	-39.17	8.81
116.99	-39.29	8.57
117.43	-39.41	8.34
117.87	-39.53	8.10
118.32	-39.64	7.86
118.77	-39.75	7.64
119.21	-39.86	7.41
119.66	-39.97	7.20
120.12	-40.08	7.00
120.57	-40.19	6.81
121.02	-40.30	6.63
121.48	-40.41	6.45
121.94	-40.52	6.28
122.40	-40.63	6.10
122.86	-40.74	5.92
123.32	-40.85	5.74
123.79	-40.95	5.54
