Freq[Hz]	[dBV]	Phase[Deg]
10.00	-68.31	12.93
10.04	-68.34	13.82
10.08	-68.37	14.73
10.11	-68.40	15.64
10.15	-68.43	16.55
10.19	-68.45	17.48
10.23	-68.47	18.41
10.27	-68.49	19.35
10.31	-68.50	20.29
10.34	-68.51	21.25
10.38	-68.52	22.21
10.42	-68.52	23.18
10.46	-68.53	24.15
10.50	-68.53	25.14
10.54	-68.52	26.13
10.58	-68.52	27.14
10.62	-68.51	28.15
10.66	-68.50	29.17
10.70	-68.48	30.20
10.74	-68.47	31.24
10.78	-68.45	32.29
10.82	-68.42	33.35
10.86	-68.40	34.42
10.90	-68.37	35.51
10.95	-68.34	36.60
10.99	-68.31	37.70
11.03	-68.28	38.81
11.07	-68.24	39.94
11.11	-68.20	41.08
11.15	-68.16	42.23
11.20	-68.12	43.39
11.24	-68.08	44.56
11.28	-68.03	45.75
11.32	-67.98	46.95
11.37	-67.93	48.17
11.41	-67.87	49.40
11.45	-67.82	50.64
11.50	-67.76	51.89
11.54	-67.70	53.16
11.58	-67.64	54.45
11.63	-67.58	55.75
11.67	-67.52	57.07
11.71	-67.45	58.40
11.76	-67.38	59.75
11.80	-67.32	61.11
11.85	-67.25	62.49
11.89	-67.17	63.88
11.94	-67.10	65.29
11.98	-67.03	66.72
12.03	-66.95	68.15
12.07	-66.88	69.60
12.12	-66.80	71.06
12.16	-66.72	72.53
12.21	-66.64	74.02
12.26	-66.55	75.51
12.30	-66.47	77.02
12.35	-66.39	78.53
12.39	-66.30	80.05
12.44	-66.21	81.59
12.49	-66.12	83.12
12.54	-66.03	84.67
12.58	-65.94	86.22
12.63	-65.85	87.78
12.68	-65.76	89.34
12.73	-65.67	90.90
12.77	-65.57	92.47
12.82	-65.47	94.04
12.87	-65.38	95.62
12.92	-65.28	97.19
12.97	-65.18	98.76
13.02	-65.08	100.33
13.07	-64.98	101.90
13.12	-64.88	103.47
13.16	-64.78	105.04
13.21	-64.67	106.60
13.26	-64.57	108.15
13.31	-64.47	109.70
13.36	-64.36	111.24
13.41	-64.26	112.77
13.47	-64.15	114.30
13.52	-64.04	115.81
13.57	-63.94	117.31
13.62	-63.83	118.80
13.67	-63.72	120.28
13.72	-63.61	121.74
13.77	-63.50	123.18
13.83	-63.39	124.61
13.88	-63.29	126.02
13.93	-63.18	127.41
