Freq[Hz]	[dBV]	Phase[Deg]
10.00	-60.33	-8.93
10.04	-60.40	-8.05
10.08	-60.47	-7.14
10.11	-60.54	-6.21
10.15	-60.61	-5.25
10.19	-60.69	-4.27
10.23	-60.77	-3.27
10.27	-60.85	-2.25
10.31	-60.93	-1.22
10.34	-61.01	-0.16
10.38	-61.09	0.91
10.42	-61.17	1.99
10.46	-61.26	3.08
10.50	-61.35	4.19
10.54	-61.44	5.30
10.58	-61.53	6.42
10.62	-61.62	7.55
10.66	-61.71	8.68
10.70	-61.81	9.81
10.74	-61.91	10.94
10.78	-62.01	12.06
10.82	-62.11	13.19
10.86	-62.21	14.30
10.90	-62.32	15.41
10.95	-62.43	16.51
10.99	-62.54	17.59
11.03	-62.65	18.66
11.07	-62.76	19.71
11.11	-62.88	20.74
11.15	-63.00	21.75
11.20	-63.12	22.74
11.24	-63.24	23.69
11.28	-63.37	24.62
11.32	-63.49	25.52
11.37	-63.63	26.38
11.41	-63.76	27.20
11.45	-63.89	27.99
11.50	-64.03	28.73
11.54	-64.17	29.42
11.58	-64.32	30.07
11.63	-64.47	30.67
11.67	-64.62	31.21
11.71	-64.77	31.69
11.76	-64.92	32.11
11.80	-65.08	32.48
11.85	-65.24	32.78
11.89	-65.41	33.03
11.94	-65.58	33.22
11.98	-65.75	33.35
12.03	-65.92	33.44
12.07	-66.09	33.47
12.12	-66.27	33.45
12.16	-66.45	33.38
12.21	-66.64	33.27
12.26	-66.82	33.11
12.30	-67.01	32.91
12.35	-67.20	32.66
12.39	-67.39	32.38
12.44	-67.59	32.06
12.49	-67.78	31.71
12.54	-67.98	31.32
12.58	-68.18	30.90
12.63	-68.38	30.44
12.68	-68.58	29.97
12.73	-68.79	29.46
12.77	-68.99	28.94
12.82	-69.20	28.39
12.87	-69.41	27.82
12.92	-69.62	27.24
12.97	-69.83	26.65
13.02	-70.04	26.04
13.07	-70.26	25.43
13.12	-70.47	24.81
13.16	-70.68	24.19
13.21	-70.90	23.57
13.26	-71.11	22.95
13.31	-71.33	22.33
13.36	-71.55	21.73
13.41	-71.76	21.14
13.47	-71.98	20.56
13.52	-72.19	20.00
13.57	-72.41	19.46
13.62	-72.62	18.94
13.67	-72.84	18.46
13.72	-73.05	18.00
13.77	-73.26	17.58
13.83	-73.47	17.20
13.88	-73.68	16.86
13.93	-73.89	16.57
13.98	-74.10	16.33
14.04	-74.31	16.14
14.09	-74.51	16.01
14.14	-74.71	15.94
14.19	-74.91	15.94
14.25	-75.11	16.00
14.30	-75.30	16.15
14.36	-75.50	16.37
14.41	-75.68	16.67
14.46	-75.87	17.07
14.52	-76.05	17.55
14.57	-76.23	18.14
14.63	-76.41	18.82
14.68	-76.58	19.62
14.74	-76.75	20.52
14.80	-76.91	21.53
14.85	-77.07	22.64
14.91	-77.23	23.86
14.96	-77.38	25.18
15.02	-77.53	26.60
15.08	-77.67	28.12
15.13	-77.81	29.73
15.19	-77.94	31.44
15.25	-78.08	33.24
15.31	-78.20	35.13
15.36	-78.33	37.11
15.42	-78.44	39.17
15.48	-78.56	41.31
15.54	-78.67	43.54
15.60	-78.78	45.84
15.66	-78.88	48.22
15.71	-78.97	50.67
15.77	-79.07	53.19
15.83	-79.16	55.78
15.89	-79.24	58.43
15.95	-79.32	61.15
16.01	-79.40	63.92
16.07	-79.47	66.75
16.13	-79.54	69.63
16.19	-79.60	72.56
16.26	-79.66	75.54
16.32	-79.71	78.56
16.38	-79.76	81.62
16.44	-79.81	84.72
16.50	-79.85	87.84
16.56	-79.89	91.00
16.63	-79.92	94.18
16.69	-79.95	97.38
16.75	-79.97	100.60
16.82	-79.99	103.83
16.88	-80.00	107.07
