Freq[Hz]	[dBV]	Phase[Deg]
10.00	-60.51	-27.02
10.04	-60.48	-26.13
10.08	-60.45	-25.20
10.11	-60.41	-24.26
10.15	-60.38	-23.29
10.19	-60.34	-22.29
10.23	-60.31	-21.28
10.27	-60.27	-20.25
10.31	-60.23	-19.20
10.34	-60.19	-18.13
10.38	-60.15	-17.04
10.42	-60.11	-15.94
10.46	-60.07	-14.82
10.50	-60.02	-13.69
10.54	-59.98	-12.55
10.58	-59.93	-11.40
10.62	-59.89	-10.24
10.66	-59.84	-9.07
10.70	-59.80	-7.89
10.74	-59.75	-6.71
10.78	-59.70	-5.53
10.82	-59.65	-4.34
10.86	-59.60	-3.16
10.90	-59.55	-1.97
10.95	-59.50	-0.79
10.99	-59.45	0.39
11.03	-59.40	1.57
11.07	-59.35	2.73
11.11	-59.30	3.89
11.15	-59.25	5.04
11.20	-59.20	6.17
11.24	-59.15	7.29
11.28	-59.11	8.39
11.32	-59.06	9.48
11.37	-59.01	10.54
11.41	-58.96	11.58
11.45	-58.91	12.60
11.50	-58.87	13.59
11.54	-58.82	14.56
11.58	-58.77	15.49
11.63	-58.73	16.39
11.67	-58.69	17.25
11.71	-58.65	18.08
11.76	-58.60	18.86
11.80	-58.56	19.61
11.85	-58.53	20.32
11.89	-58.49	20.99
11.94	-58.45	21.62
11.98	-58.42	22.21
12.03	-58.38	22.76
12.07	-58.35	23.28
12.12	-58.32	23.75
12.16	-58.29	24.19
12.21	-58.26	24.59
12.26	-58.23	24.96
12.30	-58.20	25.29
12.35	-58.17	25.58
12.39	-58.15	25.84
12.44	-58.12	26.06
12.49	-58.10	26.25
12.54	-58.08	26.41
12.58	-58.05	26.53
12.63	-58.03	26.62
12.68	-58.01	26.67
12.73	-57.99	26.69
12.77	-57.97	26.69
12.82	-57.96	26.65
12.87	-57.94	26.58
12.92	-57.92	26.48
12.97	-57.90	26.35
13.02	-57.89	26.19
13.07	-57.87	26.01
13.12	-57.86	25.80
13.16	-57.84	25.56
13.21	-57.83	25.30
13.26	-57.82	25.01
13.31	-57.80	24.70
13.36	-57.79	24.36
13.41	-57.78	24.00
13.47	-57.77	23.62
13.52	-57.76	23.22
13.57	-57.74	22.80
13.62	-57.73	22.36
13.67	-57.72	21.90
13.72	-57.71	21.43
13.77	-57.70	20.94
13.83	-57.69	20.43
13.88	-57.68	19.91
13.93	-57.67	19.37
13.98	-57.65	18.83
14.04	-57.64	18.27
14.09	-57.63	17.70
14.14	-57.62	17.13
14.19	-57.60	16.54
14.25	-57.59	15.95
14.30	-57.58	15.36
14.36	-57.56	14.76
14.41	-57.55	14.16
14.46	-57.53	13.56
14.52	-57.51	12.95
14.57	-57.50	12.35
14.63	-57.48	11.75
14.68	-57.46	11.16
14.74	-57.44	10.57
14.80	-57.42	9.99
14.85	-57.40	9.41
14.91	-57.37	8.83
14.96	-57.35	8.26
15.02	-57.32	7.70
15.08	-57.30	7.14
15.13	-57.27	6.59
15.19	-57.24	6.04
15.25	-57.21	5.49
15.31	-57.18	4.95
15.36	-57.15	4.42
15.42	-57.12	3.89
15.48	-57.08	3.36
15.54	-57.05	2.85
15.60	-57.01	2.33
15.66	-56.97	1.82
15.71	-56.94	1.32
15.77	-56.90	0.82
15.83	-56.85	0.33
15.89	-56.81	-0.16
15.95	-56.77	-0.65
16.01	-56.72	-1.12
16.07	-56.68	-1.60
16.13	-56.63	-2.06
16.19	-56.58	-2.53
16.26	-56.53	-2.99
16.32	-56.48	-3.44
16.38	-56.43	-3.88
16.44	-56.37	-4.33
16.50	-56.32	-4.76
16.56	-56.26	-5.20
16.63	-56.21	-5.62
16.69	-56.15	-6.04
16.75	-56.08	-6.46
16.82	-56.02	-6.87
16.88	-55.96	-7.28
16.94	-55.89	-7.68
17.01	-55.83	-8.07
17.07	-55.76	-8.46
17.14	-55.69	-8.85
17.20	-55.62	-9.23
17.27	-55.55	-9.61
17.33	-55.47	-9.98
17.40	-55.40	-10.34
17.46	-55.32	-10.70
17.53	-55.24	-11.06
17.59	-55.16	-11.41
17.66	-55.08	-11.76
17.73	-54.99	-12.10
17.79	-54.91	-12.43
17.86	-54.82	-12.76
17.93	-54.73	-13.09
18.00	-54.64	-13.41
18.06	-54.55	-13.72
18.13	-54.46	-14.03
18.20	-54.36	-14.34
18.27	-54.27	-14.64
18.34	-54.17	-14.93
18.41	-54.07	-15.22
18.48	-53.97	-15.50
18.55	-53.87	-15.78
18.62	-53.77	-16.06
18.69	-53.67	-16.32
18.76	-53.57	-16.58
18.83	-53.47	-16.84
18.90	-53.36	-17.09
18.97	-53.26	-17.33
19.04	-53.15	-17.57
19.11	-53.04	-17.81
19.19	-52.94	-18.03
19.26	-52.83	-18.25
19.33	-52.72	-18.47
19.40	-52.61	-18.68
19.48	-52.50	-18.88
19.55	-52.40	-19.08
19.62	-52.29	-19.27
19.70	-52.18	-19.46
19.77	-52.07	-19.64
19.85	-51.96	-19.81
19.92	-51.85	-19.98
20.00	-51.74	-20.14
20.07	-51.64	-20.29
20.15	-51.53	-20.44
20.22	-51.42	-20.58
20.30	-51.32	-20.72
20.38	-51.21	-20.84
20.45	-51.11	-20.97
20.53	-51.00	-21.08
20.61	-50.90	-21.19
20.69	-50.80	-21.30
20.77	-50.70	-21.39
20.84	-50.60	-21.49
20.92	-50.50	-21.57
21.00	-50.40	-21.65
21.08	-50.30	-21.73
21.16	-50.20	-21.80
21.24	-50.10	-21.87
21.32	-50.01	-21.93
21.40	-49.91	-21.99
21.48	-49.82	-22.05
21.56	-49.72	-22.10
21.64	-49.63	-22.15
21.73	-49.53	-22.20
21.81	-49.44	-22.24
21.89	-49.34	-22.29
21.97	-49.25	-22.33
22.06	-49.15	-22.37
22.14	-49.06	-22.41
22.22	-48.97	-22.45
22.31	-48.87	-22.49
22.39	-48.78	-22.53
22.47	-48.68	-22.58
22.56	-48.59	-22.62
22.64	-48.49	-22.66
22.73	-48.39	-22.71
22.82	-48.30	-22.76
22.90	-48.20	-22.81
22.99	-48.10	-22.87
23.07	-48.00	-22.93
23.16	-47.90	-23.00
23.25	-47.80	-23.07
23.34	-47.70	-23.14
23.43	-47.59	-23.22
23.51	-47.49	-23.31
23.60	-47.38	-23.41
23.69	-47.27	-23.51
23.78	-47.17	-23.61
23.87	-47.06	-23.73
23.96	-46.95	-23.85
24.05	-46.83	-23.97
24.14	-46.72	-24.10
24.23	-46.61	-24.24
24.32	-46.49	-24.38
24.42	-46.38	-24.53
24.51	-46.26	-24.68
24.60	-46.14	-24.84
24.69	-46.02	-25.00
24.79	-45.91	-25.16
24.88	-45.79	-25.33
24.97	-45.67	-25.51
25.07	-45.55	-25.68
25.16	-45.43	-25.87
25.26	-45.31	-26.05
25.35	-45.19	-26.24
25.45	-45.07	-26.43
25.54	-44.95	-26.62
25.64	-44.82	-26.82
25.74	-44.70	-27.02
25.84	-44.58	-27.22
25.93	-44.46	-27.42
26.03	-44.34	-27.62
26.13	-44.22	-27.83
26.23	-44.10	-28.04
26.33	-43.98	-28.24
26.43	-43.86	-28.45
26.53	-43.75	-28.66
26.63	-43.63	-28.87
26.73	-43.51	-29.07
26.83	-43.40	-29.28
26.93	-43.28	-29.50
27.03	-43.17	-29.71
27.13	-43.05	-29.92
27.23	-42.94	-30.14
27.34	-42.82	-30.36
27.44	-42.71	-30.58
27.54	-42.59	-30.80
27.65	-42.48	-31.03
27.75	-42.37	-31.26
27.86	-42.25	-31.50
27.96	-42.14	-31.73
28.07	-42.03	-31.97
28.17	-41.91	-32.22
28.28	-41.80	-32.47
28.39	-41.68	-32.73
28.49	-41.57	-32.99
28.60	-41.46	-33.25
28.71	-41.34	-33.53
28.82	-41.22	-33.81
28.93	-41.11	-34.09
29.03	-40.99	-34.38
29.14	-40.87	-34.68
29.25	-40.75	-34.99
29.36	-40.63	-35.31
29.48	-40.51	-35.63
29.59	-40.39	-35.96
29.70	-40.27	-36.30
29.81	-40.15	-36.65
29.92	-40.02	-37.01
30.04	-39.90	-37.37
30.15	-39.77	-37.75
30.26	-39.65	-38.13
30.38	-39.52	-38.52
30.49	-39.39	-38.92
30.61	-39.26	-39.33
30.72	-39.14	-39.75
30.84	-39.01	-40.18
30.95	-38.87	-40.61
31.07	-38.74	-41.06
31.19	-38.61	-41.51
31.31	-38.48	-41.98
31.42	-38.35	-42.45
31.54	-38.21	-42.94
31.66	-38.08	-43.43
31.78	-37.94	-43.93
31.90	-37.81	-44.45
32.02	-37.67	-44.97
32.14	-37.53	-45.51
32.26	-37.40	-46.05
32.39	-37.26	-46.60
32.51	-37.12	-47.17
32.63	-36.98	-47.74
