Freq[Hz]	[dBV]	Phase[Deg]
10.00	-68.60	-0.15
10.04	-68.57	-0.03
10.08	-68.54	0.12
10.11	-68.50	0.29
10.15	-68.47	0.48
10.19	-68.43	0.69
10.23	-68.39	0.92
10.27	-68.34	1.18
10.31	-68.30	1.45
10.34	-68.26	1.74
10.38	-68.21	2.05
10.42	-68.16	2.38
10.46	-68.11	2.72
10.50	-68.06	3.08
10.54	-68.00	3.45
10.58	-67.95	3.83
10.62	-67.89	4.23
10.66	-67.83	4.64
10.70	-67.77	5.06
10.74	-67.71	5.48
10.78	-67.65	5.92
10.82	-67.59	6.36
10.86	-67.52	6.81
10.90	-67.45	7.26
10.95	-67.39	7.71
10.99	-67.32	8.17
11.03	-67.25	8.63
11.07	-67.18	9.09
11.11	-67.11	9.54
11.15	-67.03	10.00
11.20	-66.96	10.45
11.24	-66.88	10.89
11.28	-66.81	11.32
11.32	-66.73	11.75
11.37	-66.66	12.17
11.41	-66.58	12.57
11.45	-66.50	12.96
11.50	-66.42	13.34
11.54	-66.34	13.70
11.58	-66.26	14.04
11.63	-66.18	14.37
11.67	-66.10	14.67
11.71	-66.02	14.94
11.76	-65.94	15.20
11.80	-65.86	15.42
11.85	-65.78	15.63
11.89	-65.70	15.81
11.94	-65.62	15.96
11.98	-65.54	16.09
12.03	-65.46	16.20
12.07	-65.38	16.29
12.12	-65.30	16.35
12.16	-65.22	16.40
12.21	-65.14	16.42
12.26	-65.06	16.42
12.30	-64.99	16.41
12.35	-64.91	16.37
12.39	-64.84	16.31
12.44	-64.76	16.24
12.49	-64.69	16.15
12.54	-64.62	16.04
12.58	-64.55	15.92
12.63	-64.49	15.78
12.68	-64.42	15.63
12.73	-64.36	15.46
12.77	-64.30	15.28
12.82	-64.24	15.09
12.87	-64.18	14.88
12.92	-64.12	14.66
12.97	-64.07	14.44
13.02	-64.02	14.20
13.07	-63.97	13.95
13.12	-63.93	13.70
13.16	-63.89	13.44
13.21	-63.85	13.18
13.26	-63.82	12.90
13.31	-63.79	12.63
13.36	-63.76	12.35
13.41	-63.74	12.07
13.47	-63.72	11.79
13.52	-63.70	11.51
13.57	-63.69	11.22
13.62	-63.68	10.94
13.67	-63.68	10.67
13.72	-63.68	10.40
13.77	-63.69	10.13
13.83	-63.70	9.87
13.88	-63.72	9.62
13.93	-63.74	9.37
13.98	-63.77	9.14
14.04	-63.81	8.91
14.09	-63.85	8.70
14.14	-63.90	8.51
14.19	-63.95	8.33
14.25	-64.01	8.16
14.30	-64.08	8.02
14.36	-64.16	7.89
14.41	-64.24	7.79
14.46	-64.33	7.71
14.52	-64.43	7.65
14.57	-64.53	7.62
14.63	-64.65	7.61
14.68	-64.77	7.64
14.74	-64.90	7.69
14.80	-65.04	7.78
14.85	-65.19	7.90
14.91	-65.34	8.05
14.96	-65.50	8.24
15.02	-65.67	8.46
15.08	-65.85	8.72
15.13	-66.03	9.02
15.19	-66.22	9.36
15.25	-66.41	9.75
15.31	-66.61	10.17
15.36	-66.81	10.64
15.42	-67.02	11.16
15.48	-67.24	11.72
15.54	-67.45	12.33
15.60	-67.67	12.99
15.66	-67.90	13.71
15.71	-68.12	14.47
15.77	-68.35	15.30
15.83	-68.58	16.17
15.89	-68.81	17.11
15.95	-69.05	18.10
16.01	-69.28	19.16
16.07	-69.51	20.28
16.13	-69.74	21.47
16.19	-69.98	22.72
16.26	-70.21	24.04
16.32	-70.44	25.43
16.38	-70.66	26.89
16.44	-70.88	28.43
16.50	-71.10	30.04
16.56	-71.32	31.73
16.63	-71.53	33.50
16.69	-71.73	35.35
16.75	-71.93	37.29
16.82	-72.13	39.31
16.88	-72.31	41.43
16.94	-72.49	43.63
17.01	-72.66	45.92
17.07	-72.82	48.31
17.14	-72.97	50.80
17.20	-73.11	53.38
17.27	-73.24	56.07
17.33	-73.36	58.86
17.40	-73.46	61.76
17.46	-73.55	64.77
17.53	-73.63	67.89
17.59	-73.69	71.12
17.66	-73.74	74.47
17.73	-73.77	77.93
17.79	-73.79	81.48
17.86	-73.80	85.13
17.93	-73.79	88.86
18.00	-73.77	92.67
18.06	-73.73	96.54
18.13	-73.69	100.47
18.20	-73.63	104.46
18.27	-73.56	108.48
18.34	-73.48	112.54
18.41	-73.40	116.62
18.48	-73.30	120.72
18.55	-73.20	124.81
18.62	-73.09	128.91
18.69	-72.97	132.98
18.76	-72.84	137.03
18.83	-72.71	141.04
18.90	-72.58	145.00
18.97	-72.44	148.91
19.04	-72.30	152.74
19.11	-72.16	156.49
19.19	-72.02	160.14
19.26	-71.87	163.69
19.33	-71.73	167.12
19.40	-71.58	170.42
19.48	-71.44	173.57
19.55	-71.30	176.57
19.62	-71.16	179.39
