Freq[Hz]	[dBV]	Phase[Deg]
10.00	-70.18	-171.00
10.04	-70.37	-168.88
10.08	-70.56	-166.77
10.11	-70.76	-164.66
10.15	-70.95	-162.55
10.19	-71.14	-160.45
10.23	-71.33	-158.35
10.27	-71.52	-156.26
10.31	-71.71	-154.18
10.34	-71.90	-152.10
10.38	-72.09	-150.04
10.42	-72.27	-147.99
10.46	-72.46	-145.95
10.50	-72.64	-143.93
10.54	-72.82	-141.93
10.58	-72.99	-139.95
10.62	-73.17	-137.98
10.66	-73.34	-136.04
10.70	-73.50	-134.12
10.74	-73.67	-132.23
10.78	-73.83	-130.37
10.82	-73.98	-128.54
10.86	-74.13	-126.73
10.90	-74.27	-124.97
10.95	-74.41	-123.23
10.99	-74.55	-121.54
11.03	-74.67	-119.88
11.07	-74.80	-118.27
11.11	-74.91	-116.70
11.15	-75.02	-115.17
11.20	-75.12	-113.69
11.24	-75.21	-112.27
11.28	-75.30	-110.89
11.32	-75.37	-109.57
11.37	-75.44	-108.31
11.41	-75.50	-107.11
11.45	-75.55	-105.97
11.50	-75.58	-104.90
11.54	-75.61	-103.89
11.58	-75.63	-102.95
11.63	-75.64	-102.09
11.67	-75.63	-101.30
11.71	-75.61	-100.59
11.76	-75.58	-99.96
11.80	-75.54	-99.41
11.85	-75.49	-98.93
11.89	-75.42	-98.54
11.94	-75.34	-98.22
11.98	-75.25	-97.97
12.03	-75.15	-97.80
12.07	-75.04	-97.69
12.12	-74.92	-97.66
12.16	-74.79	-97.69
12.21	-74.64	-97.78
12.26	-74.49	-97.94
12.30	-74.33	-98.15
12.35	-74.16	-98.43
12.39	-73.98	-98.76
12.44	-73.80	-99.15
12.49	-73.61	-99.58
12.54	-73.40	-100.07
12.58	-73.20	-100.60
12.63	-72.98	-101.18
12.68	-72.76	-101.79
12.73	-72.54	-102.45
12.77	-72.30	-103.15
12.82	-72.07	-103.87
12.87	-71.83	-104.63
12.92	-71.58	-105.42
12.97	-71.33	-106.23
13.02	-71.08	-107.07
13.07	-70.83	-107.92
13.12	-70.57	-108.79
13.16	-70.32	-109.67
13.21	-70.06	-110.56
13.26	-69.80	-111.46
13.31	-69.54	-112.36
13.36	-69.29	-113.26
13.41	-69.03	-114.15
13.47	-68.78	-115.04
13.52	-68.53	-115.91
13.57	-68.28	-116.77
13.62	-68.04	-117.61
13.67	-67.80	-118.43
13.72	-67.56	-119.21
13.77	-67.34	-119.97
13.83	-67.12	-120.69
13.88	-66.90	-121.36
13.93	-66.70	-122.00
13.98	-66.50	-122.58
14.04	-66.31	-123.11
14.09	-66.13	-123.57
14.14	-65.97	-123.98
14.19	-65.81	-124.31
14.25	-65.67	-124.57
14.30	-65.55	-124.75
14.36	-65.43	-124.85
14.41	-65.33	-124.86
14.46	-65.25	-124.77
14.52	-65.19	-124.58
14.57	-65.14	-124.28
14.63	-65.11	-123.87
14.68	-65.11	-123.34
14.74	-65.12	-122.69
14.80	-65.15	-121.92
14.85	-65.20	-121.04
14.91	-65.27	-120.04
14.96	-65.36	-118.93
15.02	-65.46	-117.72
15.08	-65.59	-116.39
15.13	-65.72	-114.96
15.19	-65.88	-113.43
15.25	-66.05	-111.80
15.31	-66.23	-110.07
15.36	-66.43	-108.24
15.42	-66.64	-106.33
15.48	-66.86	-104.32
15.54	-67.10	-102.23
15.60	-67.34	-100.05
15.66	-67.60	-97.79
15.71	-67.87	-95.46
15.77	-68.14	-93.05
15.83	-68.42	-90.57
15.89	-68.71	-88.02
15.95	-69.01	-85.41
16.01	-69.31	-82.73
16.07	-69.62	-80.00
16.13	-69.93	-77.22
16.19	-70.25	-74.38
16.26	-70.56	-71.50
16.32	-70.88	-68.57
16.38	-71.20	-65.61
16.44	-71.51	-62.62
16.50	-71.83	-59.59
16.56	-72.14	-56.54
16.63	-72.45	-53.47
16.69	-72.75	-50.38
16.75	-73.05	-47.28
16.82	-73.34	-44.17
16.88	-73.62	-41.06
16.94	-73.89	-37.96
17.01	-74.15	-34.86
17.07	-74.40	-31.77
17.14	-74.64	-28.71
17.20	-74.86	-25.66
17.27	-75.07	-22.65
17.33	-75.26	-19.67
17.40	-75.43	-16.74
17.46	-75.58	-13.85
17.53	-75.70	-11.01
17.59	-75.81	-8.23
17.66	-75.89	-5.52
17.73	-75.95	-2.87
17.79	-75.99	-0.28
17.86	-76.01	2.23
17.93	-76.00	4.68
18.00	-75.98	7.06
18.06	-75.94	9.37
18.13	-75.88	11.61
18.20	-75.80	13.77
18.27	-75.71	15.86
18.34	-75.60	17.88
18.41	-75.48	19.82
18.48	-75.34	21.69
18.55	-75.20	23.48
18.62	-75.04	25.19
18.69	-74.88	26.82
18.76	-74.71	28.36
18.83	-74.53	29.83
18.90	-74.34	31.21
18.97	-74.15	32.51
19.04	-73.96	33.73
19.11	-73.76	34.85
19.19	-73.56	35.89
19.26	-73.37	36.84
19.33	-73.17	37.70
19.40	-72.98	38.46
19.48	-72.80	39.14
19.55	-72.62	39.72
19.62	-72.45	40.20
19.70	-72.29	40.59
19.77	-72.14	40.87
19.85	-72.00	41.06
19.92	-71.88	41.15
20.00	-71.77	41.14
20.07	-71.68	41.02
