Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.06	-69.52
10.04	-60.93	-70.31
10.08	-60.80	-71.09
10.11	-60.66	-71.87
10.15	-60.52	-72.64
10.19	-60.37	-73.42
10.23	-60.23	-74.20
10.27	-60.08	-74.97
10.31	-59.92	-75.74
10.34	-59.77	-76.52
10.38	-59.61	-77.29
10.42	-59.44	-78.06
10.46	-59.28	-78.84
10.50	-59.11	-79.62
10.54	-58.95	-80.39
10.58	-58.78	-81.18
10.62	-58.60	-81.96
10.66	-58.43	-82.75
10.70	-58.26	-83.54
10.74	-58.09	-84.34
10.78	-57.91	-85.14
10.82	-57.74	-85.95
10.86	-57.56	-86.76
10.90	-57.39	-87.58
10.95	-57.22	-88.41
10.99	-57.04	-89.25
11.03	-56.87	-90.09
11.07	-56.70	-90.94
11.11	-56.53	-91.81
11.15	-56.37	-92.68
11.20	-56.21	-93.56
11.24	-56.05	-94.46
11.28	-55.89	-95.37
11.32	-55.74	-96.29
11.37	-55.59	-97.22
11.41	-55.44	-98.17
11.45	-55.30	-99.14
11.50	-55.16	-100.12
11.54	-55.03	-101.11
11.58	-54.91	-102.13
11.63	-54.79	-103.16
11.67	-54.68	-104.21
11.71	-54.57	-105.28
11.76	-54.47	-106.37
11.80	-54.38	-107.49
11.85	-54.30	-108.62
11.89	-54.22	-109.77
11.94	-54.15	-110.93
11.98	-54.09	-112.12
12.03	-54.03	-113.31
12.07	-53.98	-114.53
12.12	-53.94	-115.75
12.16	-53.90	-116.99
12.21	-53.87	-118.24
12.26	-53.85	-119.50
12.30	-53.84	-120.76
12.35	-53.83	-122.04
12.39	-53.82	-123.32
12.44	-53.83	-124.61
12.49	-53.83	-125.90
12.54	-53.85	-127.19
12.58	-53.87	-128.48
12.63	-53.90	-129.78
12.68	-53.93	-131.07
12.73	-53.96	-132.36
12.77	-54.01	-133.65
12.82	-54.06	-134.93
12.87	-54.11	-136.20
12.92	-54.17	-137.46
12.97	-54.23	-138.72
13.02	-54.30	-139.96
13.07	-54.37	-141.19
13.12	-54.44	-142.40
13.16	-54.53	-143.60
13.21	-54.61	-144.78
13.26	-54.70	-145.93
13.31	-54.79	-147.07
13.36	-54.89	-148.18
13.41	-54.99	-149.27
13.47	-55.09	-150.32
13.52	-55.19	-151.35
13.57	-55.30	-152.35
13.62	-55.41	-153.31
13.67	-55.53	-154.23
13.72	-55.64	-155.12
13.77	-55.76	-155.97
13.83	-55.88	-156.77
13.88	-56.00	-157.53
13.93	-56.13	-158.24
13.98	-56.25	-158.91
14.04	-56.37	-159.52
14.09	-56.50	-160.07
14.14	-56.63	-160.57
14.19	-56.75	-161.01
14.25	-56.88	-161.39
14.30	-57.00	-161.71
14.36	-57.13	-161.95
14.41	-57.25	-162.13
14.46	-57.38	-162.24
14.52	-57.50	-162.26
14.57	-57.62	-162.21
14.63	-57.74	-162.08
14.68	-57.85	-161.87
14.74	-57.96	-161.57
14.80	-58.07	-161.18
14.85	-58.18	-160.72
14.91	-58.29	-160.18
14.96	-58.39	-159.56
15.02	-58.49	-158.86
15.08	-58.59	-158.09
15.13	-58.69	-157.25
15.19	-58.78	-156.34
15.25	-58.88	-155.37
15.31	-58.97	-154.33
15.36	-59.05	-153.22
15.42	-59.14	-152.06
15.48	-59.22	-150.84
15.54	-59.30	-149.56
15.60	-59.38	-148.23
15.66	-59.46	-146.85
15.71	-59.54	-145.42
15.77	-59.61	-143.95
15.83	-59.68	-142.43
15.89	-59.75	-140.88
15.95	-59.82	-139.29
16.01	-59.89	-137.67
16.07	-59.95	-136.01
16.13	-60.01	-134.33
16.19	-60.08	-132.63
16.26	-60.14	-130.91
16.32	-60.19	-129.16
16.38	-60.25	-127.41
16.44	-60.31	-125.64
16.50	-60.36	-123.87
16.56	-60.41	-122.10
16.63	-60.46	-120.33
16.69	-60.52	-118.56
16.75	-60.56	-116.80
16.82	-60.61	-115.06
16.88	-60.66	-113.33
16.94	-60.71	-111.62
17.01	-60.75	-109.94
17.07	-60.80	-108.29
17.14	-60.84	-106.68
17.20	-60.88	-105.10
17.27	-60.92	-103.57
17.33	-60.97	-102.09
17.40	-61.01	-100.66
17.46	-61.05	-99.29
17.53	-61.09	-97.99
17.59	-61.13	-96.75
17.66	-61.17	-95.59
17.73	-61.21	-94.50
