Freq[Hz]	[dBV]	Phase[Deg]
10.00	-70.62	-68.61
10.04	-70.67	-71.16
10.08	-70.72	-73.74
10.11	-70.76	-76.34
10.15	-70.81	-78.95
10.19	-70.85	-81.58
10.23	-70.89	-84.22
10.27	-70.94	-86.87
10.31	-70.97	-89.52
10.34	-71.01	-92.17
10.38	-71.05	-94.82
10.42	-71.09	-97.46
10.46	-71.12	-100.09
10.50	-71.15	-102.71
10.54	-71.18	-105.30
10.58	-71.21	-107.88
10.62	-71.24	-110.42
10.66	-71.27	-112.94
10.70	-71.29	-115.42
10.74	-71.32	-117.86
10.78	-71.34	-120.26
10.82	-71.36	-122.61
10.86	-71.38	-124.90
10.90	-71.39	-127.14
10.95	-71.41	-129.31
10.99	-71.42	-131.42
11.03	-71.43	-133.45
11.07	-71.44	-135.40
11.11	-71.45	-137.27
11.15	-71.45	-139.05
11.20	-71.46	-140.74
11.24	-71.46	-142.33
11.28	-71.46	-143.81
11.32	-71.46	-145.18
11.37	-71.45	-146.43
11.41	-71.45	-147.55
11.45	-71.44	-148.55
11.50	-71.43	-149.41
11.54	-71.42	-150.13
11.58	-71.40	-150.70
11.63	-71.39	-151.11
11.67	-71.37	-151.36
11.71	-71.35	-151.44
11.76	-71.32	-151.35
11.80	-71.30	-151.08
11.85	-71.27	-150.64
11.89	-71.24	-150.03
11.94	-71.21	-149.25
11.98	-71.17	-148.31
12.03	-71.14	-147.22
12.07	-71.10	-145.96
12.12	-71.06	-144.56
12.16	-71.02	-143.01
12.21	-70.97	-141.31
12.26	-70.92	-139.47
12.30	-70.88	-137.50
12.35	-70.83	-135.39
12.39	-70.77	-133.16
12.44	-70.72	-130.80
12.49	-70.66	-128.33
12.54	-70.61	-125.74
12.58	-70.55	-123.04
12.63	-70.49	-120.23
12.68	-70.43	-117.33
12.73	-70.36	-114.33
12.77	-70.30	-111.24
12.82	-70.23	-108.07
12.87	-70.16	-104.82
12.92	-70.10	-101.50
12.97	-70.03	-98.11
13.02	-69.95	-94.66
13.07	-69.88	-91.15
13.12	-69.81	-87.60
13.16	-69.74	-84.00
