Freq[Hz]	[dBV]	Phase[Deg]
10.00	-61.53	-179.65
10.04	-61.53	-179.39
10.08	-61.53	-179.13
10.11	-61.53	-178.87
10.15	-61.53	-178.60
10.19	-61.53	-178.34
10.23	-61.53	-178.07
10.27	-61.53	-177.79
10.31	-61.52	-177.51
10.34	-61.52	-177.22
10.38	-61.51	-176.91
10.42	-61.50	-176.60
10.46	-61.49	-176.27
10.50	-61.48	-175.92
10.54	-61.48	-175.55
10.58	-61.46	-175.17
10.62	-61.45	-174.76
10.66	-61.44	-174.34
10.70	-61.43	-173.88
10.74	-61.42	-173.40
10.78	-61.41	-172.89
10.82	-61.39	-172.34
10.86	-61.38	-171.77
10.90	-61.37	-171.16
10.95	-61.36	-170.51
10.99	-61.34	-169.82
11.03	-61.33	-169.08
11.07	-61.32	-168.31
11.11	-61.31	-167.48
11.15	-61.30	-166.61
11.20	-61.29	-165.68
11.24	-61.28	-164.70
11.28	-61.27	-163.66
11.32	-61.26	-162.57
11.37	-61.25	-161.41
11.41	-61.25	-160.18
11.45	-61.24	-158.89
11.50	-61.24	-157.52
11.54	-61.23	-156.09
11.58	-61.23	-154.57
11.63	-61.23	-152.98
11.67	-61.24	-151.31
11.71	-61.24	-149.55
11.76	-61.25	-147.70
11.80	-61.26	-145.76
11.85	-61.27	-143.74
11.89	-61.28	-141.63
11.94	-61.29	-139.44
11.98	-61.31	-137.18
12.03	-61.33	-134.83
12.07	-61.35	-132.41
12.12	-61.37	-129.92
12.16	-61.40	-127.35
12.21	-61.42	-124.72
12.26	-61.45	-122.02
12.30	-61.48	-119.25
12.35	-61.51	-116.43
12.39	-61.55	-113.55
12.44	-61.58	-110.61
12.49	-61.62	-107.61
12.54	-61.66	-104.57
12.58	-61.70	-101.48
12.63	-61.75	-98.34
12.68	-61.79	-95.17
12.73	-61.84	-91.95
12.77	-61.89	-88.70
12.82	-61.94	-85.42
12.87	-62.00	-82.11
12.92	-62.05	-78.77
12.97	-62.11	-75.41
13.02	-62.17	-72.03
13.07	-62.23	-68.64
13.12	-62.29	-65.24
13.16	-62.36	-61.83
13.21	-62.43	-58.42
13.26	-62.50	-55.00
13.31	-62.57	-51.60
13.36	-62.64	-48.20
13.41	-62.71	-44.81
13.47	-62.79	-41.45
13.52	-62.87	-38.10
13.57	-62.95	-34.78
13.62	-63.03	-31.50
13.67	-63.11	-28.25
13.72	-63.19	-25.04
13.77	-63.28	-21.87
13.83	-63.37	-18.76
13.88	-63.46	-15.70
13.93	-63.55	-12.71
13.98	-63.64	-9.78
14.04	-63.74	-6.93
14.09	-63.83	-4.15
14.14	-63.93	-1.46
14.19	-64.03	1.15
14.25	-64.13	3.66
14.30	-64.23	6.06
14.36	-64.34	8.36
14.41	-64.44	10.54
14.46	-64.55	12.61
14.52	-64.66	14.54
14.57	-64.76	16.35
14.63	-64.88	18.01
14.68	-64.99	19.52
14.74	-65.10	20.88
14.80	-65.21	22.10
14.85	-65.33	23.17
14.91	-65.45	24.10
14.96	-65.56	24.88
15.02	-65.68	25.53
15.08	-65.80	26.04
15.13	-65.92	26.41
15.19	-66.04	26.65
15.25	-66.16	26.76
15.31	-66.28	26.74
15.36	-66.40	26.59
15.42	-66.53	26.32
15.48	-66.65	25.93
15.54	-66.77	25.42
15.60	-66.90	24.80
15.66	-67.02	24.06
15.71	-67.14	23.21
15.77	-67.27	22.26
15.83	-67.39	21.21
15.89	-67.51	20.05
15.95	-67.63	18.80
16.01	-67.75	17.45
16.07	-67.88	16.01
16.13	-68.00	14.49
16.19	-68.12	12.88
16.26	-68.24	11.20
16.32	-68.35	9.44
16.38	-68.47	7.61
16.44	-68.59	5.71
16.50	-68.70	3.75
16.56	-68.81	1.73
16.63	-68.92	-0.35
16.69	-69.03	-2.47
16.75	-69.14	-4.64
16.82	-69.25	-6.85
16.88	-69.35	-9.10
16.94	-69.45	-11.38
17.01	-69.55	-13.68
17.07	-69.64	-16.00
17.14	-69.74	-18.34
17.20	-69.83	-20.69
17.27	-69.92	-23.04
17.33	-70.00	-25.39
17.40	-70.08	-27.74
17.46	-70.16	-30.07
17.53	-70.24	-32.38
17.59	-70.31	-34.67
17.66	-70.38	-36.92
17.73	-70.44	-39.15
17.79	-70.50	-41.36
17.86	-70.55	-43.54
17.93	-70.60	-45.71
18.00	-70.65	-47.85
18.06	-70.70	-49.98
18.13	-70.73	-52.10
18.20	-70.77	-54.21
18.27	-70.80	-56.32
18.34	-70.83	-58.42
18.41	-70.85	-60.52
18.48	-70.87	-62.62
18.55	-70.88	-64.73
18.62	-70.89	-66.84
18.69	-70.90	-68.97
18.76	-70.90	-71.12
18.83	-70.89	-73.28
18.90	-70.88	-75.46
18.97	-70.87	-77.67
19.04	-70.85	-79.91
19.11	-70.83	-82.18
19.19	-70.80	-84.49
19.26	-70.77	-86.83
19.33	-70.74	-89.23
19.40	-70.70	-91.67
19.48	-70.65	-94.16
19.55	-70.60	-96.71
19.62	-70.54	-99.32
19.70	-70.48	-102.00
19.77	-70.42	-104.74
19.85	-70.35	-107.56
19.92	-70.27	-110.46
20.00	-70.19	-113.44
20.07	-70.10	-116.51
20.15	-70.01	-119.68
20.22	-69.91	-122.94
20.30	-69.81	-126.30
20.38	-69.71	-129.78
20.45	-69.59	-133.36
20.53	-69.47	-137.07
20.61	-69.35	-140.90
20.69	-69.22	-144.84
20.77	-69.09	-148.89
20.84	-68.96	-153.04
20.92	-68.82	-157.28
21.00	-68.68	-161.61
21.08	-68.54	-166.02
21.16	-68.40	-170.50
21.24	-68.25	-175.04
21.32	-68.11	-179.63
21.40	-67.97	175.72
21.48	-67.84	171.04
21.56	-67.71	166.34
21.64	-67.58	161.61
21.73	-67.45	156.86
21.81	-67.33	152.12
21.89	-67.22	147.38
21.97	-67.12	142.67
22.06	-67.02	137.98
22.14	-66.94	133.32
22.22	-66.86	128.72
22.31	-66.80	124.17
22.39	-66.75	119.69
22.47	-66.71	115.29
22.56	-66.68	110.98
22.64	-66.67	106.78
22.73	-66.68	102.69
22.82	-66.71	98.73
22.90	-66.75	94.91
22.99	-66.82	91.24
23.07	-66.90	87.73
23.16	-67.01	84.41
23.25	-67.14	81.27
23.34	-67.30	78.34
23.43	-67.48	75.63
23.51	-67.69	73.14
23.60	-67.92	70.89
23.69	-68.18	68.87
23.78	-68.47	67.07
23.87	-68.78	65.48
23.96	-69.11	64.10
24.05	-69.46	62.93
24.14	-69.83	61.96
24.23	-70.22	61.18
24.32	-70.63	60.59
24.42	-71.05	60.18
24.51	-71.49	59.94
24.60	-71.94	59.88
24.69	-72.40	59.97
24.79	-72.87	60.22
24.88	-73.35	60.62
24.97	-73.84	61.16
25.07	-74.34	61.83
25.16	-74.84	62.63
25.26	-75.34	63.55
25.35	-75.84	64.58
25.45	-76.34	65.71
25.54	-76.84	66.93
25.64	-77.33	68.24
25.74	-77.82	69.62
25.84	-78.29	71.07
25.93	-78.76	72.58
26.03	-79.22	74.14
26.13	-79.66	75.73
26.23	-80.09	77.36
26.33	-80.50	79.00
26.43	-80.89	80.66
26.53	-81.26	82.31
26.63	-81.60	83.97
26.73	-81.93	85.62
26.83	-82.24	87.27
26.93	-82.53	88.90
27.03	-82.80	90.53
27.13	-83.05	92.14
27.23	-83.29	93.73
27.34	-83.51	95.30
27.44	-83.72	96.85
27.54	-83.90	98.36
27.65	-84.08	99.85
27.75	-84.24	101.30
27.86	-84.39	102.71
27.96	-84.52	104.08
28.07	-84.64	105.40
28.17	-84.76	106.67
28.28	-84.86	107.89
28.39	-84.95	109.04
28.49	-85.03	110.14
28.60	-85.11	111.17
28.71	-85.18	112.13
28.82	-85.24	113.01
28.93	-85.29	113.82
29.03	-85.35	114.54
29.14	-85.39	115.17
29.25	-85.44	115.71
29.36	-85.48	116.15
29.48	-85.52	116.49
29.59	-85.57	116.75
29.70	-85.61	116.93
29.81	-85.65	117.04
29.92	-85.69	117.09
30.04	-85.73	117.08
30.15	-85.77	117.03
30.26	-85.82	116.95
30.38	-85.87	116.84
30.49	-85.92	116.71
30.61	-85.97	116.58
30.72	-86.02	116.46
30.84	-86.08	116.35
30.95	-86.14	116.27
31.07	-86.21	116.22
31.19	-86.28	116.22
31.31	-86.36	116.28
31.42	-86.45	116.42
31.54	-86.54	116.63
31.66	-86.64	116.94
31.78	-86.74	117.36
31.90	-86.86	117.90
32.02	-86.98	118.57
32.14	-87.11	119.39
32.26	-87.26	120.37
32.39	-87.41	121.51
32.51	-87.57	122.81
32.63	-87.74	124.25
32.75	-87.91	125.82
32.88	-88.09	127.51
33.00	-88.27	129.31
33.13	-88.45	131.20
