Freq[Hz]	[dBV]	Phase[Deg]
10.00	-66.98	-11.27
10.04	-66.88	-9.99
10.08	-66.77	-8.67
10.11	-66.67	-7.31
10.15	-66.56	-5.90
10.19	-66.45	-4.45
10.23	-66.34	-2.96
10.27	-66.23	-1.43
10.31	-66.12	0.14
10.34	-66.00	1.75
10.38	-65.89	3.40
10.42	-65.78	5.09
10.46	-65.66	6.81
10.50	-65.55	8.57
10.54	-65.43	10.37
10.58	-65.31	12.21
10.62	-65.20	14.08
10.66	-65.08	15.98
10.70	-64.97	17.92
10.74	-64.86	19.89
10.78	-64.74	21.89
10.82	-64.63	23.92
10.86	-64.52	25.98
10.90	-64.41	28.08
10.95	-64.30	30.20
10.99	-64.20	32.35
11.03	-64.09	34.53
11.07	-63.99	36.73
11.11	-63.89	38.96
11.15	-63.80	41.21
11.20	-63.70	43.48
11.24	-63.61	45.78
11.28	-63.52	48.10
11.32	-63.44	50.43
11.37	-63.36	52.79
11.41	-63.28	55.16
11.45	-63.21	57.55
11.50	-63.14	59.96
11.54	-63.07	62.38
11.58	-63.01	64.81
11.63	-62.96	67.25
11.67	-62.91	69.70
11.71	-62.87	72.16
11.76	-62.83	74.63
11.80	-62.80	77.11
11.85	-62.77	79.58
11.89	-62.75	82.07
11.94	-62.74	84.55
11.98	-62.73	87.04
12.03	-62.73	89.53
12.07	-62.73	92.02
12.12	-62.74	94.50
12.16	-62.75	96.98
12.21	-62.77	99.46
12.26	-62.79	101.93
12.30	-62.82	104.39
12.35	-62.85	106.85
12.39	-62.89	109.29
12.44	-62.94	111.72
12.49	-62.98	114.14
12.54	-63.04	116.54
12.58	-63.09	118.93
12.63	-63.15	121.30
12.68	-63.22	123.65
12.73	-63.29	125.98
12.77	-63.36	128.29
12.82	-63.44	130.57
12.87	-63.52	132.82
12.92	-63.60	135.05
12.97	-63.69	137.25
13.02	-63.78	139.41
13.07	-63.87	141.54
13.12	-63.97	143.64
13.16	-64.07	145.70
13.21	-64.17	147.71
13.26	-64.28	149.69
